시도코드,시도,연도,총인구,남자인구,여자인구,20대,남_20대,여_20대,30대,남_30대,여_30대,40대,남_40대,여_40대,50대이상,남_50대이상,여_50대이상
51,강원,2011,1536448,773278,763170,183798,101321,82477,213295,110216,103079,255010,132893,122117,554931,256660,298271
51,강원,2012,1538630,774273,764357,180716,99993,80723,208796,107404,101392,252053,131653,120400,575828,267355,308473
51,강원,2013,1542263,776498,765765,180364,100609,79755,202244,104129,98115,253169,132078,121091,594020,276646,317374
51,강원,2014,1544442,778007,766435,181760,102066,79694,194502,100337,94165,252750,131738,121012,611940,285854,326086
51,강원,2015,1549507,781434,768073,184802,104877,79925,189754,98138,91616,250407,130578,119829,630196,295090,335106
51,강원,2016,1550806,781146,769660,184869,104169,80700,185407,96110,89297,246372,127888,118484,649376,305342,344034
51,강원,2017,1550142,780635,769507,185914,104548,81366,180188,93578,86610,242216,125599,116617,668152,314883,353269
51,강원,2018,1543052,776456,766596,182891,102581,80310,175578,91348,84230,233996,121245,112751,687863,325297,362566
51,강원,2019,1541502,775386,766116,181102,101470,79632,170669,89075,81594,228292,117822,110470,708084,335980,372104
51,강원,2020,1542840,776505,766335,180015,101305,78710,166349,87423,78926,224378,115276,109102,728992,346916,382076
51,강원,2021,1538492,774332,764160,175424,98744,76680,162817,85867,76950,219422,112385,107037,745973,356126,389847
51,강원,2022,1536498,772947,763551,170194,95604,74590,160365,84970,75395,215872,110010,105862,761898,364663,397235
51,강원,2023,1527807,768449,759358,163610,91639,71971,158594,84692,73902,208819,106310,102509,776859,372410,404449
51,강원,2024,1517766,763025,754741,156210,87401,68809,158524,84969,73555,200689,102093,98596,789937,379283,410654
41,경기,2011,11937415,6015357,5922058,1558886,801349,757537,2088455,1055700,1032755,2227890,1144400,1083490,3146868,1501228,1645640
41,경기,2012,12093299,6091035,6002264,1562100,805410,756690,2071071,1046376,1024695,2249470,1151541,1097929,3332933,1596089,1736844
41,경기,2013,12234630,6159193,6075437,1576139,815313,760826,2039007,1031620,1007387,2288932,1166161,1122771,3498174,1679855,1818319
41,경기,2014,12357830,6219813,6138017,1608430,835647,772783,1991551,1008909,982642,2303367,1170831,1132536,3676628,1769334,1907294
41,경기,2015,12522606,6299812,6222794,1644870,857498,787372,1969170,999370,969800,2302937,1168724,1134213,3874656,1865649,2009007
41,경기,2016,12716780,6395453,6321327,1687250,881412,805838,1955946,994253,961693,2312530,1169765,1142765,4070429,1964042,2106387
41,경기,2017,12873895,6475323,6398572,1721524,901746,819778,1934989,986741,948248,2313960,1171811,1142149,4266286,2057046,2209240
41,경기,2018,13077153,6577501,6499652,1749054,917804,831250,1949571,996212,953359,2291231,1163422,1127809,4492545,2165270,2327275
41,경기,2019,13239666,6659995,6579671,1770695,931439,839256,1925827,988359,937468,2290198,1163371,1126827,4712494,2271224,2441270
41,경기,2020,13427014,6754469,6672545,1807848,951737,856111,1907459,982843,924616,2299423,1168836,1130587,4938086,2381420,2556666
41,경기,2021,13565450,6827298,6738152,1798269,947823,850446,1900447,983619,916828,2296173,1168232,1127941,5149629,2486822,2662807
41,경기,2022,13589432,6839276,6750156,1737291,916141,821150,1882300,978227,904073,2284603,1162714,1121889,5316558,2569121,2747437
41,경기,2023,13630821,6855895,6774926,1682138,885110,797028,1878734,979572,899162,2256931,1150795,1106136,5502837,2658313,2844524
41,경기,2024,13694685,6882186,6812499,1627548,853005,774543,1907383,997554,909829,2214874,1130022,1084852,5686585,2746451,2940134
48,경남,2011,3308765,1664755,1644010,401522,216495,185027,517772,267134,250638,576519,297359,279160,1044861,477562,567299
48,경남,2012,3319314,1670545,1648769,392545,212642,179903,511254,263736,247518,573563,296163,277400,1089376,500774,588602
48,경남,2013,3333820,1678592,1655228,389509,212461,177048,499756,258795,240961,582410,299816,282594,1126624,520543,606081
48,경남,2014,3350257,1687114,1663143,391686,214964,176722,486893,252082,234811,585426,301565,283861,1167101,541251,625850
48,경남,2015,3364702,1694981,1669721,394794,217509,177285,476814,247672,229142,580967,299336,281631,1209973,563219,646754
48,경남,2016,3373871,1699219,1674652,397368,218935,178433,466247,242671,223576,574855,295301,279554,1252263,586091,666172
48,경남,2017,3380404,1701413,1678991,397268,218770,178498,454065,236383,217682,566645,291424,275221,1298109,608790,689319
48,경남,2018,3373988,1697412,1676576,394180,217287,176893,441235,229332,211903,552404,284645,267759,1343630,631970,711660
48,경남,2019,3362553,1692032,1670521,387562,214250,173312,422681,220180,202501,543280,280017,263263,1389573,655622,733951
48,경남,2020,3340216,1681423,1658793,378436,210511,167925,399558,208912,190646,536223,276112,260111,1433019,678118,754901
48,경남,2021,3314183,1668338,1645845,362661,202593,160068,379886,198989,180897,527396,271358,256038,1474110,699933,774177
48,경남,2022,3280493,1651675,1628818,341089,191246,149843,362225,190640,171585,519743,266716,253027,1508570,718987,789583
48,경남,2023,3251158,1636987,1614171,322711,181299,141412,350135,185290,164845,505303,259730,245573,1545063,737621,807442
48,경남,2024,3228380,1626926,1601454,305683,172576,133107,345727,184290,161437,489536,251519,238017,1578285,755479,822806
47,경북,2011,2699195,1355727,1343468,328074,179873,148201,383977,200588,183389,438250,229135,209115,992126,451025,541101
47,경북,2012,2698353,1355294,1343059,319091,175717,143374,377505,196960,180545,434041,227365,206676,1024735,468231,556504
47,경북,2013,2699440,1355951,1343489,314302,173794,140508,367719,192428,175291,435125,227605,207520,1053443,483240,570203
47,경북,2014,2700794,1356182,1344612,312801,173500,139301,356199,186364,169835,433992,226859,207133,1083954,499027,584927
47,경북,2015,2702826,1357306,1345520,311383,172970,138413,347557,182554,165003,428513,224166,204347,1114652,514956,599696
47,경북,2016,2700398,1356868,1343530,308303,171531,136772,339593,178597,160996,421947,219872,202075,1143625,531671,611954
47,경북,2017,2691706,1353164,1338542,305390,170532,134858,329087,173565,155522,414254,216172,198082,1173128,546844,626284
47,경북,2018,2676831,1346689,1330142,300125,168236,131889,319542,168868,150674,399573,208956,190617,1204883,563864,641019
