시군구코드,시군구,시도코드,시도,연도,총인구,남자인구,여자인구,20대,남_20대,여_20대,30대,남_30대,여_30대,40대,남_40대,여_40대,50대이상,남_50대이상,여_50대이상
51150,강릉시,51,강원,2011,217571,108294,109277,24907,13540,11367,30887,15816,15071,36162,18492,17670,78919,35911,43008
51150,강릉시,51,강원,2012,217741,108318,109423,24462,13461,11001,30035,15215,14820,35702,18312,17390,81803,37353,44450
51150,강릉시,51,강원,2013,216806,107689,109117,24533,13482,11051,28280,14327,13953,35857,18423,17434,84012,38364,45648
51150,강릉시,51,강원,2014,215807,107149,108658,24835,13641,11194,26705,13609,13096,35816,18410,17406,86228,39436,46792
51150,강릉시,51,강원,2015,214560,106545,108015,24847,13714,11133,25494,12996,12498,35694,18373,17321,88262,40443,47819
51150,강릉시,51,강원,2016,213846,106231,107615,24804,13689,11115,24580,12597,11983,35071,17956,17115,90642,41754,48888
51150,강릉시,51,강원,2017,213952,106286,107666,25130,13892,11238,23851,12243,11608,34570,17711,16859,93300,43100,50200
51150,강릉시,51,강원,2018,212957,105697,107260,25047,13776,11271,23140,11985,11155,33434,17128,16306,95902,44353,51549
51150,강릉시,51,강원,2019,213442,105893,107549,25401,13894,11507,22294,11589,10705,32932,16863,16069,98564,45695,52869
51150,강릉시,51,강원,2020,213321,105794,107527,25201,13805,11396,21691,11408,10283,32357,16473,15884,101610,47184,54426
51150,강릉시,51,강원,2021,212965,105667,107298,24560,13449,11111,21221,11218,10003,31762,16190,15572,104136,48501,55635
51150,강릉시,51,강원,2022,211381,104845,106536,23804,13107,10697,20625,10976,9649,30918,15624,15294,105881,49421,56460
51150,강릉시,51,강원,2023,209439,103759,105680,22654,12429,10225,20358,10889,9469,29591,14894,14697,108043,50515,57528
51150,강릉시,51,강원,2024,207731,102890,104841,21391,11739,9652,20387,10950,9437,28251,14251,14000,110083,51554,58529
51820,고성군,51,강원,2011,30057,15635,14422,4114,2667,1447,3048,1698,1350,4348,2417,1931,13551,6177,7374
51820,고성군,51,강원,2012,30124,15792,14332,4370,2850,1520,2932,1679,1253,4232,2372,1860,13862,6353,7509
51820,고성군,51,강원,2013,30398,16184,14214,4910,3355,1555,2819,1620,1199,4058,2294,1764,14133,6486,7647
51820,고성군,51,강원,2014,30269,16107,14162,4806,3293,1513,2697,1539,1158,4048,2271,1777,14408,6663,7745
51820,고성군,51,강원,2015,30060,15981,14079,4594,3164,1430,2654,1515,1139,3963,2223,1740,14718,6835,7883
51820,고성군,51,강원,2016,30114,15899,14215,4469,3052,1417,2554,1442,1112,3930,2191,1739,15175,7090,8085
51820,고성군,51,강원,2017,30029,15817,14212,4372,2950,1422,2529,1444,1085,3865,2150,1715,15447,7225,8222
51820,고성군,51,강원,2018,28144,14729,13415,3625,2394,1231,2359,1341,1018,3398,1926,1472,15432,7294,8138
51820,고성군,51,강원,2019,27260,14114,13146,3169,2019,1150,2262,1290,972,3198,1805,1393,15511,7347,8164
51820,고성군,51,강원,2020,26757,13802,12955,2868,1824,1044,2219,1252,967,3063,1717,1346,15713,7479,8234
51820,고성군,51,강원,2021,27249,14019,13230,2678,1710,968,2379,1356,1023,3077,1687,1390,16173,7722,8451
51820,고성군,51,강원,2022,27274,14060,13214,2597,1663,934,2317,1301,1016,3032,1662,1370,16439,7926,8513
51820,고성군,51,강원,2023,27305,14018,13287,2518,1572,946,2373,1328,1045,2939,1618,1321,16610,8022,8588
