시도코드,시도,연도,주택수
11,서울,2015,2714195
21,부산,2015,1077726
22,대구,2015,717500
23,인천,2015,894842
24,광주,2015,459822
25,대전,2015,442466
26,울산,2015,336251
29,세종,2015,64672
31,경기,2015,3548664
32,강원,2015,510639
33,충북,2015,502066
34,충남,2015,680653
35,전북,2015,613234
36,전남,2015,644288
37,경북,2015,878262
38,경남,2015,1036058
39,제주,2015,176749
11,서울,2016,2736188
21,부산,2016,1088701
22,대구,2016,733385
23,인천,2016,905131
24,광주,2016,465420
25,대전,2016,447955
26,울산,2016,340308
29,세종,2016,76492
31,경기,2016,3647005
32,강원,2016,520258
33,충북,2016,512552
34,충남,2016,696594
35,전북,2016,618867
36,전남,2016,652787
37,경북,2016,892817
38,경남,2016,1052158
39,제주,2016,185405
11,서울,2017,2773501
21,부산,2017,1105685
22,대구,2017,749080
23,인천,2017,912099
24,광주,2017,471902
25,대전,2017,452167
26,울산,2017,344433
29,세종,2017,90088
31,경기,2017,3754849
32,강원,2017,524274
33,충북,2017,520973
34,충남,2017,713445
35,전북,2017,620633
36,전남,2017,656432
37,경북,2017,902430
38,경남,2017,1073364
39,제주,2017,192511
11,서울,2018,2800210
21,부산,2018,1121324
22,대구,2018,761548
23,인천,2018,933032
24,광주,2018,477547
25,대전,2018,456864
26,울산,2018,350476
29,세종,2018,104717
31,경기,2018,3919466
32,강원,2018,531260
33,충북,2018,532928
34,충남,2018,729309
35,전북,2018,626118
36,전남,2018,659318
37,경북,2018,914290
38,경남,2018,1094838
39,제주,2018,200465
11,서울,2019,2860562
21,부산,2019,1140106
22,대구,2019,769172
23,인천,2019,952670
24,광주,2019,486536
25,대전,2019,463157
26,울산,2019,358482
29,세종,2019,115820
31,경기,2019,4075961
32,강원,2019,542994
33,충북,2019,548437
34,충남,2019,742916
35,전북,2019,633386
36,전남,2019,666049
37,경북,2019,928103
38,경남,2019,1119566
39,제주,2019,205222
11,서울,2020,2918742
21,부산,2020,1162449
22,대구,2020,780461
23,인천,2020,966913
24,광주,2020,496690
25,대전,2020,469892
26,울산,2020,364393
29,세종,2020,122502
31,경기,2020,4222757
32,강원,2020,559917
33,충북,2020,563379
34,충남,2020,758578
35,전북,2020,645809
36,전남,2020,679940
37,경북,2020,944808
38,경남,2020,1145962
39,제주,2020,211346
11,서울,2021,2971494
21,부산,2021,1181494
22,대구,2021,789208
23,인천,2021,990703
24,광주,2021,509264
25,대전,2021,475213
26,울산,2021,367600
29,세종,2021,130575
31,경기,2021,4365945
32,강원,2021,573981
33,충북,2021,579966
34,충남,2021,777993
35,전북,2021,658522
36,전남,2021,695477
37,경북,2021,964077
38,경남,2021,1167677
39,제주,2021,217182
11,서울,2022,3010617
21,부산,2022,1197794
22,대구,2022,801562
23,인천,2022,1015801
24,광주,2022,515980
25,대전,2022,483916
26,울산,2022,370586
29,세종,2022,137890
31,경기,2022,4463106
32,강원,2022,585022
33,충북,2022,590450
34,충남,2022,793298
35,전북,2022,665192
36,전남,2022,704354
37,경북,2022,970716
38,경남,2022,1177046
39,제주,2022,220701
11,서울,2023,3047650
21,부산,2023,1215110
22,대구,2023,819613
23,인천,2023,1046886
24,광주,2023,519962
25,대전,2023,488727
26,울산,2023,374985
29,세종,2023,140526
31,경기,2023,4573733
32,강원,2023,592277
33,충북,2023,602237
34,충남,2023,812540
35,전북,2023,674209
36,전남,2023,713772
37,경북,2023,977916
38,경남,2023,1188246
39,제주,2023,222991
11,서울,2024,3067776
21,부산,2024,1227697
22,대구,2024,839266
23,인천,2024,1067731
24,광주,2024,523260
25,대전,2024,494332
26,울산,2024,380814
29,세종,2024,143726
31,경기,2024,4673651
32,강원,2024,598671
33,충북,2024,609974
34,충남,2024,832028
35,전북,2024,677980
36,전남,2024,720243
37,경북,2024,988012
38,경남,2024,1203137
39,제주,2024,225290
