시도코드,시도,연도,가구수,평균가구원수
11,서울,2015,3784490,2.5
21,부산,2015,1335900,2.5
22,대구,2015,938566,2.6
23,인천,2015,1045417,2.6
24,광주,2015,567157,2.5
25,대전,2015,582504,2.5
26,울산,2015,423412,2.6
29,세종,2015,75219,2.5
31,경기,2015,4384742,2.7
32,강원,2015,606117,2.4
33,충북,2015,601855,2.5
34,충남,2015,796185,2.4
35,전북,2015,717311,2.4
36,전남,2015,720612,2.3
37,경북,2015,1052686,2.4
38,경남,2015,1258488,2.5
39,제주,2015,220369,2.6
11,서울,2016,3784704,2.5
21,부산,2016,1344170,2.5
22,대구,2016,945919,2.5
23,인천,2016,1062828,2.6
24,광주,2016,569372,2.5
25,대전,2016,590698,2.5
26,울산,2016,426027,2.6
29,세종,2016,90413,2.5
31,경기,2016,4484425,2.6
32,강원,2016,616346,2.3
33,충북,2016,617913,2.4
34,충남,2016,813730,2.4
35,전북,2016,724678,2.4
36,전남,2016,727197,2.3
37,경북,2016,1066416,2.3
38,경남,2016,1273523,2.5
39,제주,2016,229337,2.6
11,서울,2017,3813259,2.4
21,부산,2017,1354401,2.4
22,대구,2017,958440,2.5
23,인천,2017,1080285,2.6
24,광주,2017,575732,2.5
25,대전,2017,597736,2.4
26,울산,2017,428720,2.6
29,세종,2017,104325,2.5
31,경기,2017,4602951,2.6
32,강원,2017,620729,2.3
33,충북,2017,629072,2.4
34,충남,2017,834986,2.4
35,전북,2017,728871,2.4
36,전남,2017,733757,2.3
37,경북,2017,1077398,2.3
38,경남,2017,1292998,2.4
39,제주,2017,240215,2.5
11,서울,2018,3839765,2.4
21,부산,2018,1363608,2.4
22,대구,2018,968081,2.4
23,인천,2018,1094749,2.5
24,광주,2018,578559,2.4
25,대전,2018,602175,2.4
26,울산,2018,431391,2.5
29,세종,2018,119029,2.5
31,경기,2018,4751498,2.6
32,강원,2018,628484,2.3
33,충북,2018,640977,2.3
34,충남,2018,851124,2.3
35,전북,2018,732980,2.3
36,전남,2018,737406,2.3
37,경북,2018,1083970,2.3
38,경남,2018,1306394,2.4
39,제주,2018,248998,2.5
11,서울,2019,3896389,2.3
21,부산,2019,1377030,2.3
22,대구,2019,979180,2.4
23,인천,2019,1120576,2.5
24,광주,2019,587159,2.4
25,대전,2019,609043,2.3
26,울산,2019,437094,2.5
29,세종,2019,129664,2.5
31,경기,2019,4907660,2.5
32,강원,2019,633942,2.2
33,충북,2019,654713,2.3
34,충남,2019,864102,2.3
35,전북,2019,738307,2.3
36,전남,2019,741026,2.2
37,경북,2019,1092374,2.2
38,경남,2019,1321213,2.4
39,제주,2019,253716,2.4
11,서울,2020,3982290,2.3
21,부산,2020,1405037,2.3
22,대구,2020,996542,2.3
23,인천,2020,1147200,2.4
24,광주,2020,599217,2.3
25,대전,2020,631208,2.3
26,울산,2020,444087,2.4
29,세종,2020,139106,2.4
31,경기,2020,5098431,2.5
32,강원,2020,661039,2.2
33,충북,2020,678922,2.2
34,충남,2020,892222,2.2
35,전북,2020,755575,2.2
36,전남,2020,761518,2.2
37,경북,2020,1121093,2.2
38,경남,2020,1350155,2.3
39,제주,2020,263068,2.4
11,서울,2021,4046799,2.2
21,부산,2021,1431365,2.2
22,대구,2021,1011728,2.3
23,인천,2021,1183610,2.4
24,광주,2021,615693,2.3
25,대전,2021,640085,2.2
26,울산,2021,451432,2.4
29,세종,2021,145295,2.4
31,경기,2021,5290662,2.4
32,강원,2021,674728,2.1
33,충북,2021,695611,2.2
34,충남,2021,915634,2.2
35,전북,2021,772471,2.2
36,전남,2021,777358,2.2
37,경북,2021,1145848,2.1
38,경남,2021,1378982,2.3
39,제주,2021,271162,2.3
11,서울,2022,4098818,2.2
21,부산,2022,1447825,2.2
22,대구,2022,1022019,2.2
23,인천,2022,1212731,2.3
24,광주,2022,623252,2.2
25,대전,2022,646474,2.2
26,울산,2022,453998,2.3
29,세종,2022,154019,2.4
31,경기,2022,5406963,2.4
32,강원,2022,684895,2.1
33,충북,2022,704864,2.1
34,충남,2022,931370,2.2
35,전북,2022,777680,2.1
36,전남,2022,784645,2.1
37,경북,2022,1155121,2.1
38,경남,2022,1392608,2.2
39,제주,2022,276225,2.3
11,서울,2023,4141659,2.2
21,부산,2023,1462404,2.2
22,대구,2023,1033238,2.2
23,인천,2023,1242168,2.3
24,광주,2023,627602,2.2
25,대전,2023,654809,2.1
26,울산,2023,458129,2.3
29,세종,2023,156444,2.4
31,경기,2023,5500024,2.4
32,강원,2023,698410,2.1
33,충북,2023,720231,2.1
34,충남,2023,948631,2.1
35,전북,2023,786775,2.1
36,전남,2023,793249,2.1
37,경북,2023,1166594,2.1
38,경남,2023,1404476,2.2
39,제주,2023,278315,2.3
11,서울,2024,4159502,2.1
21,부산,2024,1470562,2.1
22,대구,2024,1043730,2.2
23,인천,2024,1268133,2.3
24,광주,2024,628550,2.2
25,대전,2024,658831,2.1
26,울산,2024,462342,2.3
29,세종,2024,158901,2.4
31,경기,2024,5592072,2.3
32,강원,2024,702603,2.0
33,충북,2024,726988,2.1
34,충남,2024,964538,2.1
35,전북,2024,788621,2.1
36,전남,2024,799012,2.1
37,경북,2024,1174597,2.0
38,경남,2024,1415780,2.2
39,제주,2024,279657,2.3
