시도코드,시도,연도,총인구,세대수,주택수,평균연령,노령화지수,노년부양비,유소년부양비,종사자수,사업체수,인구밀도
11,서울,2015,9904312,3784490,2714195,40.0,104.4,16.3,15.6,5021792,736556,16362.6
21,부산,2015,3448737,1335900,1077726,41.5,124.2,19.7,15.8,1350833,257811,4395.0
22,대구,2015,2488062,938566,717500,40.1,97.5,17.4,17.8,886177,184157,1666.9
23,인천,2015,2890451,1045417,894842,38.9,75.7,14.2,18.7,965003,166099,2604.4
24,광주,2015,1502881,567157,459822,37.9,73.3,15.0,20.4,550638,104172,3017.7
25,대전,2015,1538394,582504,442466,38.1,73.5,14.3,19.4,575700,101088,2851.7
26,울산,2015,1166615,423412,336251,37.9,58.2,11.4,19.5,513633,74957,1097.4
29,세종,2015,204088,75219,64672,36.0,53.1,14.7,27.7,83154,9862,439.0
31,경기,2015,12479061,4384742,3548664,38.3,69.3,14.0,20.2,4578236,755373,1207.0
32,강원,2015,1518040,606117,510639,42.1,131.5,23.8,18.1,571938,125000,90.3
33,충북,2015,1589342,601855,502066,40.5,106.0,20.2,19.0,639805,112781,214.5
34,충남,2015,2107802,796185,680653,40.6,112.4,22.5,20.0,847285,147289,255.0
35,전북,2015,1834114,717311,613234,41.8,131.6,25.7,19.5,656433,133944,225.3
36,전남,2015,1799044,720612,644288,43.6,156.9,31.3,19.9,682322,138646,144.6
37,경북,2015,2658287,1052686,878262,42.3,137.3,24.8,18.0,1044684,202539,144.3
38,경남,2015,3334526,1258488,1036058,40.2,94.5,18.9,20.0,1348844,246188,315.9
39,제주,2015,605619,220369,176749,39.4,86.1,19.6,22.8,245368,50523,324.7
11,서울,2016,9805505,3784704,2736188,40.5,110.4,16.8,15.2,4994387,734776,16199.4
21,부산,2016,3440484,1344170,1088701,42.1,132.4,20.8,15.7,1387984,262902,4384.5
22,대구,2016,2483081,945919,733385,40.7,103.9,18.2,17.5,920150,189481,1663.5
23,인천,2016,2913024,1062828,905131,39.4,79.8,14.6,18.3,983959,170745,2624.7
24,광주,2016,1501557,569372,465420,38.6,79.6,15.8,19.9,576250,106786,3015.1
25,대전,2016,1535445,590698,447955,38.6,79.2,14.9,18.8,586459,102677,2846.2
26,울산,2016,1166029,426027,340308,38.4,62.6,12.1,19.3,517249,76826,1096.8
29,세종,2016,242507,90413,76492,35.6,47.9,13.4,28.0,89998,11179,521.7
31,경기,2016,12671957,4484425,3647005,38.8,73.0,14.4,19.7,4727469,781333,1225.6
32,강원,2016,1521751,616346,520258,42.6,137.7,24.0,17.4,588075,127817,90.5
33,충북,2016,1603400,617913,512552,40.9,110.6,20.4,18.4,657403,114934,216.4
34,충남,2016,2132566,813730,696594,41.0,116.4,22.7,19.5,868722,150436,258.0
35,전북,2016,1833168,724678,618867,42.3,139.1,26.3,18.9,663842,135414,225.1
36,전남,2016,1796017,727197,652787,43.9,162.7,31.6,19.4,685729,141120,144.3
37,경북,2016,2660094,1066416,892817,42.8,143.3,25.3,17.7,1063698,206451,144.4
38,경남,2016,3339637,1273523,1052158,40.7,99.4,19.4,19.6,1361913,251817,316.4
39,제주,2016,623332,229337,185405,39.9,89.1,19.7,22.1,253007,52610,334.2
11,서울,2017,9741867,3813259,2773501,41.0,120.3,17.8,14.8,5035481,738429,16094.2
21,부산,2017,3416918,1354401,1105685,42.6,143.0,22.2,15.5,1404260,266514,4354.5
22,대구,2017,2475271,958440,749080,41.2,112.3,19.3,17.2,932772,192061,1658.3
23,인천,2017,2925967,1080285,912099,39.9,86.6,15.5,17.9,1013664,176025,2636.4
24,광주,2017,1496172,575732,471902,39.1,85.4,16.5,19.3,592176,109647,3004.3
25,대전,2017,1525849,597736,452167,39.1,86.3,15.8,18.3,594912,104593,2828.4
26,울산,2017,1157073,428720,344433,39.1,68.5,13.1,19.1,515664,78054,1088.4
29,세종,2017,276589,104325,90088,35.6,45.6,13.0,28.5,99220,13061,595.0
31,경기,2017,12851605,4602951,3754849,39.3,78.5,15.1,19.2,4878173,802660,1243.0
32,강원,2017,1521386,620729,524274,43.2,149.5,25.4,17.0,607220,131028,90.5
33,충북,2017,1611005,629072,520973,41.4,118.5,21.4,18.0,672611,116965,217.5
34,충남,2017,2162426,834986,713445,41.4,121.5,23.3,19.2,886290,154743,261.6
35,전북,2017,1826174,728871,620633,42.8,147.8,27.3,18.5,670140,136771,224.3
36,전남,2017,1792319,733757,656432,44.5,171.5,32.9,19.2,699089,144397,144.0
37,경북,2017,2654832,1077398,902430,43.3,152.9,26.6,17.4,1072650,209278,144.2
38,경남,2017,3345297,1292998,1073364,41.3,106.1,20.5,19.3,1361592,257340,316.9
39,제주,2017,641757,240215,192511,40.3,92.5,19.9,21.6,257560,54876,344.1
11,서울,2018,9673932,3839765,2800210,41.4,130.0,18.6,14.3,5125029,737476,15982.0
21,부산,2018,3395278,1363608,1121324,43.1,153.0,23.5,15.3,1422600,269345,4326.9
22,대구,2018,2466689,968081,761548,41.7,120.9,20.4,16.8,956574,193417,1652.5
23,인천,2018,2936117,1094749,933032,40.5,93.0,16.2,17.5,1048162,180201,2645.6
24,광주,2018,1490092,578559,477547,39.6,91.3,17.2,18.9,607903,111255,2992.1
25,대전,2018,1511214,602175,456864,39.7,93.9,16.6,17.7,606660,105946,2801.3
26,울산,2018,1150114,431391,350476,39.7,74.6,14.0,18.8,520968,79572,1081.9
29,세종,2018,312374,119029,104717,35.7,44.1,12.6,28.5,114794,15080,672.0
31,경기,2018,13103192,4751498,3919466,39.8,83.5,15.7,18.8,5094742,829412,1267.4
32,강원,2018,1520391,628484,531260,43.8,158.8,26.3,16.6,630200,134398,90.4
33,충북,2018,1620931,640977,532928,41.9,125.1,22.0,17.6,703518,120099,218.8
34,충남,2018,2181416,851124,729309,41.8,126.2,23.7,18.8,915877,159860,263.9
35,전북,2018,1818157,732980,626118,43.4,155.9,28.0,17.9,683228,139570,223.3
36,전남,2018,1790352,737406,659318,44.9,178.5,33.2,18.6,725136,148125,143.9
37,경북,2018,2650629,1083970,914290,43.8,162.0,27.6,17.1,1093643,214389,143.9
38,경남,2018,3350352,1306394,1094838,41.8,112.5,21.3,18.9,1369986,263342,317.4
