연월,CD_91일,국고채_10년,국고채_3년,국고채_5년,기준금리,연도,월
2000-01,7.28,,9.28,10.02,4.75,2000,1
2000-02,7.13,,8.99,9.54,5.0,2000,2
2000-03,7.0,,9.06,9.54,5.0,2000,3
2000-04,7.06,,8.95,9.3,5.0,2000,4
2000-05,7.14,,8.96,9.29,5.0,2000,5
2000-06,7.17,,8.66,8.95,5.0,2000,6
2000-07,7.15,,8.0,8.28,5.0,2000,7
2000-08,7.04,,7.85,8.17,5.0,2000,8
2000-09,7.05,,7.96,8.31,5.0,2000,9
2000-10,7.04,8.25,7.84,8.19,5.25,2000,10
2000-11,6.99,7.86,7.31,7.56,5.25,2000,11
2000-12,6.89,7.18,6.79,6.92,5.25,2000,12
2001-01,6.43,6.65,5.99,6.2,5.25,2001,1
2001-02,5.73,6.41,5.43,5.76,5.0,2001,2
2001-03,5.68,7.0,5.84,6.4,5.0,2001,3
2001-04,5.84,7.74,6.59,7.24,5.0,2001,4
2001-05,5.85,7.58,6.46,7.05,5.0,2001,5
2001-06,5.65,7.14,6.04,6.49,5.0,2001,6
2001-07,5.32,6.83,5.75,6.17,4.75,2001,7
2001-08,4.92,6.29,5.15,5.43,4.5,2001,8
2001-09,4.66,6.19,4.89,5.21,4.0,2001,9
2001-10,4.36,6.54,4.74,5.65,4.0,2001,10
2001-11,4.53,6.88,5.34,6.2,4.0,2001,11
2001-12,4.84,7.01,5.93,6.66,4.0,2001,12
2002-01,4.79,7.1,6.08,6.85,4.0,2002,1
2002-02,4.54,7.0,5.92,6.66,4.0,2002,2
2002-03,4.64,7.17,6.3,6.97,4.0,2002,3
2002-04,4.79,7.3,6.47,7.06,4.0,2002,4
2002-05,4.81,7.09,6.3,6.8,4.25,2002,5
2002-06,4.85,6.76,5.93,6.33,4.25,2002,6
2002-07,4.91,6.54,5.7,6.11,4.25,2002,7
2002-08,4.8,6.24,5.37,5.79,4.25,2002,8
2002-09,4.81,6.16,5.37,5.77,4.25,2002,9
2002-10,4.91,6.11,5.39,5.71,4.25,2002,10
2002-11,4.91,5.8,5.29,5.52,4.25,2002,11
2002-12,4.9,5.77,5.28,5.57,4.25,2002,12
2003-01,4.7,5.43,4.96,5.15,4.25,2003,1
2003-02,4.54,5.15,4.73,4.89,4.25,2003,2
2003-03,4.76,5.2,4.78,4.94,4.25,2003,3
2003-04,4.62,5.03,4.6,4.77,4.25,2003,4
2003-05,4.39,4.68,4.27,4.41,4.0,2003,5
2003-06,4.28,4.46,4.07,4.19,4.0,2003,6
2003-07,4.15,4.95,4.37,4.63,3.75,2003,7
2003-08,3.9,5.26,4.62,4.93,3.75,2003,8
