연월,예금금리,대출금리,예대금리차,연도,월
2025-01,3.07,4.53,1.4600000000000004,2025,1
2025-02,2.97,4.46,1.4899999999999998,2025,2
2025-03,2.84,4.36,1.5200000000000005,2025,3
2025-04,2.71,4.19,1.4800000000000004,2025,4
2025-05,2.63,4.17,1.54,2025,5
2025-06,2.55,4.09,1.54,2025,6
2025-07,2.51,4.06,1.5499999999999998,2025,7
2025-08,2.49,4.06,1.5699999999999994,2025,8
2025-09,2.52,4.03,1.5100000000000002,2025,9
2025-10,2.57,4.02,1.4499999999999995,2025,10
2025-11,2.81,4.15,1.3400000000000003,2025,11
2025-12,2.9,4.19,1.2900000000000005,2025,12
2026-01,2.79,4.24,1.4500000000000002,2026,1
2026-02,2.83,4.26,1.4299999999999995,2026,2
2026-03,2.82,4.2,1.3800000000000003,2026,3
2026-04,2.92,4.2,1.2800000000000002,2026,4
2026-05,2.93,4.19,1.2600000000000002,2026,5
2026-06,3.08,4.31,1.2299999999999995,2026,6
