연월,M2잔액,연도,월,M2_YoY
2025-01,3921714.4,2025,1,
2025-02,3920448.5,2025,2,
2025-03,3924087.0,2025,3,
2025-04,3935845.0,2025,4,
2025-05,3955366.9,2025,5,
2025-06,3972892.3,2025,6,
2025-07,3993116.2,2025,7,
2025-08,4031011.4,2025,8,
2025-09,4055458.9,2025,9,
2025-10,4056854.5,2025,10,
2025-11,4067509.7,2025,11,
2025-12,4089671.2,2025,12,
2026-01,4105513.1,2026,1,4.686692636261336
2026-02,4111822.7,2026,2,4.881436396881633
2026-03,4139870.6,2026,3,5.498950456501084
2026-04,4159166.3,2026,4,5.674036960296958
2026-05,4184079.8,2026,5,5.782343478679564
2026-06,4209874.0,2026,6,5.96496663148911
