연월,시도,준공_아파트,준공_전체,착공_아파트,착공_전체,착공_호수,준공_호수,착공_비아파트,준공_비아파트,연도,월
2015-01,강원,18.0,602.0,,523.0,523.0,602.0,,584.0,2015,1
2015-01,경기,3171.0,8096.0,3487.0,7197.0,7197.0,8096.0,3710.0,4925.0,2015,1
2015-01,경남,3147.0,5003.0,1159.0,2430.0,2430.0,5003.0,1271.0,1856.0,2015,1
2015-01,경북,129.0,2022.0,2198.0,3918.0,3918.0,2022.0,1720.0,1893.0,2015,1
2015-01,광주,1462.0,2164.0,213.0,443.0,443.0,2164.0,230.0,702.0,2015,1
2015-01,대구,2023.0,3182.0,1721.0,2863.0,2863.0,3182.0,1142.0,1159.0,2015,1
2015-01,대전,320.0,932.0,460.0,693.0,693.0,932.0,233.0,612.0,2015,1
2015-01,부산,1431.0,2787.0,976.0,1295.0,1295.0,2787.0,319.0,1356.0,2015,1
2015-01,서울,1579.0,5511.0,1383.0,3978.0,3978.0,5511.0,2595.0,3932.0,2015,1
2015-01,세종,2316.0,2398.0,1164.0,1192.0,1192.0,2398.0,28.0,82.0,2015,1
2015-01,울산,14.0,816.0,35.0,413.0,413.0,816.0,378.0,802.0,2015,1
2015-01,인천,391.0,987.0,1514.0,1980.0,1980.0,987.0,466.0,596.0,2015,1
2015-01,전남,1339.0,2130.0,1006.0,1400.0,1400.0,2130.0,394.0,791.0,2015,1
2015-01,전북,2409.0,3177.0,437.0,859.0,859.0,3177.0,422.0,768.0,2015,1
2015-01,제주,230.0,964.0,1160.0,2111.0,2111.0,964.0,951.0,734.0,2015,1
2015-01,충남,283.0,1733.0,1545.0,2236.0,2236.0,1733.0,691.0,1450.0,2015,1
2015-01,충북,,956.0,1941.0,2592.0,2592.0,956.0,651.0,,2015,1
2015-02,강원,,630.0,418.0,976.0,976.0,630.0,558.0,,2015,2
2015-02,경기,6600.0,10264.0,8241.0,12832.0,12832.0,10264.0,4591.0,3664.0,2015,2
2015-02,경남,575.0,2125.0,977.0,2126.0,2126.0,2125.0,1149.0,1550.0,2015,2
2015-02,경북,1731.0,4180.0,91.0,2682.0,2682.0,4180.0,2591.0,2449.0,2015,2
2015-02,광주,806.0,1525.0,,402.0,402.0,1525.0,,719.0,2015,2
2015-02,대구,549.0,1485.0,734.0,1928.0,1928.0,1485.0,1194.0,936.0,2015,2
2015-02,대전,252.0,744.0,143.0,619.0,619.0,744.0,476.0,492.0,2015,2
2015-02,부산,168.0,1466.0,507.0,1103.0,1103.0,1466.0,596.0,1298.0,2015,2
2015-02,서울,1257.0,4056.0,436.0,3345.0,3345.0,4056.0,2909.0,2799.0,2015,2
2015-02,세종,1311.0,1417.0,204.0,266.0,266.0,1417.0,62.0,106.0,2015,2
2015-02,울산,1708.0,2389.0,1380.0,1836.0,1836.0,2389.0,456.0,681.0,2015,2
2015-02,인천,209.0,791.0,419.0,838.0,838.0,791.0,419.0,582.0,2015,2
2015-02,전남,243.0,1009.0,573.0,941.0,941.0,1009.0,368.0,766.0,2015,2
2015-02,전북,721.0,1294.0,,662.0,662.0,1294.0,,573.0,2015,2
2015-02,제주,156.0,906.0,26.0,918.0,918.0,906.0,892.0,750.0,2015,2
2015-02,충남,473.0,1474.0,1144.0,2469.0,2469.0,1474.0,1325.0,1001.0,2015,2
2015-02,충북,29.0,661.0,285.0,1135.0,1135.0,661.0,850.0,632.0,2015,2
2015-03,강원,,466.0,123.0,1469.0,1469.0,466.0,1346.0,,2015,3
2015-03,경기,2346.0,6052.0,13714.0,23137.0,23137.0,6052.0,9423.0,3706.0,2015,3
2015-03,경남,1895.0,3546.0,6258.0,8665.0,8665.0,3546.0,2407.0,1651.0,2015,3
2015-03,경북,1626.0,4167.0,2704.0,5888.0,5888.0,4167.0,3184.0,2541.0,2015,3
2015-03,광주,735.0,1301.0,932.0,1596.0,1596.0,1301.0,664.0,566.0,2015,3
2015-03,대구,2491.0,3607.0,89.0,1840.0,1840.0,3607.0,1751.0,1116.0,2015,3
2015-03,대전,,444.0,1037.0,1777.0,1777.0,444.0,740.0,,2015,3
2015-03,부산,1913.0,2763.0,3365.0,4164.0,4164.0,2763.0,799.0,850.0,2015,3
2015-03,서울,1175.0,4148.0,2384.0,7522.0,7522.0,4148.0,5138.0,2973.0,2015,3
2015-03,세종,538.0,582.0,,112.0,112.0,582.0,,44.0,2015,3
2015-03,울산,1152.0,1770.0,667.0,1352.0,1352.0,1770.0,685.0,618.0,2015,3
2015-03,인천,517.0,1054.0,3307.0,4009.0,4009.0,1054.0,702.0,537.0,2015,3
2015-03,전남,1100.0,1595.0,16.0,787.0,787.0,1595.0,771.0,495.0,2015,3
2015-03,전북,719.0,1245.0,1176.0,2409.0,2409.0,1245.0,1233.0,526.0,2015,3
2015-03,제주,34.0,636.0,316.0,1471.0,1471.0,636.0,1155.0,602.0,2015,3
