연월,소비자심리지수,주택가격전망CSI,연도,월
2015-01,103.0,116.0,2015,1
2015-02,103.7,118.0,2015,2
2015-03,101.8,123.0,2015,3
2015-04,104.7,122.0,2015,4
2015-05,106.1,122.0,2015,5
2015-06,98.6,120.0,2015,6
2015-07,100.7,119.0,2015,7
2015-08,102.0,116.0,2015,8
2015-09,103.3,117.0,2015,9
2015-10,105.9,119.0,2015,10
2015-11,106.6,113.0,2015,11
2015-12,103.2,102.0,2015,12
2016-01,100.4,102.0,2016,1
2016-02,98.1,102.0,2016,2
2016-03,100.4,101.0,2016,3
2016-04,102.1,105.0,2016,4
2016-05,99.6,106.0,2016,5
2016-06,99.1,111.0,2016,6
2016-07,101.4,111.0,2016,7
2016-08,102.4,108.0,2016,8
2016-09,102.3,112.0,2016,9
2016-10,102.6,114.0,2016,10
2016-11,95.7,107.0,2016,11
2016-12,93.9,97.0,2016,12
2017-01,93.0,92.0,2017,1
2017-02,94.2,92.0,2017,2
2017-03,96.8,99.0,2017,3
2017-04,101.6,103.0,2017,4
2017-05,109.0,109.0,2017,5
2017-06,112.4,116.0,2017,6
2017-07,112.6,115.0,2017,7
2017-08,111.2,99.0,2017,8
2017-09,108.8,103.0,2017,9
2017-10,110.4,110.0,2017,10
2017-11,113.7,106.0,2017,11
2017-12,112.2,106.0,2017,12
2018-01,111.4,110.0,2018,1
2018-02,109.6,112.0,2018,2
2018-03,109.5,107.0,2018,3
2018-04,108.5,101.0,2018,4
2018-05,109.4,102.0,2018,5
2018-06,106.8,98.0,2018,6
2018-07,101.9,98.0,2018,7
2018-08,99.9,109.0,2018,8
2018-09,100.9,128.0,2018,9
2018-10,100.1,114.0,2018,10
2018-11,96.4,101.0,2018,11
2018-12,97.6,95.0,2018,12
2019-01,98.3,91.0,2019,1
2019-02,100.4,84.0,2019,2
2019-03,100.7,83.0,2019,3
2019-04,102.6,87.0,2019,4
2019-05,98.7,93.0,2019,5
2019-06,98.4,97.0,2019,6
2019-07,96.7,106.0,2019,7
2019-08,93.1,107.0,2019,8
2019-09,97.8,109.0,2019,9
2019-10,99.5,115.0,2019,10
2019-11,101.9,120.0,2019,11
2019-12,101.4,125.0,2019,12
2020-01,105.2,116.0,2020,1
2020-02,97.7,112.0,2020,2
2020-03,79.0,112.0,2020,3
2020-04,71.2,96.0,2020,4
2020-05,78.1,96.0,2020,5
2020-06,82.4,112.0,2020,6
2020-07,84.8,125.0,2020,7
2020-08,88.8,125.0,2020,8
2020-09,80.0,117.0,2020,9
2020-10,92.3,122.0,2020,10
2020-11,98.8,130.0,2020,11
2020-12,90.5,132.0,2020,12
2021-01,95.0,130.0,2021,1
2021-02,97.2,129.0,2021,2
2021-03,100.4,124.0,2021,3
2021-04,102.3,122.0,2021,4
2021-05,105.5,124.0,2021,5
2021-06,110.9,127.0,2021,6
2021-07,103.4,129.0,2021,7
2021-08,102.7,129.0,2021,8
2021-09,104.1,128.0,2021,9
2021-10,107.3,125.0,2021,10
2021-11,108.2,116.0,2021,11
2021-12,104.2,107.0,2021,12
2022-01,104.9,100.0,2022,1
2022-02,103.4,97.0,2022,2
2022-03,103.6,104.0,2022,3
2022-04,104.3,114.0,2022,4
2022-05,103.1,111.0,2022,5
2022-06,96.6,98.0,2022,6
2022-07,85.7,82.0,2022,7
2022-08,88.5,76.0,2022,8
2022-09,91.3,67.0,2022,9
2022-10,88.6,64.0,2022,10
2022-11,86.2,61.0,2022,11
2022-12,89.7,62.0,2022,12
2023-01,90.4,68.0,2023,1
2023-02,89.8,71.0,2023,2
2023-03,91.7,80.0,2023,3
2023-04,94.9,87.0,2023,4
2023-05,97.9,92.0,2023,5
2023-06,100.7,100.0,2023,6
2023-07,103.4,102.0,2023,7
2023-08,103.2,107.0,2023,8
2023-09,99.7,110.0,2023,9
2023-10,98.0,108.0,2023,10
2023-11,97.1,102.0,2023,11
2023-12,99.5,93.0,2023,12
2024-01,101.5,92.0,2024,1
2024-02,101.7,92.0,2024,2
2024-03,100.5,95.0,2024,3
2024-04,100.6,101.0,2024,4
2024-05,98.2,101.0,2024,5
2024-06,100.7,108.0,2024,6
2024-07,103.6,115.0,2024,7
2024-08,100.6,118.0,2024,8
2024-09,99.8,119.0,2024,9
2024-10,101.6,116.0,2024,10
2024-11,100.6,109.0,2024,11
2024-12,87.9,103.0,2024,12
2025-01,91.0,101.0,2025,1
2025-02,95.0,99.0,2025,2
2025-03,93.2,105.0,2025,3
2025-04,93.6,108.0,2025,4
2025-05,101.7,111.0,2025,5
2025-06,108.6,120.0,2025,6
2025-07,110.7,109.0,2025,7
2025-08,111.2,111.0,2025,8
2025-09,110.0,112.0,2025,9
2025-10,109.6,122.0,2025,10
2025-11,112.3,119.0,2025,11
2025-12,109.8,121.0,2025,12
2026-01,110.8,124.0,2026,1
2026-02,112.1,108.0,2026,2
2026-03,107.0,96.0,2026,3
2026-04,99.2,104.0,2026,4
2026-05,106.1,112.0,2026,5
2026-06,106.6,120.0,2026,6
