연월,시도,아파트매매가격지수,아파트전세가격지수,연도,월
2006-01,서울,45.011,39.701,2006,1
2006-01,전국,49.211,45.74,2006,1
2006-02,서울,45.515,40.06,2006,2
2006-02,전국,49.517,46.011,2006,2
2006-03,서울,46.318,40.651,2006,3
2006-03,전국,49.921,46.415,2006,3
2006-04,서울,47.365,41.118,2006,4
2006-04,전국,50.452,46.734,2006,4
2006-05,서울,48.314,41.384,2006,5
2006-05,전국,51.079,46.98,2006,5
2006-06,서울,48.623,41.463,2006,6
2006-06,전국,51.343,47.033,2006,6
2006-07,서울,48.753,41.545,2006,7
2006-07,전국,51.44,47.074,2006,7
2006-08,서울,48.877,41.711,2006,8
2006-08,전국,51.547,47.173,2006,8
2006-09,서울,49.178,42.221,2006,9
2006-09,전국,51.774,47.564,2006,9
2006-10,서울,50.263,42.918,2006,10
2006-10,전국,52.561,48.127,2006,10
2006-11,서울,53.392,43.636,2006,11
2006-11,전국,54.578,48.685,2006,11
2006-12,서울,55.35,43.881,2006,12
2006-12,전국,55.724,48.993,2006,12
2007-01,서울,56.326,44.168,2007,1
2007-01,전국,56.286,49.251,2007,1
2007-02,서울,56.5,44.345,2007,2
2007-02,전국,56.455,49.421,2007,2
2007-03,서울,56.592,44.614,2007,3
2007-03,전국,56.507,49.63,2007,3
2007-04,서울,56.587,44.808,2007,4
2007-04,전국,56.504,49.781,2007,4
2007-05,서울,56.473,44.785,2007,5
2007-05,전국,56.444,49.756,2007,5
2007-06,서울,56.503,44.767,2007,6
2007-06,전국,56.463,49.727,2007,6
2007-07,서울,56.674,44.801,2007,7
2007-07,전국,56.556,49.724,2007,7
2007-08,서울,56.792,44.87,2007,8
2007-08,전국,56.633,49.764,2007,8
2007-09,서울,56.917,44.905,2007,9
2007-09,전국,56.717,49.841,2007,9
2007-10,서울,57.064,44.932,2007,10
2007-10,전국,56.808,49.901,2007,10
2007-11,서울,57.244,44.889,2007,11
2007-11,전국,56.896,49.908,2007,11
2007-12,서울,57.324,44.84,2007,12
2007-12,전국,56.918,49.915,2007,12
2008-01,서울,57.601,44.931,2008,1
2008-01,전국,57.017,49.966,2008,1
2008-02,서울,57.911,45.052,2008,2
2008-02,전국,57.145,50.06,2008,2
2008-03,서울,58.712,45.361,2008,3
2008-03,전국,57.496,50.309,2008,3
2008-04,서울,59.872,45.65,2008,4
2008-04,전국,58.054,50.594,2008,4
2008-05,서울,60.377,45.735,2008,5
2008-05,전국,58.393,50.71,2008,5
2008-06,서울,60.687,45.751,2008,6
2008-06,전국,58.711,50.81,2008,6
2008-07,서울,60.834,45.784,2008,7
2008-07,전국,58.896,50.878,2008,7
2008-08,서울,60.829,45.783,2008,8
2008-08,전국,58.966,50.938,2008,8
2008-09,서울,60.839,45.825,2008,9
2008-09,전국,59.092,51.112,2008,9
2008-10,서울,60.655,45.723,2008,10
2008-10,전국,59.052,51.201,2008,10
2008-11,서울,60.143,45.271,2008,11
2008-11,전국,58.739,50.993,2008,11
2008-12,서울,59.158,44.054,2008,12
2008-12,전국,58.228,50.291,2008,12
2009-01,서울,58.617,43.314,2009,1
2009-01,전국,57.838,49.685,2009,1
2009-02,서울,58.518,43.403,2009,2
2009-02,전국,57.663,49.56,2009,2
2009-03,서울,58.369,43.69,2009,3
2009-03,전국,57.526,49.658,2009,3
2009-04,서울,58.574,43.963,2009,4
2009-04,전국,57.553,49.782,2009,4
2009-05,서울,58.675,44.141,2009,5
2009-05,전국,57.634,49.927,2009,5
2009-06,서울,58.968,44.466,2009,6
2009-06,전국,57.766,50.122,2009,6
2009-07,서울,59.487,44.858,2009,7
2009-07,전국,57.961,50.358,2009,7
2009-08,서울,59.791,45.286,2009,8
2009-08,전국,58.145,50.647,2009,8
2009-09,서울,60.5,46.549,2009,9
2009-09,전국,58.612,51.546,2009,9
2009-10,서울,60.711,47.057,2009,10
2009-10,전국,58.851,51.997,2009,10
2009-11,서울,60.698,47.45,2009,11
2009-11,전국,59.045,52.401,2009,11
2009-12,서울,60.682,47.623,2009,12
2009-12,전국,59.149,52.578,2009,12
2010-01,서울,60.736,47.885,2010,1
2010-01,전국,59.236,52.782,2010,1
2010-02,서울,60.898,48.357,2010,2
2010-02,전국,59.464,53.236,2010,2
2010-03,서울,60.886,48.694,2010,3
2010-03,전국,59.641,53.665,2010,3
2010-04,서울,60.781,48.932,2010,4
2010-04,전국,59.763,54.042,2010,4
2010-05,서울,60.56,49.076,2010,5
2010-05,전국,59.797,54.302,2010,5
2010-06,서울,60.217,49.15,2010,6
2010-06,전국,59.772,54.532,2010,6
2010-07,서울,59.901,49.182,2010,7
2010-07,전국,59.711,54.725,2010,7
2010-08,서울,59.629,49.277,2010,8
2010-08,전국,59.692,54.962,2010,8
2010-09,서울,59.478,49.617,2010,9
2010-09,전국,59.786,55.352,2010,9
2010-10,서울,59.368,50.187,2010,10
2010-10,전국,59.952,55.892,2010,10
2010-11,서울,59.309,50.747,2010,11
2010-11,전국,60.278,56.671,2010,11
2010-12,서울,59.351,51.14,2010,12
2010-12,전국,60.644,57.23,2010,12
2011-01,서울,59.443,51.721,2011,1
2011-01,전국,61.033,57.841,2011,1
2011-02,서울,59.622,52.81,2011,2
2011-02,전국,61.704,59.024,2011,2
2011-03,서울,59.709,53.756,2011,3
2011-03,전국,62.512,60.383,2011,3
2011-04,서울,59.713,54.115,2011,4
2011-04,전국,63.263,61.378,2011,4
2011-05,서울,59.663,54.292,2011,5
2011-05,전국,63.914,62.06,2011,5
2011-06,서울,59.593,54.544,2011,6
2011-06,전국,64.341,62.569,2011,6
2011-07,서울,59.496,55.153,2011,7
2011-07,전국,64.7,63.196,2011,7
2011-08,서울,59.431,56.096,2011,8
2011-08,전국,65.157,64.13,2011,8
2011-09,서울,59.367,57.337,2011,9
2011-09,전국,65.608,65.254,2011,9
2011-10,서울,59.29,57.931,2011,10
2011-10,전국,65.952,65.982,2011,10
2011-11,서울,59.184,58.104,2011,11
2011-11,전국,66.32,66.448,2011,11
2011-12,서울,59.089,58.001,2011,12
2011-12,전국,66.467,66.506,2011,12
2012-01,서울,58.993,57.97,2012,1
2012-01,전국,66.593,66.678,2012,1
2012-02,서울,58.911,58.081,2012,2
2012-02,전국,66.72,66.969,2012,2
2012-03,서울,58.765,58.222,2012,3
2012-03,전국,66.848,67.341,2012,3
2012-04,서울,58.51,58.236,2012,4
2012-04,전국,66.943,67.7,2012,4
2012-05,서울,58.356,58.195,2012,5
2012-05,전국,66.962,67.848,2012,5
2012-06,서울,58.177,58.177,2012,6
2012-06,전국,66.923,67.932,2012,6
2012-07,서울,57.864,58.148,2012,7
2012-07,전국,66.824,68.039,2012,7
2012-08,서울,57.593,58.151,2012,8
2012-08,전국,66.723,68.113,2012,8
2012-09,서울,57.221,58.453,2012,9
2012-09,전국,66.58,68.385,2012,9
2012-10,서울,56.874,58.834,2012,10
2012-10,전국,66.463,68.816,2012,10
2012-11,서울,56.649,59.137,2012,11
2012-11,전국,66.4,69.172,2012,11
2012-12,서울,56.442,59.282,2012,12
2012-12,전국,66.344,69.362,2012,12
2013-01,서울,56.231,59.477,2013,1
2013-01,전국,66.286,69.555,2013,1
2013-02,서울,56.084,59.743,2013,2
2013-02,전국,66.233,69.805,2013,2
2013-03,서울,55.939,60.057,2013,3
2013-03,전국,66.198,70.185,2013,3
2013-04,서울,55.868,60.305,2013,4
2013-04,전국,66.189,70.508,2013,4
2013-05,서울,55.838,60.434,2013,5
2013-05,전국,66.174,70.676,2013,5
2013-06,서울,55.722,60.585,2013,6
2013-06,전국,66.135,70.878,2013,6
2013-07,서울,55.537,60.976,2013,7
2013-07,전국,66.118,71.173,2013,7
