연월,시도,전월세전환율,연도,월
2012-01,강원,10.4,2012,1
2012-01,경기,8.2,2012,1
2012-01,경남,8.1,2012,1
2012-01,경북,10.2,2012,1
2012-01,광주,7.9,2012,1
2012-01,대구,7.1,2012,1
2012-01,대전,7.3,2012,1
2012-01,부산,7.1,2012,1
2012-01,서울,7.1,2012,1
2012-01,울산,8.0,2012,1
2012-01,인천,8.7,2012,1
2012-01,전남,12.0,2012,1
2012-01,전북,9.3,2012,1
2012-01,제주,7.9,2012,1
2012-01,충남,10.1,2012,1
2012-01,충북,9.6,2012,1
2012-02,강원,10.0,2012,2
2012-02,경기,8.0,2012,2
2012-02,경남,8.0,2012,2
2012-02,경북,9.7,2012,2
2012-02,광주,7.9,2012,2
2012-02,대구,7.0,2012,2
2012-02,대전,7.3,2012,2
2012-02,부산,7.0,2012,2
2012-02,서울,7.1,2012,2
2012-02,울산,8.0,2012,2
2012-02,인천,8.6,2012,2
2012-02,전남,12.0,2012,2
2012-02,전북,9.4,2012,2
2012-02,제주,7.9,2012,2
2012-02,충남,10.1,2012,2
2012-02,충북,9.6,2012,2
2012-03,강원,9.9,2012,3
2012-03,경기,8.0,2012,3
2012-03,경남,8.0,2012,3
2012-03,경북,10.0,2012,3
2012-03,광주,7.9,2012,3
2012-03,대구,6.9,2012,3
2012-03,대전,7.4,2012,3
2012-03,부산,6.9,2012,3
2012-03,서울,7.0,2012,3
2012-03,울산,7.8,2012,3
2012-03,인천,8.6,2012,3
2012-03,전남,12.0,2012,3
2012-03,전북,9.2,2012,3
2012-03,제주,8.3,2012,3
2012-03,충남,10.0,2012,3
2012-03,충북,10.3,2012,3
2012-04,강원,9.7,2012,4
2012-04,경기,8.0,2012,4
2012-04,경남,7.9,2012,4
2012-04,경북,10.1,2012,4
2012-04,광주,8.0,2012,4
2012-04,대구,6.8,2012,4
2012-04,대전,7.3,2012,4
2012-04,부산,6.9,2012,4
2012-04,서울,7.0,2012,4
2012-04,울산,7.6,2012,4
2012-04,인천,8.5,2012,4
2012-04,전남,12.0,2012,4
2012-04,전북,9.0,2012,4
2012-04,제주,8.1,2012,4
2012-04,충남,9.7,2012,4
2012-04,충북,10.3,2012,4
2012-05,강원,9.9,2012,5
2012-05,경기,8.0,2012,5
2012-05,경남,8.0,2012,5
2012-05,경북,10.4,2012,5
2012-05,광주,8.0,2012,5
2012-05,대구,6.8,2012,5
2012-05,대전,7.3,2012,5
2012-05,부산,6.8,2012,5
2012-05,서울,7.0,2012,5
2012-05,울산,7.4,2012,5
2012-05,인천,8.5,2012,5
2012-05,전남,11.9,2012,5
2012-05,전북,9.0,2012,5
2012-05,제주,8.1,2012,5
2012-05,충남,9.6,2012,5
2012-05,충북,10.4,2012,5
2012-06,강원,9.9,2012,6
2012-06,경기,8.0,2012,6
2012-06,경남,8.0,2012,6
2012-06,경북,10.8,2012,6
2012-06,광주,7.8,2012,6
2012-06,대구,6.8,2012,6
2012-06,대전,7.4,2012,6
2012-06,부산,6.8,2012,6
2012-06,서울,6.9,2012,6
2012-06,울산,7.5,2012,6
2012-06,인천,8.4,2012,6
2012-06,전남,12.0,2012,6
2012-06,전북,9.3,2012,6
2012-06,제주,7.9,2012,6
2012-06,충남,9.6,2012,6
2012-06,충북,10.3,2012,6
2012-07,강원,9.9,2012,7
2012-07,경기,8.0,2012,7
2012-07,경남,8.0,2012,7
2012-07,경북,10.9,2012,7
2012-07,광주,7.9,2012,7
2012-07,대구,6.7,2012,7
2012-07,대전,7.4,2012,7
2012-07,부산,6.8,2012,7
2012-07,서울,6.9,2012,7
2012-07,세종,8.1,2012,7
2012-07,울산,7.4,2012,7
2012-07,인천,8.4,2012,7
2012-07,전남,11.9,2012,7
2012-07,전북,9.4,2012,7
2012-07,제주,8.0,2012,7
2012-07,충남,9.4,2012,7
2012-07,충북,10.3,2012,7
2012-08,강원,10.0,2012,8
2012-08,경기,8.0,2012,8
2012-08,경남,8.0,2012,8
2012-08,경북,10.6,2012,8
2012-08,광주,8.0,2012,8
2012-08,대구,6.7,2012,8
2012-08,대전,7.3,2012,8
2012-08,부산,6.7,2012,8
2012-08,서울,6.9,2012,8
2012-08,세종,7.7,2012,8
2012-08,울산,7.4,2012,8
2012-08,인천,8.4,2012,8
2012-08,전남,11.1,2012,8
2012-08,전북,9.4,2012,8
2012-08,제주,8.2,2012,8
2012-08,충남,9.5,2012,8
2012-08,충북,10.1,2012,8
2012-09,강원,10.0,2012,9
2012-09,경기,8.0,2012,9
2012-09,경남,8.0,2012,9
2012-09,경북,9.2,2012,9
2012-09,광주,8.0,2012,9
2012-09,대구,6.7,2012,9
2012-09,대전,7.4,2012,9
2012-09,부산,6.7,2012,9
2012-09,서울,6.9,2012,9
2012-09,세종,8.0,2012,9
2012-09,울산,7.5,2012,9
2012-09,인천,8.3,2012,9
2012-09,전남,11.2,2012,9
2012-09,전북,9.2,2012,9
2012-09,제주,7.8,2012,9
2012-09,충남,9.3,2012,9
2012-09,충북,9.2,2012,9
2012-10,강원,10.0,2012,10
2012-10,경기,8.0,2012,10
2012-10,경남,8.0,2012,10
2012-10,경북,9.3,2012,10
2012-10,광주,7.7,2012,10
2012-10,대구,6.7,2012,10
2012-10,대전,7.2,2012,10
2012-10,부산,6.8,2012,10
2012-10,서울,6.9,2012,10
2012-10,세종,8.0,2012,10
2012-10,울산,7.5,2012,10
2012-10,인천,8.3,2012,10
2012-10,전남,11.7,2012,10
2012-10,전북,9.2,2012,10
2012-10,제주,7.5,2012,10
2012-10,충남,9.4,2012,10
2012-10,충북,9.0,2012,10
2012-11,강원,10.0,2012,11
2012-11,경기,8.0,2012,11
2012-11,경남,7.9,2012,11
2012-11,경북,9.6,2012,11
2012-11,광주,7.7,2012,11
2012-11,대구,6.6,2012,11
2012-11,대전,7.2,2012,11
2012-11,부산,6.7,2012,11
2012-11,서울,6.8,2012,11
2012-11,세종,8.0,2012,11
2012-11,울산,7.5,2012,11
2012-11,인천,8.3,2012,11
2012-11,전남,10.8,2012,11
2012-11,전북,9.2,2012,11
2012-11,제주,7.9,2012,11
2012-11,충남,9.3,2012,11
2012-11,충북,8.5,2012,11
2012-12,강원,9.9,2012,12
