연월,KB_선도50지수
2008-12,31.41077421
2009-01,31.04852466
2009-02,31.58748988
2009-03,31.60593245
2009-04,32.00472036
2009-05,32.3272893
2009-06,32.84110216
2009-07,33.52313721
2009-08,33.87638844
2009-09,34.4558886
2009-10,34.49815393
2009-11,34.40671957
2009-12,34.32603714
2010-01,34.46157049
2010-02,34.62582222
2010-03,34.60872991
2010-04,34.42540885
2010-05,33.95629296
2010-06,33.51080848
2010-07,33.25089333
2010-08,32.93418173
2010-09,32.83042939
2010-10,32.8087028
2010-11,32.86829305
2010-12,33.07410895
2011-01,33.22011392
2011-02,33.4240912
2011-03,33.39229519
2011-04,33.35336528
2011-05,33.22041777
2011-06,33.08913212
2011-07,32.87053622
2011-08,32.84069861
2011-09,32.73229856
2011-10,32.53046517
2011-11,32.33874891
2011-12,32.17173008
2012-01,31.90165908
2012-02,31.72404831
2012-03,31.42791319
2012-04,30.99072396
2012-05,30.89507707
2012-06,30.65297377
2012-07,30.18175122
2012-08,29.68980582
2012-09,29.32264513
2012-10,29.20889338
2012-11,29.02456662
2012-12,28.85126744
2013-01,28.68973957
2013-02,28.50397028
2013-03,28.55771937
2013-04,28.65715035
2013-05,28.77204032
2013-06,28.65018519
2013-07,28.53758757
2013-08,28.46336912
2013-09,28.55939418
2013-10,28.62140484
2013-11,28.62634115
2013-12,28.70368645
2014-01,28.78426628
2014-02,28.92177115
2014-03,29.26513838
2014-04,29.265341
2014-05,29.2841564
2014-06,29.32422363
2014-07,29.37187498
2014-08,29.58282491
2014-09,29.88391182
2014-10,30.13800868
2014-11,30.20184593
2014-12,30.16764357
2015-01,30.23379191
2015-02,30.36461331
2015-03,30.5643899
2015-04,30.75302709
2015-05,30.91494843
2015-06,31.25470194
2015-07,31.43381214
2015-08,31.7409685
2015-09,31.9247445
2015-10,32.08520025
2015-11,32.38870146
2015-12,32.43522154
2016-01,32.40537209
2016-02,32.37191238
2016-03,32.38425957
2016-04,32.53648408
2016-05,32.91627995
2016-06,33.39076175
2016-07,33.92063056
2016-08,34.53492467
2016-09,35.17034778
2016-10,35.99782593
2016-11,36.44542389
2016-12,36.32754428
2017-01,36.22544564
2017-02,36.3276011
2017-03,36.45592527
2017-04,36.63006977
2017-05,37.06919945
2017-06,38.03647337
2017-07,38.50217408
2017-08,39.79805178
2017-09,39.66995253
2017-10,40.173996
2017-11,41.00880024
2017-12,42.10579196
2018-01,43.88817449
2018-02,45.63675672
2018-03,47.19722671
2018-04,47.52854473
2018-05,47.61795094
2018-06,47.61790498
2018-07,47.54434072
2018-08,48.38606582
2018-09,51.01130121
2018-10,51.79684902
2018-11,51.88880259
2018-12,51.51893639
2019-01,50.98878985
2019-02,50.22135142
2019-03,49.6420472
2019-04,49.4027071
2019-05,49.56664468
2019-06,49.96470396
2019-07,51.84065854
2019-08,52.63985356
2019-09,53.24555842
2019-10,54.56177526
2019-11,55.4604956
2019-12,57.60168364
2020-01,58.07895392
2020-02,58.27363469
2020-03,58.19756689
2020-04,57.6667803
2020-05,57.29945862
2020-06,57.61999457
2020-07,59.46979033
2020-08,60.82310002
2020-09,62.3377018
2020-10,62.88114963
2020-11,63.59639794
2020-12,64.33500721
2021-01,65.32414379
2021-02,66.51075883
2021-03,67.50468962
2021-04,67.91138445
2021-05,68.45056417
2021-06,69.2140426
2021-07,69.98088159
2021-08,71.24949991
2021-09,72.60292334
2021-10,73.63491437
2021-11,74.50705513
2021-12,75.06641461
2022-01,75.36839103
2022-02,75.43961341
2022-03,75.63428985
2022-04,75.92667311
2022-05,76.39169361
2022-06,76.4372223
2022-07,76.25625106
2022-08,75.70845208
2022-09,74.85751255
2022-10,73.54794174
2022-11,71.23599456
2022-12,69.39544453
2023-01,67.88956338
2023-02,67.31929105
2023-03,67.01635423
2023-04,66.9895477
2023-05,67.05653724
2023-06,67.60640085
2023-07,68.28246486
2023-08,69.11551092
2023-09,70.00018947
2023-10,70.50419083
2023-11,70.82851011
2023-12,70.72935019
2024-01,70.57374562
2024-02,70.53140138
2024-03,70.53845452
2024-04,70.62310066
2024-05,70.90559306
2024-06,71.3522983
2024-07,72.95772502
2024-08,74.75248504
2024-09,76.36713873
2024-10,77.19954055
2024-11,77.68589768
2024-12,78.34622774
2025-01,78.67528191
2025-02,79.28894914
2025-03,82.00063119
2025-04,84.87885335
2025-05,86.6528214
2025-06,90.54353303
2025-07,92.79806705
2025-08,94.31067554
2025-09,95.24435122
2025-10,97.32067804
2025-11,98.47879417
2025-12,99.5817566
2026-01,100.0
2026-02,100.49
2026-03,99.756423
2026-04,99.27759218
2026-05,98.73156542
