지역명,연월,KB_PIR,KB_J_PIR,KB_HAI,KB_HOI,KB_월세지수
6개광역시,2008-12,,,146.0348652,,
강남11개구,2008-12,,,37.26899394,,
강북14개구,2008-12,,,53.54498612,,
경기,2008-12,,,71.83629204,,
기타지방,2008-12,,,198.6472372,,
서울,2008-12,11.88688437,4.467449681,43.99333135,,
수도권,2008-12,,,57.93780216,,
전국,2008-12,5.248552464,2.683482719,84.8315236,,
6개광역시,2009-01,,,161.4155358,,
강남11개구,2009-01,,,41.28719935,,
강북14개구,2009-01,,,59.02555863,,
경기,2009-01,,,79.99378528,,
기타지방,2009-01,,,218.1402731,,
서울,2009-01,11.83892579,4.363135464,48.636971,,
수도권,2009-01,,,64.23257243,,
전국,2009-01,5.167886661,2.620022055,93.90963313,,
6개광역시,2009-02,,,165.1835459,,
강남11개구,2009-02,,,41.74597644,,
강북14개구,2009-02,,,60.29493378,,
경기,2009-02,,,82.21393209,,
기타지방,2009-02,,,222.7091909,,
서울,2009-02,11.84869615,4.397137398,49.38562164,,
수도권,2009-02,,,65.54608516,,
전국,2009-02,5.126262134,2.612471912,95.85591577,,
6개광역시,2009-03,,,164.6190874,,
강남11개구,2009-03,,,41.59186095,,
강북14개구,2009-03,,,60.05027526,,
경기,2009-03,,,81.93405273,,
기타지방,2009-03,,,222.0881157,,
서울,2009-03,11.7915161,4.545924792,49.19585742,,
수도권,2009-03,,,65.31370669,,
전국,2009-03,5.105512662,2.61711537,95.51678699,,
6개광역시,2009-04,,,166.063653,,
강남11개구,2009-04,,,41.28089457,,
강북14개구,2009-04,,,60.06861733,,
경기,2009-04,,,82.10213899,,
기타지방,2009-04,,,223.1739853,,
서울,2009-04,11.99661984,4.620803578,48.98502921,,
수도권,2009-04,,,65.26565974,,
전국,2009-04,5.141413382,2.635791014,95.58055855,,
6개광역시,2009-05,,,166.4470481,,
강남11개구,2009-05,,,41.16023601,,
강북14개구,2009-05,,,60.39030071,,
경기,2009-05,,,82.0071382,,
기타지방,2009-05,,,223.6873782,,
서울,2009-05,12.02082778,4.623084151,49.00732411,,
수도권,2009-05,,,65.25929286,,
전국,2009-05,5.138440947,2.641969066,95.62782225,,
6개광역시,2009-06,,,166.0595518,,
강남11개구,2009-06,,,40.82088766,,
강북14개구,2009-06,,,59.96242083,,
경기,2009-06,,,81.48631275,,
기타지방,2009-06,,,223.552292,,
서울,2009-06,12.01789475,4.666158261,48.62644819,,
