시도,연월,KB_매수우위지수,KB_매매거래지수,KB_전세수급지수,연도,월
강원,2021-05,90.9764658,18.09203926,177.41142531,2021,5
경기,2021-05,96.43168741,15.82653873,167.439455682,2021,5
경남,2021-05,68.60972001,27.88229185,169.407122936,2021,5
경북,2021-05,74.99403754,26.8419189,173.011249826,2021,5
광주,2021-05,65.12797499,4.320225883,182.242165771,2021,5
대구,2021-05,58.5492311,3.188520197,174.320573673,2021,5
대전,2021-05,96.87096073,16.9856241,177.927513085,2021,5
부산,2021-05,61.43943006,9.052422518,172.452057244,2021,5
서울,2021-05,87.17095134,12.92665049,157.853902858,2021,5
세종,2021-05,57.142857,14.285714,121.428571,2021,5
울산,2021-05,56.64255296,5.674613185,186.692487977,2021,5
인천,2021-05,122.8650119,36.03549844,175.124410237,2021,5
전남,2021-05,50.74442898,10.63293135,176.125783343,2021,5
전북,2021-05,77.51913311,23.335925,192.45597997,2021,5
제주,2021-05,112.5,16.66666667,179.16666667,2021,5
충남,2021-05,94.48391808,20.86836437,184.709953595,2021,5
충북,2021-05,107.2661758,20.88824418,189.552796384,2021,5
강원,2021-06,101.6660888,19.54778127,181.59450251,2021,6
경기,2021-06,103.3395397,17.46543506,171.587804224,2021,6
경남,2021-06,78.57139191,35.20567483,166.879968732,2021,6
경북,2021-06,82.13486772,32.93948993,172.740649368,2021,6
광주,2021-06,87.22082278,6.107633163,185.07122352,2021,6
대구,2021-06,63.26963667,3.882361297,174.902144921,2021,6
대전,2021-06,107.5031002,11.6203873,183.913164269,2021,6
부산,2021-06,76.72233268,16.89710477,175.565942215,2021,6
서울,2021-06,98.93970303,15.21804651,166.836354606,2021,6
세종,2021-06,32.142857,3.571429,125.0,2021,6
울산,2021-06,50.09700528,12.35367691,182.898665227,2021,6
인천,2021-06,122.0082908,23.46596337,180.150106295,2021,6
전남,2021-06,57.60814707,23.41864122,178.425193625,2021,6
전북,2021-06,101.3835945,25.38766301,183.347541566,2021,6
제주,2021-06,116.6666667,8.333333333,170.833333333,2021,6
충남,2021-06,104.270555,26.00437182,182.774290799,2021,6
충북,2021-06,128.3525241,16.46028598,185.364281907,2021,6
강원,2021-07,113.0680331,31.68766453,183.951753542,2021,7
경기,2021-07,117.6639419,16.35320653,176.64224657,2021,7
경남,2021-07,97.7732289,27.97182965,176.792554763,2021,7
경북,2021-07,89.18366872,26.21521022,171.99231237,2021,7
광주,2021-07,108.1893764,9.903915389,181.089483488,2021,7
대구,2021-07,55.53586248,3.835895694,174.528368942,2021,7
대전,2021-07,97.02422957,11.08369826,187.281401272,2021,7
부산,2021-07,85.36061831,7.706431457,165.886848653,2021,7
서울,2021-07,103.2868857,14.10899672,174.263769097,2021,7
세종,2021-07,53.571429,14.285714,125.0,2021,7
울산,2021-07,80.6401252,13.28894492,187.582703133,2021,7
인천,2021-07,106.0886505,16.3894195,188.589925037,2021,7
전남,2021-07,58.34558239,11.85030867,183.07812334,2021,7
전북,2021-07,94.20818379,8.746287013,188.60483458,2021,7
제주,2021-07,116.6666667,4.166666667,183.333333333,2021,7
충남,2021-07,104.0170758,22.09399357,183.148431115,2021,7
충북,2021-07,137.683436,21.22652417,188.330044367,2021,7
강원,2021-08,128.0547751,22.34976532,187.23224493,2021,8
경기,2021-08,131.9752781,18.46132134,178.02534934,2021,8
경남,2021-08,111.6577779,36.60336442,186.313560999,2021,8
경북,2021-08,113.132183,30.07188694,177.116910878,2021,8
광주,2021-08,122.1460845,9.462493503,167.505593841,2021,8
대구,2021-08,53.59385103,4.776112788,184.221608859,2021,8
대전,2021-08,109.3811827,19.28024169,176.716356628,2021,8
부산,2021-08,101.6169956,14.44625535,173.943752464,2021,8
서울,2021-08,112.0711621,14.36605386,177.035461676,2021,8
세종,2021-08,33.333333,0.0,151.851852,2021,8
울산,2021-08,72.09688416,10.34764971,190.159983106,2021,8
인천,2021-08,139.1330377,22.01696374,190.719548315,2021,8
전남,2021-08,67.95006127,13.86875742,178.882041349,2021,8
전북,2021-08,108.9512805,19.81483574,189.403861577,2021,8
제주,2021-08,131.8181818,4.545454545,181.81818182,2021,8
충남,2021-08,125.8795996,26.97487437,187.045222855,2021,8
충북,2021-08,154.1205718,18.74016539,192.206499156,2021,8
강원,2021-09,126.9569742,29.05660024,175.39496433,2021,9
경기,2021-09,121.234181,18.89735253,174.679994971,2021,9
경남,2021-09,120.1722305,34.44191773,175.709943597,2021,9
경북,2021-09,100.8638953,30.63041602,168.13305739,2021,9
광주,2021-09,131.141812,14.92319647,157.808566927,2021,9
대구,2021-09,45.56101734,2.875589034,176.548626989,2021,9
대전,2021-09,90.25527747,12.79682011,173.922602044,2021,9
부산,2021-09,95.15978886,10.75060298,170.813459708,2021,9
서울,2021-09,106.2493786,11.58871728,167.651191803,2021,9
세종,2021-09,48.148148,3.703704,140.740741,2021,9
울산,2021-09,71.08455012,13.84973042,187.754992597,2021,9
인천,2021-09,122.8163802,15.81041836,189.410348953,2021,9
전남,2021-09,40.98229798,13.56774249,165.700397828,2021,9
전북,2021-09,113.6518759,21.0132087,183.371510741,2021,9
제주,2021-09,116.6666667,0.0,179.166666663,2021,9
충남,2021-09,123.3441972,26.8786406,183.057032562,2021,9
충북,2021-09,166.1227115,36.72781518,193.237618321,2021,9
강원,2021-10,128.6744967,22.91859497,176.665278036,2021,10
경기,2021-10,105.2304864,12.58586519,158.539620798,2021,10
경남,2021-10,104.303828,27.00866817,168.48915088,2021,10
경북,2021-10,101.8637832,21.5309309,140.87780077,2021,10
광주,2021-10,123.4733201,6.612491543,139.021381022,2021,10
대구,2021-10,44.55942832,4.372909658,164.481605024,2021,10
대전,2021-10,82.00587461,12.92156993,161.604484012,2021,10
부산,2021-10,89.224153,8.547962053,164.945955455,2021,10
서울,2021-10,96.4850479,7.683005857,162.24935577,2021,10
세종,2021-10,24.0,4.0,100.0,2021,10
울산,2021-10,84.26913089,12.09438689,189.716751943,2021,10
인천,2021-10,113.4181971,9.808993633,187.035314798,2021,10
전남,2021-10,61.58028639,22.45870094,161.32846025,2021,10
전북,2021-10,107.2093489,25.77955102,178.840125137,2021,10
제주,2021-10,126.0869565,4.347826087,191.30434783,2021,10
충남,2021-10,122.5736253,17.48409963,185.67633839,2021,10
충북,2021-10,156.3180357,32.7793703,188.6817652,2021,10
강원,2021-11,126.5432554,23.96591965,164.40730547,2021,11
경기,2021-11,76.76844036,4.398069516,131.35237674,2021,11
경남,2021-11,86.10623666,13.8063557,161.990613115,2021,11
경북,2021-11,84.99665083,12.70443817,163.924544383,2021,11
광주,2021-11,100.8532234,3.066211573,139.037500771,2021,11
대구,2021-11,35.90836298,2.748118418,143.86820489,2021,11
대전,2021-11,68.42755052,6.002931033,143.15409212,2021,11
부산,2021-11,68.17907182,2.887479638,141.758092418,2021,11
서울,2021-11,66.86333062,3.002419444,140.074961843,2021,11
세종,2021-11,23.076923,0.0,96.153846,2021,11
울산,2021-11,52.54424309,6.723772207,175.108434261,2021,11
인천,2021-11,80.61994957,5.934053274,177.124479106,2021,11
전남,2021-11,46.32980239,14.28507955,149.054456739,2021,11
전북,2021-11,79.7879348,17.13552676,170.172072089,2021,11
제주,2021-11,100.0,0.0,184.0,2021,11
충남,2021-11,104.8765524,15.34377226,166.986781826,2021,11
충북,2021-11,117.940949,28.90289662,180.951028691,2021,11
강원,2021-12,100.2010087,13.34147903,174.275756693,2021,12
경기,2021-12,62.28993326,2.04882967,126.56985808,2021,12
경남,2021-12,69.13832019,6.40572459,160.245177251,2021,12
경북,2021-12,77.37916852,11.20495192,160.019771056,2021,12
광주,2021-12,86.23643218,2.827742214,134.007319271,2021,12
대구,2021-12,29.55098323,1.528652393,135.08154476,2021,12
대전,2021-12,51.73979018,3.157714512,145.13163191,2021,12
부산,2021-12,63.70152057,2.494919412,130.47946268,2021,12
서울,2021-12,54.62951709,2.110656103,129.75474808,2021,12
세종,2021-12,25.0,0.0,78.571429,2021,12
울산,2021-12,44.1843185,2.094779359,170.665904138,2021,12
인천,2021-12,57.05739985,3.271078672,163.880722293,2021,12
전남,2021-12,41.34549187,10.15394804,147.129857078,2021,12
전북,2021-12,73.82936005,14.25403757,168.201198334,2021,12
제주,2021-12,69.56521739,0.0,147.82608696,2021,12
충남,2021-12,92.44536243,14.04615663,154.043955541,2021,12
충북,2021-12,84.55980708,14.01720372,168.222451448,2021,12
강원,2022-01,79.929795,5.421472,159.495195,2022,1
