연도,소득분위,가구_금융부채,가구_금융자산,가구_부채평균,가구_소득평균,가구_순자산,가구_실물자산,가구_임대보증금,가구_자산평균,DSR
2017,소득1분위,992.9672642106,2806.6758269986,1514.4881014888,1014.6551534093,10929.772496213,9637.5847707032,521.5208372782,12444.2605977018,149.26136199082342
2017,소득2분위,2555.5110331871,5260.7958235382,3670.1242685163,2590.4633074658,18259.6578482019,16668.9862931799,1114.6132353291,21929.7821167181,141.6782958453371
2017,소득3분위,4678.538870374,7737.4349043533,6155.3487059585,4358.1889541028,25637.0962135498,24055.010015155,1476.8098355845,31792.4449195083,141.23638903182143
2017,소득4분위,6290.2257565514,11298.0802111681,8677.5056988509,6630.0300778399,35475.5946748742,32855.020162557,2387.2799422995,44153.1003737251,130.88184513452583
2017,소득5분위,10685.204666297,21501.5741533228,15475.2996950239,12955.9113611205,67547.4968553551,61521.2223970562,4790.0950287269,83022.796550379,119.44585960555314
2017,전체,5040.8421339001,9721.6752176524,7099.0923690539,5510.3332498432,31572.151462418,28949.5686138196,2058.2502351538,38671.2438314719,128.83235998940552
2018,소득1분위,1025.4477142419,3048.208932686,1610.4587759688,1070.7008181246,11871.3162680143,10433.5661112972,585.0110617269,13481.7750439831,150.41165082787742
2018,소득2분위,2821.0640403364,5769.0008238388,3868.4590383955,2691.0515097868,19849.6111467927,17949.0693613494,1047.3949980591,23718.0701851882,143.75269385690729
2018,소득3분위,4867.7328047375,8314.1808326623,6580.7777436252,4500.2504381182,28150.6054066593,26417.2023176221,1713.0449388876,34731.3831502844,146.2313672120208
2018,소득4분위,6949.2354499513,11545.7005199676,9129.5270001429,6872.2830704463,37697.1678374806,35280.9943176559,2180.2915501916,46826.6948376235,132.84561922956425
2018,소득5분위,12031.4432096628,23052.6841097039,17150.3020230813,13546.653990428,74263.716571368,68361.3344847455,5118.8588134185,91414.0185944494,126.6017574169948
2018,전체,5539.1785305818,10346.3188811975,7668.1761503221,5736.4204241095,34367.6077936121,31689.4650627368,2128.9976197403,42035.7839439342,133.67528150645404
2019,소득1분위,996.1452242493,2978.2951431811,1627.8272903342,1119.3274871415,11449.9766005556,10099.5087477087,631.6820660849,13077.8038908898,145.42904637241506
2019,소득2분위,2708.6152513763,5640.6304304159,3728.4558042654,2758.5051289326,20219.4767470017,18307.3021208513,1019.8405528892,23947.9325512672,135.1621849515328
2019,소득3분위,4953.0066037512,8628.4639556744,6617.3582864763,4625.1839157986,28655.1604793104,26644.0548101122,1664.3516827251,35272.5187657867,143.0723276510773
2019,소득4분위,7581.0324350471,11920.4453251919,9886.0722395934,7027.0957890157,39141.307071015,37106.9339854165,2305.0398045463,49027.3793106084,140.6850359866542
2019,소득5분위,12533.6224472918,23678.112803628,17687.0684365432,13785.8226582056,76921.0769571673,70930.0325900825,5153.4459892514,94608.1453937105,128.29896971012823
2019,전체,5755.0647390581,10570.2266221904,7910.1721632936,5863.8095447184,35280.596383398,32620.5419245012,2155.1074242356,43190.7685466917,134.8981767393585
2020,소득1분위,1180.7712321193,2887.5960464202,1782.337399063,1168.4894495221,11854.1042532545,10748.8456058973,601.5661669437,13636.4416523175,152.5334610245696
2020,소득2분위,2844.2568467105,5872.4479507821,4014.7726375495,2801.0908319649,21646.1281879798,19788.4528747472,1170.5157908391,25660.9008255293,143.3288985753179
2020,소득3분위,5195.5109815031,8625.2618062414,6909.5748198541,4727.5431865545,28948.0867082639,27232.3997218766,1714.063838351,35857.661528118,146.15572078760627
2020,소득4분위,7726.4001222113,11620.5350883803,9959.5624564282,7181.3594485187,39450.2530541419,37789.2804221899,2233.1623342169,49409.8155105702,138.68631040996786
2020,소득5분위,13298.4749389072,23510.5074469893,18611.2079845963,13946.7843124463,79518.8733094601,74619.573847067,5312.733045689,98130.0812940564,133.44443828522827
2020,전체,6049.5522542843,10504.2026840707,8256.1886879624,5965.5882976167,36286.5906786726,34038.5766825644,2206.6364336781,44542.779366635,138.39689023228124
2021,소득1분위,1231.4053036055,3472.1401260994,1764.8218520524,1314.4017649966,14735.6715928061,13028.3533187591,533.4165484469,16500.4934448585,134.2680677286648
2021,소득2분위,3276.3137978458,6316.0455588877,4507.596610763,3002.492345284,24174.4281966439,22365.9792485192,1231.2828129173,28682.0248074069,150.12849634214922
2021,소득3분위,5715.5045085845,8975.1357875991,7112.1749816516,4914.8224247573,32560.8536785825,30697.892872635,1396.6704730672,39673.0286602341,144.70868664197585
2021,소득4분위,8668.6110187787,12632.7364926307,10969.0866820555,7397.222081742,45478.1108158379,43814.4610052628,2300.4756632768,56447.1974978934,148.2865670496721
2021,소득5분위,13696.2381584057,25197.7194297541,19650.9166587858,14268.8269839115,90300.814516767,84754.0117457987,5954.6785003801,109951.7311755528,137.7192160290594
2021,전체,6517.9092809937,11319.3321855649,8801.3739590066,6179.8860140626,41452.0141881929,38934.0559616346,2283.4646780129,50253.3881471995,142.41968118794892
2022,소득1분위,1155.5666708085,3587.9036849142,1632.7844398084,1347.2844532002,15277.7352339616,13322.6159888559,477.2177689999,16910.5196737701,121.19077273771347
2022,소득2분위,3472.9411276912,7098.164316678,4600.891193542,3132.8167708717,25960.9175322924,23463.6444091563,1127.9500658508,30561.8087258344,146.86116456985806
2022,소득3분위,6006.7690532524,9891.5297092985,7671.943493521,5110.2668063731,36051.6898797203,33832.1036639428,1665.1744402686,43723.6333732413,150.1280419244097
2022,소득4분위,8633.6717452644,13568.4360706048,11378.3391087223,7730.7041625509,50174.532542542,47984.4355806595,2744.6673634579,61552.8716512642,147.1837347474928
2022,소득5분위,14742.5996618095,26478.155451124,20560.1767411603,15025.6975797391,100528.0244442397,94610.045734276,5817.5770793509,121088.2011854,136.83342574979002
2022,전체,6802.864638423,12125.8577624455,9169.610151023,6469.9256065777,45602.3278201384,42646.0802087159,2366.7455126,54771.9379711614,141.72667057718013
2023,소득1분위,1346.0916034791,3803.2872157969,2003.5981444559,1404.7942664444,15283.6281924506,13483.9391211096,657.5065409768,17287.2263369065,142.62573476521231
2023,소득2분위,3405.8470513498,7132.441126408,4432.4625120899,3309.2857080294,24134.8492041068,21434.8705897888,1026.6154607401,28567.3117161968,133.94015818384338
2023,소득3분위,5758.0163462331,10583.4149727798,7442.864065577,5387.5062029953,34504.6863445151,31364.1354373123,1684.8477193439,41947.5504100921,138.1504500438251
2023,소득4분위,8653.6286427119,13470.0594000266,11416.615796895,8110.6958678205,46944.1606832416,44890.71708011,2762.987154183,58360.7764801366,140.76000361683964
2023,소득5분위,14304.9005075964,27940.8651947622,20633.6151324657,15598.0072555042,96824.6678861857,89517.4178238892,6328.7146248692,117458.2830186514,132.28366158878754
