연월,지역,소비심리지수,연도,월
2025-01,강원,98.7,2025,1
2025-01,경기,100.3,2025,1
2025-01,경남,94.9,2025,1
2025-01,경북,98.5,2025,1
2025-01,광주,98.2,2025,1
2025-01,대구,91.3,2025,1
2025-01,대전,91.8,2025,1
2025-01,부산,97.8,2025,1
2025-01,비수도권,98.1,2025,1
2025-01,서울,104.8,2025,1
2025-01,세종,100.8,2025,1
2025-01,수도권,102.0,2025,1
2025-01,울산,107.4,2025,1
2025-01,인천,102.3,2025,1
2025-01,전국,100.2,2025,1
2025-01,전남,98.6,2025,1
2025-01,전북,104.1,2025,1
2025-01,제주,92.4,2025,1
2025-01,충남,102.3,2025,1
2025-01,충북,104.5,2025,1
2025-02,강원,102.5,2025,2
2025-02,경기,105.5,2025,2
2025-02,경남,98.4,2025,2
2025-02,경북,100.5,2025,2
2025-02,광주,102.8,2025,2
2025-02,대구,93.2,2025,2
2025-02,대전,96.9,2025,2
2025-02,부산,99.0,2025,2
2025-02,비수도권,100.6,2025,2
2025-02,서울,115.9,2025,2
2025-02,세종,99.0,2025,2
2025-02,수도권,108.9,2025,2
2025-02,울산,115.4,2025,2
2025-02,인천,106.5,2025,2
2025-02,전국,105.2,2025,2
2025-02,전남,103.0,2025,2
2025-02,전북,105.7,2025,2
2025-02,제주,91.8,2025,2
2025-02,충남,103.8,2025,2
2025-02,충북,103.6,2025,2
2025-03,강원,98.7,2025,3
2025-03,경기,110.6,2025,3
2025-03,경남,99.0,2025,3
2025-03,경북,102.1,2025,3
2025-03,광주,99.3,2025,3
2025-03,대구,97.3,2025,3
2025-03,대전,97.7,2025,3
2025-03,부산,100.8,2025,3
2025-03,비수도권,101.7,2025,3
2025-03,서울,122.6,2025,3
2025-03,세종,108.3,2025,3
2025-03,수도권,114.0,2025,3
2025-03,울산,117.8,2025,3
2025-03,인천,106.8,2025,3
2025-03,전국,108.4,2025,3
2025-03,전남,102.3,2025,3
2025-03,전북,106.6,2025,3
2025-03,제주,89.2,2025,3
2025-03,충남,102.7,2025,3
2025-03,충북,105.5,2025,3
2025-04,강원,95.2,2025,4
2025-04,경기,105.2,2025,4
2025-04,경남,95.8,2025,4
2025-04,경북,98.4,2025,4
2025-04,광주,97.3,2025,4
2025-04,대구,97.4,2025,4
2025-04,대전,98.9,2025,4
2025-04,부산,96.6,2025,4
2025-04,비수도권,101.0,2025,4
2025-04,서울,113.1,2025,4
2025-04,세종,130.8,2025,4
2025-04,수도권,107.9,2025,4
2025-04,울산,118.0,2025,4
2025-04,인천,106.3,2025,4
2025-04,전국,104.7,2025,4
2025-04,전남,102.7,2025,4
2025-04,전북,105.4,2025,4
2025-04,제주,91.3,2025,4
2025-04,충남,98.6,2025,4
2025-04,충북,108.0,2025,4
2025-05,강원,94.2,2025,5
2025-05,경기,107.9,2025,5
2025-05,경남,98.5,2025,5
2025-05,경북,103.0,2025,5
2025-05,광주,100.6,2025,5
2025-05,대구,98.9,2025,5
2025-05,대전,99.2,2025,5
2025-05,부산,100.9,2025,5
2025-05,비수도권,102.4,2025,5
2025-05,서울,118.6,2025,5
2025-05,세종,118.7,2025,5
2025-05,수도권,110.7,2025,5
2025-05,울산,118.1,2025,5
2025-05,인천,102.6,2025,5
2025-05,전국,107.0,2025,5
2025-05,전남,100.7,2025,5
2025-05,전북,107.0,2025,5
2025-05,제주,94.1,2025,5
2025-05,충남,102.1,2025,5
2025-05,충북,105.5,2025,5
2025-06,강원,108.1,2025,6
2025-06,경기,119.6,2025,6
2025-06,경남,105.2,2025,6
2025-06,경북,105.4,2025,6
2025-06,광주,104.8,2025,6
2025-06,대구,102.4,2025,6
2025-06,대전,103.2,2025,6
2025-06,부산,106.1,2025,6
2025-06,비수도권,106.3,2025,6
2025-06,서울,131.6,2025,6
2025-06,세종,111.7,2025,6
2025-06,수도권,122.5,2025,6
2025-06,울산,118.8,2025,6
2025-06,인천,111.5,2025,6
2025-06,전국,115.0,2025,6
2025-06,전남,105.4,2025,6
2025-06,전북,112.8,2025,6
2025-06,제주,96.8,2025,6
2025-06,충남,101.4,2025,6
2025-06,충북,110.0,2025,6
2025-07,강원,105.0,2025,7
2025-07,경기,105.4,2025,7
2025-07,경남,103.6,2025,7
2025-07,경북,103.4,2025,7
2025-07,광주,103.6,2025,7
2025-07,대구,101.6,2025,7
2025-07,대전,100.3,2025,7
2025-07,부산,107.6,2025,7
2025-07,비수도권,104.9,2025,7
2025-07,서울,110.8,2025,7
2025-07,세종,105.5,2025,7
2025-07,수도권,106.8,2025,7
2025-07,울산,121.8,2025,7
2025-07,인천,102.3,2025,7
2025-07,전국,106.0,2025,7
2025-07,전남,101.9,2025,7
2025-07,전북,106.0,2025,7
2025-07,제주,90.6,2025,7
2025-07,충남,105.8,2025,7
2025-07,충북,105.2,2025,7
2025-08,강원,101.8,2025,8
2025-08,경기,107.9,2025,8
2025-08,경남,104.4,2025,8
2025-08,경북,104.3,2025,8
2025-08,광주,106.9,2025,8
2025-08,대구,100.9,2025,8
2025-08,대전,102.7,2025,8
2025-08,부산,105.5,2025,8
2025-08,비수도권,104.6,2025,8
2025-08,서울,115.3,2025,8
2025-08,세종,109.3,2025,8
2025-08,수도권,109.5,2025,8
2025-08,울산,119.1,2025,8
2025-08,인천,101.4,2025,8
2025-08,전국,107.4,2025,8
2025-08,전남,101.8,2025,8
2025-08,전북,101.1,2025,8
2025-08,제주,89.9,2025,8
2025-08,충남,106.5,2025,8
2025-08,충북,105.7,2025,8
2025-09,강원,101.0,2025,9
2025-09,경기,112.7,2025,9
2025-09,경남,109.6,2025,9
2025-09,경북,104.0,2025,9
2025-09,광주,103.6,2025,9
2025-09,대구,104.3,2025,9
2025-09,대전,104.2,2025,9
2025-09,부산,110.4,2025,9
2025-09,비수도권,108.0,2025,9
2025-09,서울,122.7,2025,9
2025-09,세종,116.6,2025,9
2025-09,수도권,114.8,2025,9
2025-09,울산,125.2,2025,9
2025-09,인천,103.4,2025,9
2025-09,전국,111.9,2025,9
2025-09,전남,103.9,2025,9
2025-09,전북,113.9,2025,9
2025-09,제주,99.4,2025,9
2025-09,충남,104.4,2025,9
2025-09,충북,106.5,2025,9
2025-10,강원,103.2,2025,10
2025-10,경기,117.2,2025,10
2025-10,경남,112.0,2025,10
2025-10,경북,106.3,2025,10
2025-10,광주,106.5,2025,10
2025-10,대구,105.5,2025,10
2025-10,대전,107.7,2025,10
2025-10,부산,114.2,2025,10
2025-10,비수도권,109.9,2025,10
2025-10,서울,126.6,2025,10
2025-10,세종,122.5,2025,10
2025-10,수도권,119.0,2025,10
