연월,시도,지가변동률,연도,월
2012-01,강원,0.161,2012,1
2012-01,경기,0.113,2012,1
2012-01,경남,0.138,2012,1
2012-01,경북,0.121,2012,1
2012-01,광주,0.057,2012,1
2012-01,대구,0.15,2012,1
2012-01,대전,0.125,2012,1
2012-01,부산,0.149,2012,1
2012-01,서울,0.031,2012,1
2012-01,울산,0.099,2012,1
2012-01,인천,0.043,2012,1
2012-01,전국,0.087,2012,1
2012-01,전남,0.11,2012,1
2012-01,전북,0.14,2012,1
2012-01,제주,0.088,2012,1
2012-01,충남,0.086,2012,1
2012-01,충북,0.058,2012,1
2012-02,강원,0.154,2012,2
2012-02,경기,0.108,2012,2
2012-02,경남,0.142,2012,2
2012-02,경북,0.127,2012,2
2012-02,광주,0.067,2012,2
2012-02,대구,0.146,2012,2
2012-02,대전,0.133,2012,2
2012-02,부산,0.149,2012,2
2012-02,서울,0.045,2012,2
2012-02,울산,0.101,2012,2
2012-02,인천,0.041,2012,2
2012-02,전국,0.091,2012,2
2012-02,전남,0.118,2012,2
2012-02,전북,0.133,2012,2
2012-02,제주,0.091,2012,2
2012-02,충남,0.111,2012,2
2012-02,충북,0.077,2012,2
2012-03,강원,0.164,2012,3
2012-03,경기,0.12,2012,3
2012-03,경남,0.15,2012,3
2012-03,경북,0.138,2012,3
2012-03,광주,0.096,2012,3
2012-03,대구,0.149,2012,3
2012-03,대전,0.138,2012,3
2012-03,부산,0.159,2012,3
2012-03,서울,0.098,2012,3
2012-03,울산,0.136,2012,3
2012-03,인천,0.126,2012,3
2012-03,전국,0.12,2012,3
2012-03,전남,0.144,2012,3
2012-03,전북,0.15,2012,3
2012-03,제주,0.094,2012,3
2012-03,충남,0.136,2012,3
2012-03,충북,0.103,2012,3
2012-04,강원,0.153,2012,4
2012-04,경기,0.115,2012,4
2012-04,경남,0.154,2012,4
2012-04,경북,0.134,2012,4
2012-04,광주,0.096,2012,4
2012-04,대구,0.145,2012,4
2012-04,대전,0.118,2012,4
2012-04,부산,0.159,2012,4
2012-04,서울,0.104,2012,4
2012-04,울산,0.125,2012,4
2012-04,인천,0.05,2012,4
2012-04,전국,0.116,2012,4
2012-04,전남,0.158,2012,4
2012-04,전북,0.127,2012,4
2012-04,제주,0.094,2012,4
2012-04,충남,0.144,2012,4
2012-04,충북,0.106,2012,4
2012-05,강원,0.159,2012,5
2012-05,경기,0.112,2012,5
2012-05,경남,0.155,2012,5
2012-05,경북,0.129,2012,5
2012-05,광주,0.111,2012,5
2012-05,대구,0.138,2012,5
2012-05,대전,0.114,2012,5
2012-05,부산,0.158,2012,5
2012-05,서울,0.094,2012,5
2012-05,울산,0.143,2012,5
2012-05,인천,0.06,2012,5
2012-05,전국,0.112,2012,5
2012-05,전남,0.163,2012,5
2012-05,전북,0.124,2012,5
2012-05,제주,0.104,2012,5
2012-05,충남,0.133,2012,5
2012-05,충북,0.106,2012,5
2012-06,강원,0.156,2012,6
2012-06,경기,0.111,2012,6
2012-06,경남,0.144,2012,6
2012-06,경북,0.111,2012,6
2012-06,광주,0.101,2012,6
2012-06,대구,0.125,2012,6
2012-06,대전,0.112,2012,6
2012-06,부산,0.146,2012,6
2012-06,서울,0.058,2012,6
2012-06,울산,0.132,2012,6
2012-06,인천,0.045,2012,6
2012-06,전국,0.097,2012,6
2012-06,전남,0.138,2012,6
2012-06,전북,0.126,2012,6
2012-06,제주,0.094,2012,6
2012-06,충남,0.123,2012,6
2012-06,충북,0.113,2012,6
2012-07,강원,0.147,2012,7
2012-07,경기,0.095,2012,7
2012-07,경남,0.15,2012,7
2012-07,경북,0.114,2012,7
2012-07,광주,0.11,2012,7
2012-07,대구,0.119,2012,7
2012-07,대전,0.091,2012,7
2012-07,부산,0.141,2012,7
2012-07,서울,-0.032,2012,7
2012-07,세종,0.68,2012,7
2012-07,울산,0.134,2012,7
2012-07,인천,0.018,2012,7
2012-07,전국,0.065,2012,7
