연도,시도,가구수,주택수,주택보급률
2023,강원,698.4,762.6,109.2
2023,경기,5500.0,5464.2,99.3
2023,경남,1404.5,1532.2,109.1
2023,경북,1166.6,1319.7,113.1
2023,광주,627.6,661.9,105.5
2023,대구,1033.2,1067.8,103.3
2023,대전,654.8,631.3,96.4
2023,부산,1462.4,1505.4,102.9
2023,서울,4141.7,3878.5,93.6
2023,세종,156.4,165.9,106.1
2023,수도권,10883.9,10573.7,97.2
2023,울산,458.1,497.4,108.6
2023,인천,1242.2,1231.0,99.1
2023,전국,22073.2,22623.9,102.5
2023,전남,793.2,892.9,112.6
2023,전북,786.8,859.3,109.2
2023,제주,278.3,293.2,105.3
2023,지방,11189.3,12050.2,107.7
2023,충남,948.6,1059.2,111.7
2023,충북,720.2,801.2,111.2
2024,강원,702.6,771.0,109.7
2024,경기,5592.1,5556.6,99.4
2024,경남,1415.8,1546.3,109.2
2024,경북,1174.6,1343.7,114.4
2024,광주,628.6,669.1,106.4
2024,대구,1043.7,1099.7,105.4
2024,대전,658.8,649.0,98.5
2024,부산,1470.6,1507.0,102.5
2024,서울,4159.5,3907.7,93.9
2024,세종,158.9,172.0,108.2
2024,수도권,11019.7,10719.6,97.3
2024,울산,462.3,497.6,107.6
2024,인천,1268.1,1255.4,99.0
2024,전국,22294.4,22939.8,102.9
2024,전남,799.0,903.2,113.0
2024,전북,788.6,867.3,110.0
2024,제주,279.7,295.5,105.7
2024,지방,11274.7,12220.2,108.4
2024,충남,964.5,1084.0,112.4
2024,충북,727.0,815.1,112.1
