지역코드,연월,NPS_가입자수,NPS_고지금액합계,NPS_사업장수,NPS_1인당고지금액,NPS_고용증감,시도,연도,월
11110,2015-11,219655,61632393900,4456,280587.2568345815,-16,서울,2015,11
11140,2015-11,403181,108238355440,5940,268460.9528722832,2078,서울,2015,11
11170,2015-11,118778,26449859360,3393,222683.15142534813,-8,서울,2015,11
11200,2015-11,122771,26004672260,4535,211814.45341326535,446,서울,2015,11
11215,2015-11,38599,7648155700,2169,198143.88196585403,297,서울,2015,11
11230,2015-11,41332,8504473860,2364,205760.03725926642,55,서울,2015,11
11260,2015-11,22095,4493406940,1218,203367.59176284226,-35,서울,2015,11
11290,2015-11,29097,5346679780,1595,183753.64401828367,-15,서울,2015,11
11305,2015-11,12439,2297250840,830,184681.31200257255,-73,서울,2015,11
11320,2015-11,15099,2641000540,970,174912.2816080535,-54,서울,2015,11
11350,2015-11,28349,5206572600,1669,183659.83279833503,-26,서울,2015,11
11380,2015-11,18470,3429487960,1424,185678.82837033027,-108,서울,2015,11
11410,2015-11,41461,10030395160,1488,241923.6188225079,-170,서울,2015,11
11440,2015-11,139647,31801404460,6348,227727.08658259755,-61,서울,2015,11
11470,2015-11,28556,6085199300,1859,213097.04790586917,-19,서울,2015,11
11500,2015-11,132594,32454444660,4122,244765.5599800896,304,서울,2015,11
11530,2015-11,108751,23739520660,5468,218292.4355638109,30,서울,2015,11
11545,2015-11,130146,29675591080,6964,228017.69612588937,102,서울,2015,11
11560,2015-11,380644,104727246820,7452,275131.7420476876,277,서울,2015,11
11590,2015-11,40431,8925790940,1436,220766.01963839628,-2,서울,2015,11
11620,2015-11,28593,5598314520,1646,195793.1843458189,-60,서울,2015,11
11650,2015-11,355233,95308200540,10646,268297.7103478562,622,서울,2015,11
11680,2015-11,581395,137904504140,18517,237195.88943833366,-1293,서울,2015,11
11710,2015-11,201673,47432399500,8108,235194.5947152073,975,서울,2015,11
11740,2015-11,57880,14355770340,2145,248026.4398756047,-245,서울,2015,11
26110,2015-11,24589,5727837140,1362,232943.0696652975,82,부산,2015,11
26140,2015-11,12606,2732904760,760,216793.967951769,92,부산,2015,11
26170,2015-11,22201,4681519260,1181,210869.7473086798,33,부산,2015,11
26200,2015-11,13974,3238680600,708,231764.7488192357,-2,부산,2015,11
26230,2015-11,39643,7755368840,1951,195630.22071992533,14,부산,2015,11
26260,2015-11,18004,3588509760,1280,199317.36058653632,100,부산,2015,11
26290,2015-11,33138,8524997080,1222,257257.44100428512,71,부산,2015,11
26320,2015-11,13996,2493089260,822,178128.69819948557,-18,부산,2015,11
26350,2015-11,38692,8166182140,2541,211056.0875633206,271,부산,2015,11
26380,2015-11,35856,7594197860,1660,211797.12907184294,-104,부산,2015,11
26410,2015-11,25563,5150195160,1444,201470.6865391386,188,부산,2015,11
26440,2015-11,60703,15319089740,3205,252361.32876464096,104,부산,2015,11
26470,2015-11,19528,3691950420,1233,189059.32097501025,113,부산,2015,11
26500,2015-11,11962,2330453160,837,194821.36432034775,94,부산,2015,11
26530,2015-11,40754,8443559020,2547,207183.56529420425,303,부산,2015,11
26710,2015-11,23377,5375478980,1309,229947.34054840228,118,부산,2015,11
27110,2015-11,17493,3380605960,992,193254.78534270852,221,대구,2015,11
27140,2015-11,37095,8465565640,1751,228213.11874915755,403,대구,2015,11
27170,2015-11,20230,4032251400,1205,199320.3855659911,53,대구,2015,11
27200,2015-11,11479,1981180140,754,172591.70136771497,39,대구,2015,11
27230,2015-11,37341,7285955700,2537,195119.4585040572,204,대구,2015,11
