지역코드,시도,시군구,레벨,연도,1인당결정세액_백만원,1인당총급여_백만원,결정세액_금액,결정세액_인원,과세표준_금액,과세표준_인원,급여총계_금액,급여총계_인원,총급여_금액,총급여_인원
A0101,서울,강남구,시군구,2016,12.612701367509128,62.95172186521668,1761616,139670,9108357,185324,13057288,206668,12989836,206346
A0102,서울,강동구,시군구,2016,3.247311242113521,34.52217160400599,298009,91771,3045249,140810,5614760,161837,5577333,161558
A0103,서울,강북구,시군구,2016,1.6735152551811925,25.79614514027025,84141,50278,1248641,86391,2647871,102249,2632574,102053
A0104,서울,강서구,시군구,2016,2.6927789502452057,32.74143332932754,354709,131726,4026675,203712,7710165,233511,7628623,232996
A0105,서울,관악구,시군구,2016,2.005188666180421,28.49039453326457,217188,108313,2893776,173961,5779387,202189,5745259,201656
A0106,서울,광진구,시군구,2016,3.483249149572209,33.66727492148424,270328,77608,2548573,119474,4657189,137927,4631001,137552
A0107,서울,구로구,시군구,2016,2.348943985307621,30.813937380473693,212314,90387,2597886,141311,5055671,163520,5027109,163144
A0108,서울,금천구,시군구,2016,1.5778143598835002,26.36269452845752,74760,47382,1155221,78065,2411167,91194,2397028,90925
A0109,서울,노원구,시군구,2016,2.80334106121228,34.12716585955777,299879,106972,3409255,164920,6503565,189827,6462286,189359
A0110,서울,도봉구,시군구,2016,2.226996499108264,29.159159932053328,134858,60556,1705742,99447,3419968,116832,3398850,116562
A0111,서울,동대문구,시군구,2016,2.4981947720598856,30.295001205773936,155685,62319,1824976,99179,3539255,116466,3517492,116108
A0112,서울,동작구,시군구,2016,3.7079259390346415,36.70539656259855,335241,90412,3148539,133470,5623027,152859,5586855,152208
A0113,서울,마포구,시군구,2016,4.871743600171716,40.60013335991366,431237,88518,3514430,127357,5945288,145901,5906142,145471
A0114,서울,서대문구,시군구,2016,3.779438988422077,35.87739336407845,240909,63742,2251700,96908,4027703,111807,3998679,111454
A0115,서울,서초구,시군구,2016,11.812969663234066,62.99576162265888,1358208,114976,7328188,151458,10594212,167621,10537994,167281
A0116,서울,성동구,시군구,2016,4.755310836908289,39.56274611122,322567,67833,2620443,99141,4470137,112421,4440760,112246
A0117,서울,성북구,시군구,2016,3.996803815752271,35.528799530985964,325128,81347,2875646,125007,5185898,145308,5151143,144985
A0118,서울,송파구,시군구,2016,6.117849827028165,44.65599962879327,988565,161587,7119076,229074,11619948,259057,11548756,258616
A0119,서울,양천구,시군구,2016,5.042170880126651,40.76871000158671,509587,101065,4079804,148866,6984964,170566,6937326,170163
A0120,서울,영등포구,시군구,2016,4.107963386236573,37.96897438750597,382817,93189,3358259,134616,5837597,153074,5800786,152777
A0121,서울,용산구,시군구,2016,10.484721962179368,53.35852523705754,559989,53410,3127214,74872,4552119,85050,4529872,84895
A0122,서울,은평구,시군구,2016,2.3500242376167813,30.01936841611612,213307,90768,2604028,146623,5155948,170998,5120914,170587
A0123,서울,종로구,시군구,2016,7.584250183370007,44.42581915062828,227482,29994,1430240,43733,2248257,50444,2234441,50296
A0124,서울,중구,시군구,2016,6.398144109132728,40.92556581228621,161342,25217,1092584,37209,1756529,42757,1746785,42682
A0125,서울,중랑구,시군구,2016,1.6448759990346806,26.41927745457157,115870,70443,1751068,118867,3698926,139542,3678356,139230
A0201,인천,강화군,시군구,2016,2.01732356702709,27.978843355965083,17351,8601,228792,14114,465083,16617,461539,16496
A0202,인천,계양구,시군구,2016,1.5390596444592124,26.77453675422521,92636,60190,1494863,100688,3177103,118341,3155754,117864
A0203,인천,미추홀구(남구),시군구,2016,1.3172017444941102,25.837674402421623,96950,73603,1725209,122745,3738032,144365,3713003,143705
A0204,인천,남동구,시군구,2016,1.83012599160056,29.23019162368392,196098,107150,2842691,171320,5808628,198052,5769046,197366
A0205,인천,동구,시군구,2016,1.3065097285611338,26.87706375412751,16317,12489,296945,20546,638751,23672,634890,23622
A0206,인천,부평구,시군구,2016,1.8307357244946572,28.701966230993275,188293,102851,2720370,167005,5574627,193564,5538274,192958
A0207,인천,서구,시군구,2016,1.995099020757649,30.17855575753777,209240,104877,2879692,166670,5822861,192051,5777262,191436
