"시도명","대분류","중분류","소분류","항목","단위","2007.01 월","2007.02 월","2007.03 월","2007.04 월","2007.05 월","2007.06 월","2007.07 월","2007.08 월","2007.09 월","2007.10 월","2007.11 월","2007.12 월","2008.01 월","2008.02 월","2008.03 월","2008.04 월","2008.05 월","2008.06 월","2008.07 월","2008.08 월","2008.09 월","2008.10 월","2008.11 월","2008.12 월","2009.01 월","2009.02 월","2009.03 월","2009.04 월","2009.05 월","2009.06 월","2009.07 월","2009.08 월","2009.09 월","2009.10 월","2009.11 월","2009.12 월","2010.01 월","2010.02 월","2010.03 월","2010.04 월","2010.05 월","2010.06 월","2010.07 월","2010.08 월","2010.09 월","2010.10 월","2010.11 월","2010.12 월","2011.01 월","2011.02 월","2011.03 월","2011.04 월","2011.05 월","2011.06 월","2011.07 월","2011.08 월","2011.09 월","2011.10 월","2011.11 월","2011.12 월","2012.01 월","2012.02 월","2012.03 월","2012.04 월","2012.05 월","2012.06 월","2012.07 월","2012.08 월","2012.09 월","2012.10 월","2012.11 월","2012.12 월","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월",
"전국","합계(동수기준)","합계(동수기준)","합계(동수기준)","인허가실적","","12038","29789","49827","69013","99606","130436","176284","224745","280490","384307","459792","555792","20876","34122","51438","85628","111627","132260","155065","177151","195885","217631","250034","371285","9363","19817","33944","50330","67180","98961","122026","145892","178093","202543","236282","381787","9282","24519","49548","70625","91999","110309","127121","142009","163294","190731","229039","386542","18500","37676","70529","111685","144401","176267","214145","255001","299252","359279","401508","549594","29411","61503","99670","141845","187931","238465","282147","321177","373393","410301","448146","586884","23952","45543","75594","106509","142055","180263","216518","248497","282366","315714","355971","440116","24602","54309","93278","135984","177536","219963","264535","313602","351328","396803","445984","515251","33271","66572","118772","170117","226978","300080","382916","452185","540140","604340","667163","765328","47536","101259","163009","222684","275397","355309","416696","471528","519552","571990","636823","726048","39898","89480","141100","184668","238179","297787","347967","396469","454957","502266","552558","653441","37696","81092","119571","166308","205227","249505","307800","346099","376367","412246","456105","554136","32023","74277","125140","160756","190154","226594","254168","282944","314215","353972","387340","487975","23978","61958","95606","127490","155769","188848","229026","257294","292980","326237","360711","457514","26183","59830","105184","149793","186743","230761","277354","312860","358990","405704","448092","545412","39614","70128","112282","160842","209058","259759","295855","347458","380200","428318","467036","521791","21425","54375","86444","123371","157534","189213","207278","212757","255871","273918","294471",
"전국","합계(가구수기준)","합계(가구수기준)","합계(가구수기준)","인허가실적","","17455","40092","66992","93884","131181","168718","221149","274841","335998","445488","527127","628504","29805","48456","73277","115839","149254","176383","204731","232239","257081","284817","322206","449790","12205","25410","43769","64848","86391","124088","154335","185607","228926","262950","306175","460540","14841","37528","74002","106655","138750","166950","193883","219934","248348","284742","331430","496812","25638","53916","101149","157386","205273","252124","303350","356987","414695","487120","543224","706423","41932","86404","137466","190728","249973","311782","366088","413497","474320","520587","567981","716563","30224","58222","97397","139696","187487","237359","285442","327504","371700","413180","461509","556333","30685","68549","119154","172569","224350","275073","329962","386939","432333","486711","544359","622556","40262","81325","145055","209218","275905","360570","455122","534019","633430","707395","778913","885394","55827","117586","191426","261698","324710","415981","493958","560085","615695","675535","748234","848731","48834","105747","165931","217796","279024","347080","404768","462114","529160","581676","638962","748796","46617","96793","142944","196989","245089","301799","379726","426844","462386","501863","549623","651770","34899","80454","136405","175376","207225","245677","275454","306114","338858","380731","416404","519741","25898","65685","101523","135657","166075","201670","243922","274501","312941","348198","384404","483436","27839","63970","112781","161095","201273","248185","298700","336564","385095","433498","477963","577845","41121","73572","118309","169331","220189","273247","310900","364269","397705","448225","488368","544262","22045","56088","89179","127262","162470","194972","213803","220217","264048","282853","304130",
"전국","단독","단독","단독","인허가실적","","2009","4071","7953","12361","16287","19739","23148","26497","29338","33068","36416","38851","2451","4976","9044","13488","17387","20933","23775","26493","29525","33005","35762","40057","1641","3651","7414","11703","15351","19098","22659","25826","30000","33548","37218","40743","2213","4566","9267","14448","18899","23102","26965","30308","33529","37641","41475","44703","2455","4954","10172","15926","21236","25765","29538","33557","37504","42412","46043","49903","2621","5955","11118","17076","23200","27861","32791","36468","40346","44324","48218","51232","2463","5187","9868","16325","22198","26393","30834","34950","38926","43570","47886","51724","2915","7233","12829","19700","25534","29978","35350","39590","44051","48707","53105","57493","3295","6991","13262","21084","27346","34237","40596","45847","51542","57728","63420","68701","4061","8485","15967","23399","30633","37692","44930","51224","57064","63027","69467","75673","4745","10084","17321","24750","31550","38338","44508","50373","56859","61337","67168","72243","3982","7506","12652","18874","25671","31388","37780","42639","46733","51366","55430","59076","3637","6414","10964","16173","21102","25291","29393","32815","35913","39446","42872","46024","2525","5452","9574","13658","17651","21927","26180","29801","33924","37234","40891","44995","2702","5743","10690","16121","20954","25886","30466","34366","38549","42181","46712","51224","2806","5547","10016","14632","19279","23513","26796","30095","32173","37688","41250","44244","1514","4019","6890","10016","12652","15334","17758","20294","22764","25066","27698",
"전국","단독","다가구","동수","인허가실적","","901","1780","3046","4400","5539","6635","7703","8618","9580","10649","11650","12599","1401","2266","3677","5146","6429","7487","8512","9512","10571","11634","12447","13610","514","1065","1972","2883","3800","4930","6282","7538","9302","10938","12517","13922","921","2029","3771","5606","7374","8924","10535","12064","13184","14676","16084","17470","1177","2509","4775","7114","9465","11583","13477","15336","17294","19151","21088","23194","1717","3513","5599","7545","9594","11372","13106","14452","15808","17220","18596","20023","975","2055","3477","5218","6917","8570","10302","11903","13514","14870","16240","18035","961","2226","4131","6017","7690","9043","10677","12001","13258","14744","16129","17486","1082","2356","4292","6324","7946","9819","11715","13282","15107","16733","18179","19592","1286","2647","4757","6679","8529","10476","13034","15000","16359","17770","19160","21095","1478","2745","4257","5690","7018","8428","9672","11112","12495","13456","14636","15996","1404","2510","3855","5152","6724","8879","12334","13907","14952","15587","16334","17023","541","1120","2071","2777","3250","3623","4067","4404","4719","5069","5442","5857","328","667","1111","1556","1934","2410","2840","3227","3744","4090","4452","4862","337","774","1495","2194","2813","3392","4148","4615","5120","5481","5881","6372","319","698","1176","1591","2075","2481","2761","3060","3189","3596","3841","4039","113","306","548","764","943","1097","1243","1391","1523","1660","1816",
"전국","단독","다가구","세대수","인허가실적","","6318","12083","20211","29271","37114","44917","52568","58714","65088","71830","78985","85311","10330","16600","25516","35357","44056","51610","58178","64600","71767","78820","84619","92115","3356","6658","11797","17401","23011","30057","38591","47253","60135","71345","82410","92675","6480","15038","28225","41636","54125","65565","77297","89989","98238","108687","118475","127740","8315","18749","35395","52815","70337","87440","102682","117322","132737","146992","162804","180023","14238","28414","43395","56428","71636","84689","97047","106772","116735","127506","138431","149702","7247","14734","25280","38405","52349","65666","79226","90910","102848","112336","121778","134252","7044","16466","30007","42602","54504","64153","76104","85338","94263","104652","114504","124791","8073","17109","30575","45425","56873","70309","83921","95116","108397","119788","129929","139658","9577","18974","33174","45693","57842","71148","90296","103557","112502","121315","130571","143778","10414","19012","29088","38818","47863","57721","66473","76757","86698","92866","101040","111351","10325","18211","27228","35833","46586","61173","84260","94652","100971","105204","109852","114657","3417","7297","13336","17397","20321","22706","25353","27574","29362","31828","34506","37623","2248","4394","7028","9723","12240","15232","17736","20434","23705","26051","28145","30784","1993","4914","9092","13496","17343","20816","25494","28319","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"전국","단독","다가구","가구수","인허가실적","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31225","33275","35752","38805","1826","4142","7203","10080","13206","15969","17806","19871","20694","23503","25173","26510","733","2019","3283","4655","5879","6856","7768","8851","9700","10595","11475",
"전국","다세대","다세대","다세대","인허가실적","","963","1799","3379","4913","7046","9364","12102","13578","16045","18181","20660","23184","2513","5349","8388","16287","21501","28209","34460","39040","42928","46095","47807","50421","890","1935","2816","3855","5059","6432","8705","10824","13861","17134","20901","24513","2329","4568","8505","12621","16212","19423","22435","25106","28355","32174","36386","41424","4616","9039","15732","24312","34426","44159","53501","62840","70948","81408","92643","106270","7278","15751","25883","35813","50121","61620","71988","81504","90228","98093","107453","119952","4717","8769","14363","22024","32292","42876","51239","58516","66185","70470","75197","80888","4403","9281","15896","23120","30854","37148","45398","52049","58998","66603","73941","81687","6689","12513","21503","31384","39755","52440","67920","79372","91069","101790","111670","122796","8056","15861","25006","32756","41436","50572","63001","71974","78567","86473","94553","104481","6167","11960","19164","26660","32998","39900","46839","53965","61986","66250","73213","80773","6595","11918","16156","21259","27081","31904","37571","42049","46346","50719","54889","59652","4209","8129","14535","19217","23083","26307","29448","31834","34468","37780","41379","44543","2892","6903","10710","14629","18567","22979","26715","30209","34914","38118","41184","44642","2511","5661","9614","14160","17708","22611","27558","31460","35443","38765","42549","46882","2565","5439","8811","12055","15240","19046","21650","23750","24364","28897","31419","33397","883","2139","3062","4063","4645","5301","5872","6526","7165","7763","8323",
"전국","연립","연립","연립","인허가실적","","189","335","623","994","1504","1921","2312","2603","3012","3401","4377","4696","265","520","860","1368","1806","1991","2537","2788","3089","3411","3536","4044","156","230","692","1063","1343","1609","2044","2432","3084","3543","4049","5426","283","561","905","1103","2271","2804","3343","3457","3856","4651","5234","5956","542","970","1664","2581","3370","4398","5936","6810","8517","9482","11024","13465","830","2662","3886","5842","8230","10216","11694","12987","14401","15410","17263","19591","390","1226","2121","2704","3426","5246","6029","6890","7827","8717","9563","10730","572","993","1503","2744","3460","3922","4819","5600","6657","7560","9172","10898","540","1541","2991","5112","7383","8940","10069","11992","14163","15960","17107","19308","773","2227","4507","5783","7297","8436","10374","12101","12788","14096","15715","17983","932","1583","2508","4259","6080","7587","9670","10440","11835","13495","14350","16313","642","1612","3219","4144","5691","6875","7609","8524","9318","10368","11444","12220","698","1288","2694","4002","5481","6449","7109","7994","9072","10252","12018","13382","908","1284","1916","2736","3359","4104","5252","6016","7287","8645","9940","11315","1092","2322","3378","4942","5800","7298","8382","9550","11288","12734","13715","17571","403","1432","2571","3896","5217","6462","7294","7743","8245","10270","11384","12461","366","839","1471","2441","3052","3625","4196","4339","4561","4707","5545",
"전국","아파트","아파트","아파트","인허가실적","","7976","21804","34826","46345","69230","92777","131019","173449","222515","319008","386689","476462","14246","21011","29469","49339","64504","73640","85781","99318","109772","123486","150482","263153","6162","12936","21050","30826","41627","66892","82336","99272","121846","137380","161597","297183","3536","12795","27100","36847","47243","56056","63843","71074","84370","101589","129860","276989","9710","20204","38186","61752","75904","90362","111693","136458","164989","206826","230710","356762","16965","33622","53184","75569","96786","127396","152568","175766","212610","235254","256616","376086","15407","28306","45765","60238","77222","97178","118114","136238","155914","178087","207085","278739","15751","34576","58919","84403","109998","139872","168291","204362","228364","259189","293637","347687","21665","43171","76724","106213","144548","194644","252616","301692","368259","412129","456787","534931","33360","72039","112772","154067","187502","248133","285357","321229","354774","390624","437928","506816","26576","63108","97850","123309","160533","203534","237278","270579","311782","347728","383191","468116","25073","57546","83689","116879","140060","170459","212506","238980","259018","284206","318008","406165","22938","57326","94876","118587","137238","164924","184151","205897","230043","261425","285629","378169","17325","47652","72295","94911","114258","137428","168039","188041","213111","238150","264244","351700","19541","45330","80007","112376","139468","171574","206800","232869","268590","306543","339235","423363","33521","57012","89708","128668","167247","208257","237354","282810","312229","347867","379142","427650","18549","47072","74473","106087","136242","163856","178209","180207","219858","234722","251089",
"수도권","합계(동수기준)","합계(동수기준)","합계(동수기준)","인허가실적","","4246","8026","14032","23319","38564","52877","72386","100676","134291","206119","247703","302551","5777","12639","18619","39695","52777","63196","78588","93688","100053","111051","129085","197580","3085","9211","17649","25720","34508","47592","61099","75888","95636","112042","137818","255158","5307","14450","31130","42751","55509","65180","73127","81869","92876","110773","133243","250218","10895","21130","37046","58130","74181","91005","108752","124040","142896","173180","190986","272156","14208","28820","41659","58928","76336","98848","123208","137645","164379","181371","202669","269290","10445","18426","28279","40764","57409","73979","94831","109538","124959","138583","152878","192610","12096","24416","41854","57057","73771","91886","114057","128522","149595","174595","200944","241889","16280","29643","61288","89901","118649","160550","205217","243248","294463","328624","354727","408773","23688","50753","79184","106353","126575","164111","196322","220753","235625","256770","293936","341162","18717","42458","63778","85135","106032","126882","155309","177687","208006","235181","265262","321402","19902","41495","60914","85107","101007","117055","138943","160563","177087","195945","220651","280097","17834","43811","77282","99078","113300","129028","140968","160534","180242","197782","213701","272226","12213","38429","54871","69002","84740","99995","121230","135643","151615","171636","191564","252301","12163","30738","52805","78292","94144","117039","143140","163064","183869","203823","227455","291348","15164","25959","42947","58431","73271","96157","109935","129296","131839","149743","167260","190833","5259","19497","30253","44566","60581","72297","78889","81551","102095","108220","119959",
