"행정구역","2016년_계_총인구수","2016년_계_연령구간인구수","2016년_계_0~4세","2016년_남_총인구수","2016년_남_연령구간인구수","2016년_남_0~4세","2016년_여_총인구수","2016년_여_연령구간인구수","2016년_여_0~4세","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0~4세","2017년_남_총인구수","2017년_남_연령구간인구수","2017년_남_0~4세","2017년_여_총인구수","2017년_여_연령구간인구수","2017년_여_0~4세","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~4세","2018년_남_총인구수","2018년_남_연령구간인구수","2018년_남_0~4세","2018년_여_총인구수","2018년_여_연령구간인구수","2018년_여_0~4세"
"서울특별시  (1100000000)","9,930,616","376,575","376,575","4,876,789","193,061","193,061","5,053,827","183,514","183,514","9,857,426","350,277","350,277","4,830,206","179,376","179,376","5,027,220","170,901","170,901","9,765,623","324,470","324,470","4,773,899","166,475","166,475","4,991,724","157,995","157,995"
"서울특별시 종로구 (1111000000)","152,737","4,256","4,256","75,201","2,194","2,194","77,536","2,062","2,062","154,770","4,111","4,111","75,967","2,086","2,086","78,803","2,025","2,025","153,065","3,873","3,873","74,825","1,966","1,966","78,240","1,907","1,907"
"서울특별시 종로구 청운효자동(1111051500)","13,769","491","491","6,503","261","261","7,266","230","230","13,272","455","455","6,254","241","241","7,018","214","214","13,045","425","425","6,122","220","220","6,923","205","205"
"서울특별시 종로구 사직동(1111053000)","9,695","365","365","4,429","192","192","5,266","173","173","9,441","325","325","4,318","175","175","5,123","150","150","9,546","293","293","4,295","143","143","5,251","150","150"
"서울특별시 종로구 삼청동(1111054000)","2,903","63","63","1,377","29","29","1,526","34","34","2,907","63","63","1,360","28","28","1,547","35","35","2,836","62","62","1,333","31","31","1,503","31","31"
"서울특별시 종로구 부암동(1111055000)","10,616","279","279","5,160","146","146","5,456","133","133","10,317","249","249","4,984","129","129","5,333","120","120","10,149","220","220","4,879","111","111","5,270","109","109"
"서울특별시 종로구 평창동(1111056000)","19,290","609","609","9,140","321","321","10,150","288","288","18,995","556","556","8,951","272","272","10,044","284","284","18,951","576","576","8,895","290","290","10,056","286","286"
"서울특별시 종로구 무악동(1111057000)","8,453","342","342","3,975","161","161","4,478","181","181","8,320","310","310","3,897","145","145","4,423","165","165","8,215","267","267","3,849","128","128","4,366","139","139"
"서울특별시 종로구 교남동(1111058000)","4,679","111","111","2,229","53","53","2,450","58","58","10,225","473","473","4,780","247","247","5,445","226","226","10,701","483","483","4,993","252","252","5,708","231","231"
"서울특별시 종로구 가회동(1111060000)","4,635","113","113","2,150","56","56","2,485","57","57","4,531","101","101","2,127","53","53","2,404","48","48","4,429","91","91","2,062","48","48","2,367","43","43"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,741","152","152","4,513","84","84","3,228","68","68","7,590","117","117","4,502","61","61","3,088","56","56","7,420","121","121","4,407","68","68","3,013","53","53"
"서울특별시 종로구 종로5.6가동(1111063000)","5,496","74","74","3,035","39","39","2,461","35","35","5,357","59","59","2,943","35","35","2,414","24","24","5,225","61","61","2,862","32","32","2,363","29","29"
"서울특별시 종로구 이화동(1111064000)","8,436","219","219","3,968","105","105","4,468","114","114","8,249","182","182","3,878","75","75","4,371","107","107","8,083","153","153","3,818","68","68","4,265","85","85"
"서울특별시 종로구 혜화동(1111065000)","17,735","413","413","8,665","203","203","9,070","210","210","17,306","357","357","8,444","179","179","8,862","178","178","17,083","310","310","8,291","157","157","8,792","153","153"
"서울특별시 종로구 창신제1동(1111067000)","5,744","118","118","3,112","55","55","2,632","63","63","5,520","96","96","2,989","42","42","2,531","54","54","5,364","90","90","2,913","37","37","2,451","53","53"
"서울특별시 종로구 창신제2동(1111068000)","9,545","178","178","4,870","95","95","4,675","83","83","9,181","152","152","4,671","80","80","4,510","72","72","8,780","146","146","4,485","78","78","4,295","68","68"
"서울특별시 종로구 창신제3동(1111069000)","7,560","271","271","3,778","156","156","3,782","115","115","7,350","229","229","3,633","128","128","3,717","101","101","7,254","237","237","3,571","132","132","3,683","105","105"
"서울특별시 종로구 숭인제1동(1111070000)","6,761","241","241","3,363","122","122","3,398","119","119","6,566","200","200","3,272","101","101","3,294","99","99","6,376","170","170","3,155","86","86","3,221","84","84"
"서울특별시 종로구 숭인제2동(1111071000)","9,679","217","217","4,934","116","116","4,745","101","101","9,643","187","187","4,964","95","95","4,679","92","92","9,608","168","168","4,895","85","85","4,713","83","83"
"서울특별시 중구 (1114000000)","125,249","4,242","4,242","62,204","2,160","2,160","63,045","2,082","2,082","125,709","4,139","4,139","62,253","2,094","2,094","63,456","2,045","2,045","125,725","3,893","3,893","61,947","1,925","1,925","63,778","1,968","1,968"
"서울특별시 중구 소공동(1114052000)","1,931","107","107","971","56","56","960","51","51","2,022","101","101","1,007","54","54","1,015","47","47","2,033","87","87","1,001","41","41","1,032","46","46"
"서울특별시 중구 회현동(1114054000)","5,481","129","129","3,037","64","64","2,444","65","65","5,331","135","135","2,930","69","69","2,401","66","66","5,337","104","104","2,908","61","61","2,429","43","43"
"서울특별시 중구 명동(1114055000)","3,007","71","71","1,303","40","40","1,704","31","31","2,942","64","64","1,244","34","34","1,698","30","30","2,839","47","47","1,202","27","27","1,637","20","20"
"서울특별시 중구 필동(1114057000)","4,210","139","139","2,159","72","72","2,051","67","67","4,078","135","135","2,113","74","74","1,965","61","61","4,003","114","114","2,105","65","65","1,898","49","49"
"서울특별시 중구 장충동(1114058000)","4,970","118","118","2,527","61","61","2,443","57","57","4,782","100","100","2,455","56","56","2,327","44","44","4,722","103","103","2,408","57","57","2,314","46","46"
"서울특별시 중구 광희동(1114059000)","5,105","119","119","2,683","57","57","2,422","62","62","5,001","87","87","2,657","51","51","2,344","36","36","4,929","68","68","2,610","32","32","2,319","36","36"
"서울특별시 중구 을지로동(1114060500)","1,694","24","24","1,067","12","12","627","12","12","1,623","20","20","1,030","12","12","593","8","8","1,716","21","21","1,051","12","12","665","9","9"
"서울특별시 중구 신당동(1114061500)","7,861","189","189","3,996","92","92","3,865","97","97","7,878","173","173","3,984","74","74","3,894","99","99","7,716","151","151","3,865","57","57","3,851","94","94"
"서울특별시 중구 다산동(1114062500)","15,342","429","429","7,487","219","219","7,855","210","210","14,923","390","390","7,242","191","191","7,681","199","199","14,600","312","312","7,097","154","154","7,503","158","158"
"서울특별시 중구 약수동(1114063500)","18,487","733","733","8,828","366","366","9,659","367","367","18,181","682","682","8,676","341","341","9,505","341","341","17,756","664","664","8,389","309","309","9,367","355","355"
