연월,시도,전입,전출,순이동,연도,월
2015-01,강원,19038,19840,-802,2015,1
2015-01,경기,143982,140535,3447,2015,1
2015-01,경남,40249,40066,183,2015,1
2015-01,경북,29208,30848,-1640,2015,1
2015-01,광주,20383,19891,492,2015,1
2015-01,대구,27783,29003,-1220,2015,1
2015-01,대전,19703,20806,-1103,2015,1
2015-01,부산,42779,44777,-1998,2015,1
2015-01,서울,116958,120013,-3055,2015,1
2015-01,세종,8109,2590,5519,2015,1
2015-01,울산,13757,13484,273,2015,1
2015-01,인천,32456,31147,1309,2015,1
2015-01,전남,21817,23283,-1466,2015,1
2015-01,전북,22448,22976,-528,2015,1
2015-01,제주,11164,10412,752,2015,1
2015-01,충남,27236,26747,489,2015,1
2015-01,충북,18060,18712,-652,2015,1
2015-02,강원,19540,20284,-744,2015,2
2015-02,경기,163198,158963,4235,2015,2
2015-02,경남,39669,40368,-699,2015,2
2015-02,경북,31184,32243,-1059,2015,2
2015-02,광주,21520,21599,-79,2015,2
2015-02,대구,32344,32999,-655,2015,2
2015-02,대전,21423,23922,-2499,2015,2
2015-02,부산,41778,42461,-683,2015,2
2015-02,서울,134168,138304,-4136,2015,2
2015-02,세종,10916,2975,7941,2015,2
2015-02,울산,12995,13423,-428,2015,2
2015-02,인천,34172,33805,367,2015,2
2015-02,전남,21225,22226,-1001,2015,2
2015-02,전북,24021,24467,-446,2015,2
2015-02,제주,11443,10357,1086,2015,2
2015-02,충남,25672,26228,-556,2015,2
2015-02,충북,18098,18742,-644,2015,2
2015-03,강원,23654,23369,285,2015,3
2015-03,경기,195143,186340,8803,2015,3
2015-03,경남,46278,45291,987,2015,3
2015-03,경북,35808,37122,-1314,2015,3
2015-03,광주,24853,25119,-266,2015,3
2015-03,대구,35197,36576,-1379,2015,3
2015-03,대전,22529,24608,-2079,2015,3
2015-03,부산,45511,48181,-2670,2015,3
2015-03,서울,160393,169767,-9374,2015,3
2015-03,세종,8272,3215,5057,2015,3
2015-03,울산,16683,16119,564,2015,3
2015-03,인천,43579,42936,643,2015,3
2015-03,전남,25307,25997,-690,2015,3
2015-03,전북,26708,27521,-813,2015,3
2015-03,제주,9833,8637,1196,2015,3
2015-03,충남,29196,28378,818,2015,3
2015-03,충북,22178,21946,232,2015,3
2015-04,강원,18197,17568,629,2015,4
2015-04,경기,165605,158683,6922,2015,4
2015-04,경남,38367,37323,1044,2015,4
2015-04,경북,28237,28861,-624,2015,4
2015-04,광주,20384,20763,-379,2015,4
2015-04,대구,29935,30925,-990,2015,4
2015-04,대전,17893,19298,-1405,2015,4
2015-04,부산,40628,41680,-1052,2015,4
2015-04,서울,137743,148860,-11117,2015,4
2015-04,세종,6084,2467,3617,2015,4
2015-04,울산,15102,14962,140,2015,4
2015-04,인천,41033,40321,712,2015,4
2015-04,전남,19356,19303,53,2015,4
2015-04,전북,21987,22045,-58,2015,4
2015-04,제주,7460,6194,1266,2015,4
2015-04,충남,23551,22558,993,2015,4
2015-04,충북,17890,17641,249,2015,4
2015-05,강원,17295,15933,1362,2015,5
2015-05,경기,156564,149045,7519,2015,5
2015-05,경남,35672,35091,581,2015,5
2015-05,경북,24957,25449,-492,2015,5
2015-05,광주,16647,17547,-900,2015,5
2015-05,대구,29981,30379,-398,2015,5
2015-05,대전,15955,17387,-1432,2015,5
2015-05,부산,40734,41168,-434,2015,5
2015-05,서울,132359,144035,-11676,2015,5
2015-05,세종,5442,2227,3215,2015,5
2015-05,울산,14180,14577,-397,2015,5
2015-05,인천,37958,37419,539,2015,5
2015-05,전남,16484,16350,134,2015,5
2015-05,전북,18601,18725,-124,2015,5
2015-05,제주,6455,5356,1099,2015,5
2015-05,충남,21088,20165,923,2015,5
2015-05,충북,15353,14872,481,2015,5
2015-06,강원,19296,17419,1877,2015,6
2015-06,경기,164830,157694,7136,2015,6
2015-06,경남,38018,38441,-423,2015,6
2015-06,경북,30216,29273,943,2015,6
2015-06,광주,17225,17925,-700,2015,6
2015-06,대구,30472,31860,-1388,2015,6
2015-06,대전,17100,18597,-1497,2015,6
2015-06,부산,45563,44395,1168,2015,6
2015-06,서울,135400,149778,-14378,2015,6
2015-06,세종,5252,2235,3017,2015,6
2015-06,울산,15927,16391,-464,2015,6
2015-06,인천,43446,42430,1016,2015,6
2015-06,전남,19390,19065,325,2015,6
2015-06,전북,19608,20064,-456,2015,6
2015-06,제주,6787,5637,1150,2015,6
2015-06,충남,22171,21263,908,2015,6
2015-06,충북,19698,17932,1766,2015,6
2015-07,강원,17745,17222,523,2015,7
2015-07,경기,159241,152228,7013,2015,7
2015-07,경남,34066,34882,-816,2015,7
2015-07,경북,28043,27179,864,2015,7
2015-07,광주,16074,16777,-703,2015,7
2015-07,대구,28837,29805,-968,2015,7
2015-07,대전,18199,19362,-1163,2015,7
2015-07,부산,47288,46543,745,2015,7
2015-07,서울,130033,141756,-11723,2015,7
2015-07,세종,6519,2408,4111,2015,7
2015-07,울산,13986,14101,-115,2015,7
2015-07,인천,42186,40956,1230,2015,7
2015-07,전남,20058,19680,378,2015,7
2015-07,전북,19298,19715,-417,2015,7
2015-07,제주,7204,5670,1534,2015,7
2015-07,충남,20610,20431,179,2015,7
2015-07,충북,17711,18383,-672,2015,7
2015-08,강원,17140,17282,-142,2015,8
2015-08,경기,166985,157204,9781,2015,8
2015-08,경남,32214,32337,-123,2015,8
2015-08,경북,25701,24985,716,2015,8
2015-08,광주,18135,19172,-1037,2015,8
2015-08,대구,26924,27818,-894,2015,8
2015-08,대전,17798,19585,-1787,2015,8
2015-08,부산,38816,40553,-1737,2015,8
2015-08,서울,128717,141628,-12911,2015,8
2015-08,세종,7111,2584,4527,2015,8
2015-08,울산,12016,12258,-242,2015,8
2015-08,인천,39893,38781,1112,2015,8
2015-08,전남,20383,19830,553,2015,8
2015-08,전북,21078,21547,-469,2015,8
2015-08,제주,6602,5423,1179,2015,8
2015-08,충남,23065,21272,1793,2015,8
2015-08,충북,16199,16518,-319,2015,8
2015-09,강원,15783,15369,414,2015,9
2015-09,경기,148450,139325,9125,2015,9
2015-09,경남,31211,29703,1508,2015,9
2015-09,경북,22633,22574,59,2015,9
2015-09,광주,14920,15928,-1008,2015,9
2015-09,대구,24619,25315,-696,2015,9
2015-09,대전,15448,16777,-1329,2015,9
2015-09,부산,32915,34987,-2072,2015,9
2015-09,서울,112803,125689,-12886,2015,9
2015-09,세종,5870,2244,3626,2015,9
