사업명,대지위치,세대수,착공일자,준공예정월,시공사,비고
백합아파트 재건축 정비사업,동구 신천동 301-2 일원,257,2021-09-28,2025-09-30,화성산업㈜,준공
신암4동 뉴타운 재건축정비사업,동구 신암동 255-14 일원,1079,2020-07-20,2023-06-29,화성산업㈜,준공
신암5동 동자02지구 재개발정비사업,동구 신암동 81-1 일원,935,2020-05-14,2024-01-31,한진중공업,준공
동신천연합 재건축정비사업,동구 신천동 353-1 일원,1190,2020-07-22,2025-06-18,㈜포스코건설,준공
신암6재정비 촉진구역 재개발정비사업,동구 신암동 674-20 일원,1265,2020-07-06,2024-03-02,효성진흥공동사업단,준공
신암8재정비 촉진구역 재개발정비사업,동구 신암동 680-27 일원,1122,2020-07-06,2023-06-21,한진중공업,준공
효동지구 재건축정비사업,동구 효목동 637-1 일원,627,2020-07-01,2024-04-05,㈜동원개발,준공
안심뉴타운 B4블럭 공동주택,동구 율암동안심뉴타운 B4블럭,759,2021-03-19,2023-04-26,㈜라인건설,준공
신암동 주거복합,동구 신암동 207-1 일원,329,2021-02-26,2024-05-22,보광종합건설㈜,준공
신암동 데시앙,동구 신암동 451-1 일원,860,2020-10-21,2023-09-14,㈜태영건설,준공
동대구 동화아이위시,동구 신천동 56-1,144,2020-06-24,2023-12-08,동화주택,준공
신기역 극동스타클래스,동구 신기동 160-14,142,2021-06-17,2023-08-17,(주)극동건설,준공
효목동 공동주택,동구 효목동 430-4 일원,794,2021-08-13,2024-11-04,㈜대우건설,준공
신암2재정비 촉진구역 주택재개발정비사업,동구 신암동 139-69 일원,1458,2021-07-01,2025-04-30,화성산업㈜,준공
동대구역 엘크루 더센트럴,동구 신암동 259-5,191,2021-03-15,2024-03-13,대우조선해양(주),준공
안심뉴타운 B3 블록 공동주택,동구 안심뉴타운 도시개발구역 B3블록,315,2020-12-31,2022-12-27,㈜호반산업,준공
용계동 A1 블록 공동주택,동구 용계동 575-12 일원,745,2021-06-11,2023-10-30,㈜대우건설,준공
안심청아람 더 영,동구 율암동 1294,366,2022-04-29,2024-07-29,(주)케이알산업,준공
용계동 A2 블록 공동주택,동구 용계동 492-1 일원,568,2022-06-11,2023-10-30,㈜대우건설,준공
e편한세상 동대구역 센텀스퀘어,동구 신천동 328-1 일원,322,2022-05-11,2025-10-29,디엘이앤씨㈜,준공
동부정류장 후적지 주거복합,동구 신천동 481-1 일원,418,2021-12-22,2025-10-20,㈜태영건설,준공
힐스테이트 동대구 센트럴,동구 신천동 137-1 일원,481,2022-07-15,2025-11-30,현대건설㈜,
대구방촌 LH참여형 가로주택 정비사업,동구 방촌동 1002-8 일원,154,2024-11-15,2026-12-31,화성개발(주),
신천동 311-4 주거복합,동구 신천동 311-4 일원,540,2022-11-28,2026-01-31,(주)대우건설,
신암동 삼정그린코아 더베스트,동구 신암동 225-4 일원,850,2024-08-29,2028-01-31,삼정건설(주),
