구분,건물명,지번주소,도로명주소,동수,층수,세대수,연면적(제곱미터),준공일자,담당자 연락처,데이터기준일자
아파트,명성3차,신천동 882-5,시흥대로 1083-6,1,6,30 ,2124 ,1984-11-19,031-310-2402,2025-07-14
아파트,명신아파트,목감동 239-3,동서로 1094,1,5,60 ,4470 ,1985-09-30,031-310-2402,2025-07-14
아파트,제성아파트,매화동 200-1,매화1로 4,1,5,60 ,3974 ,1985-11-28,031-310-2402,2025-07-14
아파트,장미2차,조남동 171-5,동서로 1079-3,1,5,80 ,5357 ,1985-12-30,031-310-2402,2025-07-14
아파트,청도아파트,목감동 202-14,동서로 1102,2,5,70 ,4770 ,1986-03-20,031-310-2402,2025-07-14
아파트,연희2차,은행동 293-1,시흥대로 1074번길 17-1,2,5,115 ,7397 ,1986-04-21,031-310-2402,2025-07-14
아파트,진주아파트,은행동 293-2,시흥대로 1074번길 29,1,5,100 ,5797 ,1986-05-01,031-310-2402,2025-07-14
아파트,극동아파트,은행동 289-37,시흥대로1074번길 18,2,5,120 ,7532 ,1986-05-15,031-310-2402,2025-07-14
아파트,한영아파트,은행동 276-8,검바위2로 31-3,3,5,100 ,7492 ,1986-06-30,031-310-2402,2025-07-14
아파트,철산아파트(C동),은행동 244-2,검바위1로 74,1,4,28 ,1623 ,1986-07-15,031-310-2402,2025-07-14
아파트,태광아파트,신천동 387,수인로3409번길 39,3,5,180 ,10075 ,1986-08-13,031-310-2402,2025-07-14
아파트,현대아파트,대야동 344,복지로 105-16,4,5,95 ,6419 ,1986-09-06,031-310-2402,2025-07-14
아파트,동우아파트,목감동 239-15,동서로 1096-4,2,5,75 ,4053 ,1986-09-25,031-310-2402,2025-07-14
아파트,제성아파트,신천동 26-3,신천로80번길 10-1,2,4,32 ,1958 ,1986-10-13,031-310-2402,2025-07-14
아파트,삼호아파트(101동),대야동 479,호현로63번길 10,1,6,60 ,3196 ,1986-11-19,031-310-2402,2025-07-14
아파트,세우아파트,조남동 171,동서로 1069-12,3,6,156 ,9293 ,1986-12-02,031-310-2402,2025-07-14
아파트,삼호아파트(102동),대야동 480-18,호현로63번길 11-1,1,5,55 ,2764 ,1986-12-05,031-310-2402,2025-07-14
아파트,세원아파트,조남동 169-12,동서로 1062,1,6,84 ,5044 ,1986-12-19,031-310-2402,2025-07-14
아파트,장미아파트,신천동 375-3,신천3길 31,2,5,90 ,5583 ,1986-12-29,031-310-2402,2025-07-14
아파트,진양아파트,은행동 109-105,은행로65번길 21-15,2,5,50 ,3161 ,1986-12-29,031-310-2402,2025-07-14
아파트,황제아파트,논곡동 160-29,동서로 1097,2,6,132 ,9690 ,1986-12-30,031-310-2402,2025-07-14
아파트,미덕아파트,목감동 240-6,동서로 1088,2,4,64 ,3306 ,1987-02-19,031-310-2402,2025-07-14
아파트,연희아파트,신천동 277-4,신천천동로25번길 17,6,5,245 ,16520 ,1987-03-18,031-310-2402,2025-07-14
아파트,제성2차아파트,신천동 749-1,수인로3413번길 25,2,5,60 ,3132 ,1987-08-04,031-310-2402,2025-07-14
아파트,삼호아파트(103동),대야동 481-18,호현로49번안길 12,1,6,48 ,2793 ,1987-08-21,031-310-2402,2025-07-14
아파트,대우아파트,은행동 297,수인로3247번길 106-8,2,5,79 ,4219 ,1987-09-05,031-310-2402,2025-07-14
아파트,동경1차,신천동 37-3,수인로3325번길 47-7,1,6,48 ,2954 ,1987-09-12,031-310-2402,2025-07-14
아파트,영남아파트(14동),대야동 274-24,복지로120번길 15-12,1,5,40 ,2064 ,1987-10-23,031-310-2402,2025-07-14
아파트,영남아파트(15동),대야동 280-7,은행로216번길 25,1,6,60 ,3266 ,1987-10-23,031-310-2402,2025-07-14
아파트,무지개,신천동 892-1,두문로 8,1,5,40 ,2064 ,1987-11-16,031-310-2402,2025-07-14
아파트,삼호아파트(104~106동),대야동 482,호현로49번안길 15,3,6,170 ,8731 ,1987-12-24,031-310-2402,2025-07-14
아파트,일우아파트,거모동 1474-1,군자로492번길 14,8,5,410 ,21704 ,1988-01-14,031-310-2402,2025-07-14
아파트,동경2차,신천동 37-6,수인로3325번길 47-7,1,6,24 ,1558 ,1988-04-23,031-310-2402,2025-07-14
아파트,현대아파트,신천동 458,수인로3409번길 44,4,5,99 ,5616 ,1988-07-11,031-310-2402,2025-07-14
아파트,무궁화,포동 1-74,신현로12번길 6,2,5,75 ,4701 ,1988-09-23,031-310-2402,2025-07-14
아파트,동경3차,신천동 264-2,신천천동로51번길 8,1,5,50 ,3627 ,1988-11-06,031-310-2402,2025-07-14
아파트,동경4차,신천동 384-2,신천천서로 50-1,2,5,70 ,4859 ,1989-07-10,031-310-2402,2025-07-14
아파트,아주1차,거모동 1470-1,한우물로 41,1,6,72 ,5309 ,1989-10-01,031-310-2402,2025-07-14
