지역,소재지,시공사,시행사,공공 및 민간 유형,임대 및 분양 유형,규모별(전용 제곱미터),총분양가구수,전월,당해월,분양 승인일,계약 마감일,준공(예정)일,준공여부,지구명,택지종류,데이터기준일
포항시,경상북도 포항시 남구 오천읍 문덕리 307-1(오천 정림다채움),(주)정림건설(052-234-8883),(주)정림건설(052-234-8883),민간,분양,82.5253,114,5,5,2014-10-06,2014-10-22,2017-08-11,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 문덕리 307-1(오천 정림다채움),(주)정림건설(052-234-8883),(주)정림건설(052-234-8883),민간,분양,74.1148,154,2,2,2014-10-06,2014-10-22,2017-08-11,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 문덕리 307-1(오천 정림다채움),(주)정림건설(052-234-8883),(주)정림건설(052-234-8883),민간,분양,66.8781,98,,,2014-10-06,2014-10-22,2017-08-11,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 문덕리 307-1(오천 정림다채움),(주)정림건설(052-234-8883),(주)정림건설(052-234-8883),민간,분양,66.8239,16,,,2014-10-06,2014-10-22,2017-08-11,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 문덕리 307-1(오천 정림다채움),(주)정림건설(052-234-8883),(주)정림건설(052-234-8883),민간,분양,    ,382,7,7,2014-10-06,2014-10-22,2017-08-11,준공,,민간,2026-02-28
포항시,경상북도 포항시 북구 우현동 128(우현2차 금성굿모닝),(주)금성주택건설(054-273-4545),(주)금성(054-274-5275),민간,분양,64.4565,54,    ,    ,2014-07-08,2014-07-23,2016-03-25,준공,,민간,2026-02-28
포항시,경상북도 포항시 북구 우현동 128(우현2차 금성굿모닝),(주)금성주택건설(054-273-4545),(주)금성(054-274-5275),민간,분양,64.4639,15,,,2014-07-08,2014-07-23,2016-03-25,준공,,민간,2026-02-28
포항시,경상북도 포항시 북구 우현동 128(우현2차 금성굿모닝),(주)금성주택건설(054-273-4545),(주)금성(054-274-5275),민간,분양,84.9505,30,3,3,2014-07-08,2014-07-23,2016-03-25,준공,,민간,2026-02-28
포항시,경상북도 포항시 북구 우현동 128(우현2차 금성굿모닝),(주)금성주택건설(054-273-4545),(주)금성(054-274-5275),민간,분양,    ,99,3,3,2014-07-08,2014-07-23,2016-03-25,준공,,민간,2026-02-28
포항시,경상북도 포항시 북구 흥해읍 옥성리 176-1(금아드림팰리스),(주)금아건설(052-222-0415),(주)금아건설(052-222-0415),민간,분양,68.3111,13,    ,    ,2014-10-21,2014-11-05,2015-10-01,준공,,민간,2026-02-28
포항시,경상북도 포항시 북구 흥해읍 옥성리 176-1(금아드림팰리스),(주)금아건설(052-222-0415),(주)금아건설(052-222-0415),민간,분양,79.472,15,2,2,2014-10-21,2014-11-05,2015-10-01,준공,,민간,2026-02-28
포항시,경상북도 포항시 북구 흥해읍 옥성리 176-1(금아드림팰리스),(주)금아건설(052-222-0415),(주)금아건설(052-222-0415),민간,분양,84.8783,15,,,2014-10-21,2014-11-05,2015-10-01,준공,,민간,2026-02-28
포항시,경상북도 포항시 북구 흥해읍 옥성리 176-1(금아드림팰리스),(주)금아건설(052-222-0415),(주)금아건설(052-222-0415),민간,분양,82.3031,30,    ,    ,2014-10-21,2014-11-05,2015-10-01,준공,,민간,2026-02-28
포항시,경상북도 포항시 북구 흥해읍 옥성리 176-1(금아드림팰리스),(주)금아건설(052-222-0415),(주)금아건설(052-222-0415),민간,분양,84.9231,59,1,1,2014-10-21,2014-11-05,2015-10-01,준공,,민간,2026-02-28
포항시,경상북도 포항시 북구 흥해읍 옥성리 176-1(금아드림팰리스),(주)금아건설(052-222-0415),(주)금아건설(052-222-0415),민간,분양,84.9147,25,    ,    ,2014-10-21,2014-11-05,2015-10-01,준공,,민간,2026-02-28
포항시,경상북도 포항시 북구 흥해읍 옥성리 176-1(금아드림팰리스),(주)금아건설(052-222-0415),(주)금아건설(052-222-0415),민간,분양,    ,157,3,3,2014-10-21,2014-11-05,2015-10-01,준공,,민간,2026-02-28
포항시,경상북도 포항시 북구 용흥동 615-21(빌드원르헤브3차),서원건설(주)(043-731-1980),(주)무궁화신탁(02-3456-0000),민간,분양,54.4924,8,1,,2021-12-08,2021-12-25,2021-07-14,준공,,민간,2026-02-28
포항시,경상북도 포항시 북구 용흥동 615-21(빌드원르헤브3차),서원건설(주)(043-731-1980),(주)무궁화신탁(02-3456-0000),민간,분양,66.8358,86,,,2021-12-08,2021-12-25,2021-07-14,준공,,민간,2026-02-28
포항시,경상북도 포항시 북구 용흥동 615-21(빌드원르헤브3차),서원건설(주)(043-731-1980),(주)무궁화신탁(02-3456-0000),민간,분양,84.9498,4,,,2021-12-08,2021-12-25,2021-07-14,준공,,민간,2026-02-28
포항시,경상북도 포항시 북구 용흥동 615-21(빌드원르헤브3차),서원건설(주)(043-731-1980),(주)무궁화신탁(02-3456-0000),민간,분양,84.8498,1,    ,    ,2021-12-08,2021-12-25,2021-07-14,준공,,민간,2026-02-28
포항시,경상북도 포항시 북구 용흥동 615-21(빌드원르헤브3차),서원건설(주)(043-731-1980),(주)무궁화신탁(02-3456-0000),민간,분양,    ,99,1,,2021-12-08,2021-12-25,2021-07-14,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 구정리 528-9번지 일원(더 트루엘 포항),일성건설(주)(02-3271-6000),우리자산신탁(주)(02-6202-3000),민간,분양,59.949,34, 비공개요청 , 비공개요청 ,2022-03-14,2022-04-19,2024-03-04,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 구정리 528-9번지 일원(더 트루엘 포항),일성건설(주)(02-3271-6000),우리자산신탁(주)(02-6202-3000),민간,분양,82.582,1, 비공개요청 , 비공개요청 ,2022-03-14,2022-04-19,2024-03-04,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 구정리 528-9번지 일원(더 트루엘 포항),일성건설(주)(02-3271-6000),우리자산신탁(주)(02-6202-3000),민간,분양,84.97,59, 비공개요청 , 비공개요청 ,2022-03-14,2022-04-19,2024-03-04,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 구정리 528-9번지 일원(더 트루엘 포항),일성건설(주)(02-3271-6000),우리자산신탁(주)(02-6202-3000),민간,분양,84.935,49, 비공개요청 , 비공개요청 ,2022-03-14,2022-04-19,2024-03-04,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 구정리 528-9번지 일원(더 트루엘 포항),일성건설(주)(02-3271-6000),우리자산신탁(주)(02-6202-3000),민간,분양,84.733,101, 비공개요청 , 비공개요청 ,2022-03-14,2022-04-19,2024-03-04,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 구정리 528-9번지 일원(더 트루엘 포항),일성건설(주)(02-3271-6000),우리자산신탁(주)(02-6202-3000),민간,분양,84.899,10, 비공개요청 , 비공개요청 ,2022-03-14,2022-04-19,2024-03-04,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 구정리 528-9번지 일원(더 트루엘 포항),일성건설(주)(02-3271-6000),우리자산신탁(주)(02-6202-3000),민간,분양,84.773,1, 비공개요청 , 비공개요청 ,2022-03-14,2022-04-19,2024-03-04,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 구정리 528-9번지 일원(더 트루엘 포항),일성건설(주)(02-3271-6000),우리자산신탁(주)(02-6202-3000),민간,분양,    ,255, 비공개요청 , 비공개요청 ,2022-03-14,2022-04-19,2024-03-04,준공,,민간,2026-02-28
포항시,경상북도 포항시 북구 흥해읍 학천리 21번지 일원(한화포레나2차),(주)한화건설(080-729-2400),한국자산신탁(주)(02-2112-6300),민간,분양,84.9151,350, 비공개요청 , 비공개요청 ,2021-01-20,2022-02-27,2024-06-20,준공,,민간,2026-02-28
포항시,경상북도 포항시 북구 흥해읍 학천리 21번지 일원(한화포레나2차),(주)한화건설(080-729-2400),한국자산신탁(주)(02-2112-6300),민간,분양,    ,350, 비공개요청 , 비공개요청 ,2021-01-20,2022-02-27,2024-06-20,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 문덕리 1188-241번지 외 14필지(남포항 태왕아너스),(주)태왕이앤씨(053-430-7000),바른투자개발(주)(053-253-6888),민간,분양,59.8412,68, 비공개요청 , 비공개요청 ,2021-12-02,2022-01-05,2024-07-25,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 문덕리 1188-241번지 외 14필지(남포항 태왕아너스),(주)태왕이앤씨(053-430-7000),바른투자개발(주)(053-253-6888),민간,분양,69.7632,34, 비공개요청 , 비공개요청 ,2021-12-02,2022-01-05,2024-07-25,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 문덕리 1188-241번지 외 14필지(남포항 태왕아너스),(주)태왕이앤씨(053-430-7000),바른투자개발(주)(053-253-6888),민간,분양,69.7774,34, 비공개요청 , 비공개요청 ,2021-12-02,2022-01-05,2024-07-25,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 문덕리 1188-241번지 외 14필지(남포항 태왕아너스),(주)태왕이앤씨(053-430-7000),바른투자개발(주)(053-253-6888),민간,분양,69.6684,105, 비공개요청 , 비공개요청 ,2021-12-02,2022-01-05,2024-07-25,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 문덕리 1188-241번지 외 14필지(남포항 태왕아너스),(주)태왕이앤씨(053-430-7000),바른투자개발(주)(053-253-6888),민간,분양,84.8442,102, 비공개요청 , 비공개요청 ,2021-12-02,2022-01-05,2024-07-25,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 문덕리 1188-241번지 외 14필지(남포항 태왕아너스),(주)태왕이앤씨(053-430-7000),바른투자개발(주)(053-253-6888),민간,분양,    ,343, 비공개요청 , 비공개요청 ,2021-12-02,2022-01-05,2024-07-25,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 용산리 360-13(포항 아이파크),에이치디씨현대산업개발주식회사(02-2008-9514),교보자산신탁(주)(02-3404-3404),민간,분양,75.9101,169, 비공개요청 , 비공개요청 ,2021-10-21,2021-12-03,2024-08-27,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 용산리 360-13(포항 아이파크),에이치디씨현대산업개발주식회사(02-2008-9514),교보자산신탁(주)(02-3404-3405),민간,분양,84.5134,754, 비공개요청 , 비공개요청 ,2021-10-21,2021-12-03,2024-08-27,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 용산리 360-13(포항 아이파크),에이치디씨현대산업개발주식회사(02-2008-9514),교보자산신탁(주)(02-3404-3406),민간,분양,84.9827,98, 비공개요청 , 비공개요청 ,2021-10-21,2021-12-03,2024-08-27,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 용산리 360-13(포항 아이파크),에이치디씨현대산업개발주식회사(02-2008-9514),교보자산신탁(주)(02-3404-3407),민간,분양,84.9913,73, 비공개요청 , 비공개요청 ,2021-10-21,2021-12-03,2024-08-27,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 용산리 360-13(포항 아이파크),에이치디씨현대산업개발주식회사(02-2008-9514),교보자산신탁(주)(02-3404-3408),민간,분양,101.6515,50, 비공개요청 , 비공개요청 ,2021-10-21,2021-12-03,2024-08-27,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 오천읍 용산리 360-13(포항 아이파크),에이치디씨현대산업개발주식회사(02-2008-9514),교보자산신탁(주)(02-3404-3408),민간,분양,    ,1144, 비공개요청 , 비공개요청 ,2021-10-21,2021-12-03,2024-08-27,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 구룡포읍 하정리 828번지 외 5필지(포항 푸르지오 마린시티),(주)대우건설(02-2288-2351),대한토지신탁(주)(02-528-0540),민간,분양,84.9826,337, 비공개요청 , 비공개요청 ,2022-09-28,2022-11-03,2025-09-25,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 구룡포읍 하정리 828번지 외 5필지(포항 푸르지오 마린시티),(주)대우건설(02-2288-2351),대한토지신탁(주)(02-528-0540),민간,분양,84.6348,163, 비공개요청 , 비공개요청 ,2022-09-28,2022-11-03,2025-09-25,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 구룡포읍 하정리 828번지 외 5필지(포항 푸르지오 마린시티),(주)대우건설(02-2288-2351),대한토지신탁(주)(02-528-0540),민간,분양,101.8937,178, 비공개요청 , 비공개요청 ,2022-09-28,2022-11-03,2025-09-25,준공,,민간,2026-02-28
포항시,경상북도 포항시 남구 구룡포읍 하정리 828번지 외 5필지(포항 푸르지오 마린시티),(주)대우건설(02-2288-2351),대한토지신탁(주)(02-528-0540),민간,분양,  ,678, 비공개요청 , 비공개요청 ,2022-09-28,2022-11-03,2025-09-25,준공,,민간,2026-02-28
