사업명,대지위치(외 필지수),세대수,사업주체,시공자,착공일
대봉1-2주택재건축사업,대구광역시 중구 대봉동 55-3(31),487,대봉1-2지구주택재건축정비사업조합,현대엔지니어링,미착공
대봉1-3주택재건축사업,대구광역시 중구 대봉동 55-68(17),469,대봉1-3지구주택재건축정비사업조합,㈜서한,2019-12-03
태평아파트소규모재건축사업,대구광역시 중구 태평로1가 23-1,419,77태평아파트주택재건축정비사업조합,㈜삼호,미착공
남산4-5주택재건축사업,대구광역시 중구 남산동 2478(357),947,남산4-5지구주택재건축정비사업조합,GS건설,2020-02-14
달성지구주택재개발사업,대구광역시 중구 달성동 12-11(636),1501,달성지구주택재개발정비사업조합,㈜대우건설/현대엔지니어링㈜,2020-07-02
동인3-1주택재개발사업,대구광역시 중구 동인동3가 88(169),630,동인3-1지구주택재개발정비사업조합,대우산업개발㈜,2020-07-02
힐스테이트 도원센트럴,대구광역시 중구 도원동 3-11(147),894,㈜하나자산신탁,현대건설㈜,2020-03-18
동산동 청라힐 주상복합,대구광역시 중구 동산동 531(108),302,㈜하나자산신탁,㈜서한,2019-08-22
힐스테이트 대구역 주상복합,대구광역시 중구 태평로2가 7-1(155),803,국제자산신탁㈜,현대건설㈜,2019-11-20
대원 칸타빌,대구광역시 중구 동인동1가 77(64),410,㈜대원,㈜대원,2020-08-07
대구역 제일풍경채 위너스카이,대구광역시 중구 수창동 50-10(27),604,㈜무궁화신탁,제일건설㈜,2019-11-28
반월당 지역주택조합 주거복합,대구광역시 중구 남산동 614-1(155),375,반월당지역주택조합 ㈜서한,㈜서한,2020-01-31
힐스테이트 동인센트럴,대구광역시 중구 동인동1가 235-1(148),410,㈜하나자산신탁,(주)현대건설,2020-04-23
힐스테이트 동인,대구광역시 중구 동인동1가 211번지 일원,941,㈜하나자산신탁,현대엔지니어링㈜,2021-08-26
남산동 주상복합,대구광역시 중구 남산동 603-4번지 일원,419,코리아신탁㈜,"진흥기업㈜, 효성중공업㈜",2020-11-06
동인3가주택재개발사업,대구광역시 중구 동인동3가 192,1383,동인3가 주택재개발정비사업조합,㈜대우건설,미착공
삼덕동2가 주거복합,대구광역시 중구 삼덕동2가 5번지 일원,335,㈜한국토지신탁,에스케이건설㈜,2020-12-08
힐스테이트 달성공원역 주거복합,대구광역시 중구 태평로3가 165-2번지 일원,320,우리자산신탁㈜,현대건설(주),2021-03-10
동인시영LH참여가로주택정비사업,대구광역시 중구 동인동3가 228번지 일원,373,동인시영LH참여 가로주택정비사업조합,㈜태왕,2021-06-23
대봉동 공동주택,대구광역시 중구 대봉동 590-395번지 일원,541,(주)송안,㈜서한,2021-10-22
공평동 주거복합,대구광역시 중구 공평동 58-1번지 일원,392,㈜창조이노베이션,포스코건설,2021-10-22
남산행복 가로주택정비사업,대구광역시 중구 남산동2116-19 일원,152,남산행복 가로주택정비사업 조합,유성건설/현창건설,2022-05-20
78태평가로주택정비사업,대구광역시 중구 동인동1가 116번지 일원,373,㈜한국토지신탁,현대건설㈜,미착공
동산동 20-7 일원 주거복합,대구광역시 중구 동산동 20-7 일원,980,하나자산신탁㈜,미정,미착공
봉산동 주상복합,대구광역시 중구 봉산동 168-69번지 일원,457,하나자산신탁㈜,㈜호반건설,2022-09-22
반월당 사랑마을 가로주택정비사업,대구광역시 중구 남산동 671-15번지 일원,130,반월당사랑마을가로주택정비사업조합,㈜코오롱글로벌,미착공
태평로2가 37-3 주거복합,대구광역시 중구 태평로2가 37-3 일원,430,㈜태평씨에이치,미정,미착공
서문로1가 19 주거복합,대구광역시 중구 서문로1가 19 주거복합,321/ 84,보광개발㈜,미정,미착공
계산동1가 2-9 주거복합,대구광역시 중구 계산동1가 2-9 일원,420/ 132,신영부동산신탁㈜,미정,미착공
남산3 가로주택정비사업,대구광역시 중구 남산동 110-4번지 일원,110,남산3 가로주택정비사업조합,화성산업,미착공
동인동1가 9번지일원주거복합,대구광역시 중구 동인동1가 9번지 일원,314,(주)다온아이앤피,미정,미착공
태평2가 가로주택정비사업,대구광역시 중구 태평로2가 38-1번지 일원,164,태평2가 가로주택정비사업조합,남광토건,미착공
백합아파트재건축정비사업,대구광역시 동구 신천동 301-2,181,백합아파트 주택재건축정비사업조합,경동건설㈜,2021-09-28
신암1재정비촉진구역재개발정비사업,대구광역시 동구 신암동 151-1(531),1631,신암1재정비촉진구역 주택재개발정비사업조합,코오롱글로벌㈜,미착공
신암4동 뉴타운재건축정비사업,대구광역시 동구 신암동 255-14(218),1079,신암4동 뉴타운주택재건축정비사업조합,화성산업㈜,2020-07-20
신암5동동자02지구재개발정비사업,대구광역시 동구 신암동 134-35(282),983,신암5동 동자02지구 주택재개발정비사업조합,한진중공업,2020-05-14
동신천연합재건축정비사업,대구광역시 동구 신천동 353-1(203),1190,동신천연합 주택재건축정비사업조합,㈜포스코건설,2020-07-22
신암6재정비촉진구역재개발정비사업,대구광역시 동구 신암동 674-20(488),1265,신암6재정비 촉진구역 주택재개발정비사업조합,효성진흥공동사업단,2020-07-06
