아파트명,사업주체,대지위치,규모,세대수,사업승인일자,착공일자,준공예정일
삼정그린코아포레스트,국제자산신탁(주),부산광역시 동래구 온천동 1592-1번지 일원,"지하2/지상29층, 6동,연면적 86946㎡",582,2007-12-04,2015-04-03,2018-04-30
부영효성해링턴플레이스,(주)케이비부동산신탁,부산광역시 동래구 온천동 1361번지 일원,"지하4/지상49층, 3동,연면적 146723㎡",762,2008-04-08,2015-03-17,2019-05-31
명장동 동일스위트,(주)동일,부산광역시 동래구 명장동 530-1번지 일원,"지하3층/지상26층, 9동, 연면적 96468㎡",702,2015-01-16,2015-03-18,2018-01-31
동래 꿈에 그린,(주)생보부동산신탁,부산광역시 동래구 낙민동 133-3번지 일원,"지하3/지상46~49층, 4동, 연면적 110325㎡",732,2015-01-28,2015-08-27,2018-08-31
사직삼정그린코아더베스트2차,(주)삼정코아건설,부산광역시 동래구 사직동 94-3번지 일원,"지하4/지상32층, 3동, 연면적 36474㎡",230,2015-02-09,2015-05-08,2018-05-31
대가하이츠,(주)대가종합건설,부산광역시 동래구 명장동 519-4번지,"지하1층/지상15층, 1동, 연면적 3606㎡",51,2015-05-27,2016-04-22,2017-12-30
동래지웰,(주)한국토지신탁,부산광역시 동래구 온천동 1186-2번지 일원,"지하4/지상25층, 3동, 연면적 29582㎡ ",219,2015-07-13,2015-10-20,2018-07-30
힐스테이트 명륜,㈜생보부동산신탁,부산광역시 동래구 명륜동 71번지 일원,"지하3층/지상30층, 5동, 연면적 89733㎡",493,2015-08-10,2016-05-02,2018-12-27
온천천 경동리인타워,태건산업(주),부산광역시 동래구 낙민동 79-4번지,"지하3층/지상41층, 2동, 연면적 46397㎡",310,2015-12-03,2016-02-22,2019-05-30
온천 삼정그린코아더베스트,(주)우앤리디피엠,부산광역시 동래구 온천동 159-18번지 일원,"지하5/지상35층, 4동, 연면적 48700㎡",340,2016-02-23,2016-06-17,2019-08-28
사직쌍용예가(사직아시아드 지역주택조합),사직지역주택조합 김기동 / 쌍용건설㈜,부산광역시 동래구 사직동 110-1,"지하2/지상41층, 6동, 연면적 102456㎡",914,2016-02-26,2016-12-30,2020-03-31
두비앙에코힐(동래온천동 지역주택조합),동래온천동지역주택조합 박만구 / 금상건설㈜,부산광역시 동래구 온천동 산 222-1번지,"지하4/지상26층, 4동, 연면적 20113㎡",219,2016-07-18,2016-11-15,2019-06-14
명륜힐스테이트2차,㈜생보부동산신탁,부산광역시 동래구 명륜동 700-101번지 일원,"지하3층/지상41층, 7동, 연면적 101656㎡",854,2017-01-26,2019-05-02,2022-05-31
온천천 경동리인타워2차,청결건설㈜,부산광역시 동래구 수안동 41-7번지 ,"지하3층/지상45층, 1동, 연면적 291810㎡",176,2017-03-29,2017-05-08,2020-11-15
동래 SK지역주택조합,동래SK(구 현대)지역주택조합 김락균 / sk건설㈜,부산광역시 동래구 온천동 183-3,"지하5층/지상39층, 9동, 연면적 201477㎡",999,2018-01-16,2018-06-12,2021-10-31
온천동 주상복합(더샾),(주)하나자산신탁 이창희 / ㈜한국기업 황철호,부산광역시 동래구 온천동 455-2,"지하6층/지상49층, 3동, 연면적 1201124㎡",603,2018-02-27,2018-08-27,2022-12-30
사직지역주택조합 아파트 신축공사,사직지역주택조합 이은백 / 코오롱글로벌(주),부산광역시 동래구 사직동 566-3번지 일원,"지하3층/지상28층, 8동, 연면적 101979㎡",690,2019-11-13,2021-05-10,2024-04-30
명장동 기업형 임대주택,(주)주안디앤씨,부산광역시 동래구 명장동 508-75번지 일원,"지하4층/지상20층, 5동, 연면적 46263㎡",303,2021-12-29,,
온천공원 비공원시설 공동주택 신축공사,온천공원개발주식회사 ,부산광역시 동래구 온천동 산 202-6번지 일원,"지하5층/지상26층, 4동, 연면적 59651㎡",360,2021-12-30,,
낙민동 공동주택 신축공사,(주)하나자산신탁 / (주)반도건설,부산광역시 동래구 낙민동 76-1번지 일원,"지하3층/지상42층, 3동, 연면적 67893㎡",400,2021-12-31,2023-01-31,2026-10-31
수안지역주택조합 아파트 신축공사,수안지역주택조합 정현식 / 롯데건설(주),부산광역시 동래구 수안동 36-2번지 일원,"지하3층/지상47층, 4동, 연면적 145639㎡",870,2023-01-09,2023-07-31,2027-11-30
명륜동 115-8일원 주택건설사업,코리아신탁(주),부산광역시 동래구 명륜동 115-8번지 일원,"지하1층/지상20층, 2동, 연면적 16555㎡",110,2023-02-23,,
온천장지역주택조합 아파트 신축공사,온천장지역주택조합 / ㈜코오롱글로벌,부산광역시 동래구 온천동 147-52번지 일원,"지하5층/지상33층, 3동, 연면적 72753㎡",384,2024-05-01,2025-02-07,2029-02-28
