연월,시도,미분양_호수,연도,월
2008-01,강원,6861,2008,1
2008-01,경기,20691,2008,1
2008-01,경남,14602,2008,1
2008-01,경북,10516,2008,1
2008-01,광주,8009,2008,1
2008-01,대구,13434,2008,1
2008-01,대전,2442,2008,1
2008-01,부산,10860,2008,1
2008-01,서울,524,2008,1
2008-01,세종,0,2008,1
2008-01,울산,6922,2008,1
2008-01,인천,509,2008,1
2008-01,전남,4291,2008,1
2008-01,전북,4186,2008,1
2008-01,제주,116,2008,1
2008-01,충남,14075,2008,1
2008-01,충북,5333,2008,1
2008-02,강원,6583,2008,2
2008-02,경기,21178,2008,2
2008-02,경남,14400,2008,2
2008-02,경북,10591,2008,2
2008-02,광주,7779,2008,2
2008-02,대구,15638,2008,2
2008-02,대전,2414,2008,2
2008-02,부산,12184,2008,2
2008-02,서울,788,2008,2
2008-02,세종,0,2008,2
2008-02,울산,7350,2008,2
2008-02,인천,1487,2008,2
2008-02,전남,4375,2008,2
2008-02,전북,4315,2008,2
2008-02,제주,179,2008,2
2008-02,충남,14888,2008,2
2008-02,충북,5503,2008,2
2008-03,강원,6239,2008,3
2008-03,경기,20685,2008,3
2008-03,경남,13872,2008,3
2008-03,경북,10844,2008,3
2008-03,광주,8009,2008,3
2008-03,대구,15557,2008,3
2008-03,대전,2890,2008,3
2008-03,부산,13289,2008,3
2008-03,서울,799,2008,3
2008-03,세종,0,2008,3
2008-03,울산,8496,2008,3
2008-03,인천,1594,2008,3
2008-03,전남,4116,2008,3
2008-03,전북,4120,2008,3
2008-03,제주,155,2008,3
2008-03,충남,15633,2008,3
2008-03,충북,5459,2008,3
2008-04,강원,6264,2008,4
2008-04,경기,18104,2008,4
2008-04,경남,13549,2008,4
2008-04,경북,11858,2008,4
2008-04,광주,7279,2008,4
2008-04,대구,15873,2008,4
2008-04,대전,2343,2008,4
2008-04,부산,13642,2008,4
2008-04,서울,764,2008,4
2008-04,세종,0,2008,4
2008-04,울산,9105,2008,4
2008-04,인천,1365,2008,4
2008-04,전남,3890,2008,4
2008-04,전북,3756,2008,4
2008-04,제주,152,2008,4
2008-04,충남,16227,2008,4
2008-04,충북,5688,2008,4
2008-05,강원,6217,2008,5
2008-05,경기,17661,2008,5
2008-05,경남,13648,2008,5
2008-05,경북,11124,2008,5
2008-05,광주,6952,2008,5
2008-05,대구,16590,2008,5
2008-05,대전,2270,2008,5
2008-05,부산,12611,2008,5
2008-05,서울,1016,2008,5
2008-05,세종,0,2008,5
2008-05,울산,9575,2008,5
2008-05,인천,1116,2008,5
2008-05,전남,3616,2008,5
2008-05,전북,3281,2008,5
2008-05,제주,147,2008,5
2008-05,충남,16910,2008,5
2008-05,충북,5436,2008,5
2008-06,강원,11246,2008,6
2008-06,경기,16733,2008,6
2008-06,경남,17380,2008,6
2008-06,경북,13813,2008,6
2008-06,광주,7490,2008,6
2008-06,대구,20535,2008,6
2008-06,대전,3076,2008,6
2008-06,부산,11542,2008,6
2008-06,서울,1090,2008,6
2008-06,세종,0,2008,6
2008-06,울산,9633,2008,6
2008-06,인천,1099,2008,6
2008-06,전남,7313,2008,6
2008-06,전북,3163,2008,6
2008-06,제주,293,2008,6
2008-06,충남,16750,2008,6
2008-06,충북,6074,2008,6
2008-07,강원,10769,2008,7
2008-07,경기,20514,2008,7
2008-07,경남,17832,2008,7
2008-07,경북,15177,2008,7
2008-07,광주,10774,2008,7
2008-07,대구,21378,2008,7
2008-07,대전,3000,2008,7
2008-07,부산,13612,2008,7
2008-07,서울,1437,2008,7
2008-07,세종,0,2008,7
2008-07,울산,9718,2008,7
2008-07,인천,1026,2008,7
2008-07,전남,7853,2008,7
2008-07,전북,4004,2008,7
2008-07,제주,332,2008,7
2008-07,충남,16646,2008,7
2008-07,충북,6523,2008,7
2008-08,강원,10377,2008,8
2008-08,경기,19922,2008,8
2008-08,경남,17214,2008,8
2008-08,경북,15464,2008,8
2008-08,광주,11043,2008,8
2008-08,대구,21410,2008,8
2008-08,대전,2718,2008,8
2008-08,부산,12971,2008,8
2008-08,서울,1491,2008,8
2008-08,세종,0,2008,8
2008-08,울산,9728,2008,8
2008-08,인천,976,2008,8
2008-08,전남,7697,2008,8
2008-08,전북,3594,2008,8
2008-08,제주,319,2008,8
2008-08,충남,16069,2008,8
2008-08,충북,6298,2008,8
2008-09,강원,10125,2008,9
2008-09,경기,22455,2008,9
2008-09,경남,17000,2008,9
2008-09,경북,15483,2008,9
2008-09,광주,10628,2008,9
2008-09,대구,21403,2008,9
2008-09,대전,2619,2008,9
2008-09,부산,12619,2008,9
2008-09,서울,1530,2008,9
2008-09,세종,0,2008,9
2008-09,울산,9520,2008,9
2008-09,인천,933,2008,9
2008-09,전남,7170,2008,9
2008-09,전북,3541,2008,9
2008-09,제주,297,2008,9
2008-09,충남,16186,2008,9
2008-09,충북,5732,2008,9
2008-10,강원,9383,2008,10
