x,y,n,pearson_corr
GRDP,매매가_만원,3,0.9870448523572732
매매가_소득배율,매매가_만원,8,0.9629583310128857
가구_순자산,매매가_만원,8,0.9534240537650062
NPS_1인당고지금액,매매가_만원,7,0.9368058277194619
매매가_순자산배율,매매가_만원,8,0.8836842020304948
가구_소득평균,매매가_만원,8,0.8506796853917092
GRDP_전년대비증가율,매매가_만원,3,0.6136485412323965
NPS_가입자수,매매가_만원,7,0.47486006233522265
NPS_가입자수_전년대비증가율,매매가_만원,7,0.41485182473704235
NPS_1인당고지금액_전년대비증가율,매매가_만원,7,0.04546863902621448
NPS_1인당고지금액_전년대비증가율,매매가_전년대비증가율,6,-0.16831611216321166
매매가_순자산배율,매매가_전년대비증가율,7,-0.24223575568666056
매매가_소득배율,매매가_전년대비증가율,7,-0.42030932371923724
NPS_가입자수_전년대비증가율,매매가_전년대비증가율,6,-0.5971559806949088
NPS_가입자수,매매가_전년대비증가율,6,-0.6279963851591642
NPS_1인당고지금액,매매가_전년대비증가율,6,-0.7164779076402237
가구_순자산,매매가_전년대비증가율,7,-0.7582041068987938
가구_소득평균,매매가_전년대비증가율,7,-0.805091631623488
GRDP,매매가_전년대비증가율,2,
GRDP_전년대비증가율,매매가_전년대비증가율,2,
