연도,시도,시군구,지역코드,거래량,평균전용면적,매매가_만원,평균매매가_만원,중위매매가_만원,매매가_억원,면적범위,가격통계,매매가_전년대비증가율,소득분위,가구_소득평균,가구_순자산,가구_자산평균,가구_부채평균,DSR,소득분위_선택값,매매가_소득배율,매매가_순자산배율,순자산_매매가커버리지,NPS_가입자수,NPS_고지금액합계,NPS_1인당고지금액,NPS_가입자수_전년대비증가율,NPS_고지금액합계_전년대비증가율,NPS_1인당고지금액_전년대비증가율,GRDP,GRDP_전년대비증가율,GRDP_가격기준,전입,전출,순이동,전입_전년대비증가율,전출_전년대비증가율,순이동_전년대비증가율,미분양_호수,미분양_호수_전년대비증가율,주담대_잔액,주담대_증감률,주담대_비중,착공_호수,준공_호수,착공_아파트,준공_아파트,착공_호수_전년대비증가율,준공_호수_전년대비증가율,지가변동률,KB_매수우위지수,KB_매매거래지수,KB_전세수급지수,소비자심리지수,주택가격전망CSI,KB_선도50지수,순이동_NPS가입자대비,미분양_거래량배율,준공_거래량배율,corr_var__가구_소득평균,corr_var__가구_순자산,corr_var__NPS_가입자수,corr_var__NPS_가입자수_전년대비증가율,corr_var__NPS_1인당고지금액,corr_var__NPS_1인당고지금액_전년대비증가율,corr_var__GRDP,corr_var__GRDP_전년대비증가율,corr_var__전입,corr_var__전출,corr_var__순이동,corr_var__미분양_호수,corr_var__주담대_잔액,corr_var__주담대_증감률,corr_var__착공_호수,corr_var__준공_호수,corr_var__지가변동률,corr_var__소비자심리지수,corr_var__주택가격전망CSI,corr_var__KB_매수우위지수,corr_var__KB_매매거래지수,corr_var__KB_전세수급지수,상위10퍼센트_정확도
2024,서울,종로구,11110,122,84.80563852459017,126000.0,147958.77049180327,126000.0,12.6,82~86㎡,median,,소득5분위,16601.7403727805,103251.534864841,123780.2346436831,20528.6997788421,123.65390204812547,소득5분위,7.58956574255216,1.220320842348129,0.8194566259114365,,,,,,,,,,1221380,1266072,-44692,1.194485663603606,2.249935996472341,43.01440000000001,960.4166666666666,-13.189213618559803,249981.58333333334,0.7486124213056833,68.17754361080347,26418.0,39555.0,21821.0,32988.0,-21.67803142603024,-25.446697828709286,0.2545,42.59107177916667,17.392026454166665,133.71870944,99.77499999999999,105.75,73.486134025,,7.872267759562841,324.22131147540983,16601.7403727805,103251.534864841,,,,,,,1221380,1266072,-44692,960.4166666666666,249981.58333333334,0.7486124213056833,26418.0,39555.0,0.2545,99.77499999999999,105.75,42.59107177916667,17.392026454166665,133.71870944,현재 KOSIS 확보분은 소득5분위(상위20%) proxy; 소득10분위/순자산10분위 추가 확보 필요
2017,서울,중구,11140,390,84.84077435897436,63750.0,64329.33076923077,63750.0,6.375,82~86㎡,median,,소득5분위,12955.9113611205,67547.4968553551,83022.796550379,15475.2996950239,119.44585960555314,소득5분위,4.9205338183547545,0.9437803466872061,1.0595685781232174,416662.0,118986957340.0,285571.89602123544,1.0280731871723514,4.39718771445945,3.3348300338710724,49962749.0,-4.784669208486447,2015년 기준년가격,1472937,1571423,-98486,-2.8150530284335895,-5.099226443797445,-29.781757773230566,104.66666666666667,-78.80526493418833,153237.45833333334,0.3850083708195118,67.33610151153572,95078.0,73883.0,55274.0,29201.0,-6.764336706676078,-20.394992026893078,0.35283333333333333,,,,106.325,104.16666666666667,38.50029009916667,-0.23636904733333014,0.26837606837606837,189.44358974358974,12955.9113611205,67547.4968553551,416662.0,1.0280731871723514,285571.89602123544,3.3348300338710724,49962749.0,-4.784669208486447,1472937,1571423,-98486,104.66666666666667,153237.45833333334,0.3850083708195118,95078.0,73883.0,0.35283333333333333,106.325,104.16666666666667,,,,현재 KOSIS 확보분은 소득5분위(상위20%) proxy; 소득10분위/순자산10분위 추가 확보 필요
2018,서울,중구,11140,352,84.71384545454545,74000.0,75097.58522727272,74000.0,7.4,82~86㎡,median,16.07843137254903,소득5분위,13546.653990428,74263.716571368,91414.0185944494,17150.3020230813,126.6017574169948,소득5분위,5.462603536806066,0.996448917674157,1.003563737450919,431377.0,127484197440.0,295528.49929412093,3.5316395543630197,7.1413206035007,3.48654871561489,52384539.0,4.847191254428385,2015년 기준년가격,1439707,1549937,-110230,-2.2560367483470123,-1.367295756775866,11.924537497715404,39.583333333333336,-62.181528662420384,161249.48333333334,0.4459881960217275,65.16508478483199,80273.0,76043.0,44744.0,38853.0,-15.571425566377084,2.9235412747181444,0.49574999999999997,,,,104.33333333333333,106.25,48.469404526666665,-0.25553054520755625,0.11245265151515152,216.03125,13546.653990428,74263.716571368,431377.0,3.5316395543630197,295528.49929412093,3.48654871561489,52384539.0,4.847191254428385,1439707,1549937,-110230,39.583333333333336,161249.48333333334,0.4459881960217275,80273.0,76043.0,0.49574999999999997,104.33333333333333,106.25,,,,현재 KOSIS 확보분은 소득5분위(상위20%) proxy; 소득10분위/순자산10분위 추가 확보 필요
2019,서울,중구,11140,317,84.78608201892744,87000.0,89743.4069400631,87000.0,8.7,82~86㎡,median,17.567567567567565,소득5분위,13785.8226582056,76921.0769571673,94608.1453937105,17687.0684365432,128.29896971012823,소득5분위,6.310831218201972,1.131029406263319,0.8841503098524978,426748.0,133938206620.0,313857.8426143766,-1.0730752914503983,5.062595450732288,6.202225289282048,52869673.0,0.9261014972375747,2015년 기준년가격,1426493,1476081,-49588,-0.9178256409116625,-4.765096903938682,-55.01406150775651,213.33333333333334,438.9473684210526,171462.98333333334,0.5841504939828667,64.46142954767093,78782.0,78592.0,51321.0,45860.0,-1.8574115829731008,3.3520508133556115,0.43016666666666664,,,,99.125,101.41666666666667,52.094689102500006,-0.116199724427531,0.6729758149316509,247.92429022082018,13785.8226582056,76921.0769571673,426748.0,-1.0730752914503983,313857.8426143766,6.202225289282048,52869673.0,0.9261014972375747,1426493,1476081,-49588,213.33333333333334,171462.98333333334,0.5841504939828667,78782.0,78592.0,0.43016666666666664,99.125,101.41666666666667,,,,현재 KOSIS 확보분은 소득5분위(상위20%) proxy; 소득10분위/순자산10분위 추가 확보 필요
2020,서울,중구,11140,297,84.73125791245792,100000.0,101481.14478114479,100000.0,10.0,82~86㎡,median,14.942528735632177,소득5분위,13946.7843124463,79518.8733094601,98130.0812940564,18611.2079845963,133.44443828522827,소득5분위,7.170111601335846,1.2575630895930126,0.795188733094601,398797.0,131010429000.0,328514.0785913635,-6.549767075651203,-2.185916695380641,4.669705193568907,,,,1578127,1642977,-64850,10.62984536201721,11.306696583724074,30.77760748568201,72.0,-66.25000000000001,188852.1083333333,0.9608004148317176,64.02712117307318,68651.0,80879.0,40417.0,54355.0,-12.85953644233454,2.9099653908794876,0.3918333333333333,,,,87.39999999999999,116.25,60.04829466,-0.16261406179083593,0.24242424242424243,272.3198653198653,13946.7843124463,79518.8733094601,398797.0,-6.549767075651203,328514.0785913635,4.669705193568907,,,1578127,1642977,-64850,72.0,188852.1083333333,0.9608004148317176,68651.0,80879.0,0.3918333333333333,87.39999999999999,116.25,,,,현재 KOSIS 확보분은 소득5분위(상위20%) proxy; 소득10분위/순자산10분위 추가 확보 필요
2021,서울,중구,11140,138,84.72473260869565,125000.0,122471.73913043478,125000.0,12.5,82~86㎡,median,25.0,소득5분위,14268.8269839115,90300.814516767,109951.7311755528,19650.9166587858,137.7192160290594,소득5분위,8.760355713958896,1.384262153878912,0.722406516134136,403747.0,136828682940.0,338897.08887001016,1.2412330082723688,4.441061665403745,3.160598268167991,,,,1418187,1524430,-106243,-10.134799037086372,-7.215377938948631,63.82883577486507,63.583333333333336,-11.689814814814813,213003.1416666667,0.9319418928083504,63.436729680954954,61485.0,70243.0,34570.0,43729.0,-10.43830388486694,-13.1505087847278,0.43216666666666664,90.7119970475,10.125568283,159.464968216625,103.43333333333334,124.16666666666667,70.16310603416666,-0.2631425125140249,0.4607487922705314,509.0072463768116,14268.8269839115,90300.814516767,403747.0,1.2412330082723688,338897.08887001016,3.160598268167991,,,1418187,1524430,-106243,63.583333333333336,213003.1416666667,0.9319418928083504,61485.0,70243.0,0.43216666666666664,103.43333333333334,124.16666666666667,90.7119970475,10.125568283,159.464968216625,현재 KOSIS 확보분은 소득5분위(상위20%) proxy; 소득10분위/순자산10분위 추가 확보 필요
2022,서울,중구,11140,35,84.79014285714285,124000.0,122242.85714285714,124000.0,12.4,82~86㎡,median,-0.8000000000000007,소득5분위,15025.6975797391,100528.0244442397,121088.2011854,20560.1767411603,136.83342574979002,소득5분위,8.252528665770809,1.233486887716366,0.8107098745503201,406904.0,137097234160.0,336927.71307237085,0.7819253146153393,0.19626821966689523,-0.5811132235469585,,,,1201527,1236867,-35340,-15.2772518715797,-18.863640836246987,-66.73663206046515,553.8333333333334,771.0353866317168,227516.38333333333,0.17127108040228267,64.48496540835136,63867.0,54660.0,44894.0,31836.0,3.8741156379604735,-22.1844169525789,0.2519166666666667,40.23610326358334,1.8295229814166667,105.25811626666666,95.49166666666667,86.33333333333333,74.68328998583333,-0.08685095255883452,15.823809523809524,1561.7142857142858,15025.6975797391,100528.0244442397,406904.0,0.7819253146153393,336927.71307237085,-0.5811132235469585,,,1201527,1236867,-35340,553.8333333333334,227516.38333333333,0.17127108040228267,63867.0,54660.0,0.2519166666666667,95.49166666666667,86.33333333333333,40.23610326358334,1.8295229814166667,105.25811626666666,현재 KOSIS 확보분은 소득5분위(상위20%) proxy; 소득10분위/순자산10분위 추가 확보 필요
2023,서울,중구,11140,125,84.77121519999999,116500.0,114705.6,116500.0,11.65,82~86㎡,median,-6.048387096774189,소득5분위,15598.0072555042,96824.6678861857,117458.2830186514,20633.6151324657,132.28366158878754,소득5분위,7.4689027958292336,1.2032057795121178,0.8311130290659717,650494.5,239320366670.0,367905.2884690032,59.86436604211314,74.56250531699276,9.194131024175656,,,,1206963,1238213,-31250,0.45242429009086926,0.10882334155573048,-11.573288058856823,1106.3333333333333,99.75925368642791,229970.69166666665,0.32939259859179243,65.97604190461169,33730.0,53056.0,27426.0,38028.0,-47.18712324048413,-2.934504207830224,0.09166666666666667,31.353072227499997,8.5077256575,90.6199605275,97.19166666666666,93.33333333333333,68.61149256916667,-0.04804037543745566,8.850666666666665,424.448,15598.0072555042,96824.6678861857,650494.5,59.86436604211314,367905.2884690032,9.194131024175656,,,1206963,1238213,-31250,1106.3333333333333,229970.69166666665,0.32939259859179243,33730.0,53056.0,0.09166666666666667,97.19166666666666,93.33333333333333,31.353072227499997,8.5077256575,90.6199605275,현재 KOSIS 확보분은 소득5분위(상위20%) proxy; 소득10분위/순자산10분위 추가 확보 필요
2024,서울,중구,11140,271,84.84323025830258,120000.0,123710.88560885609,120000.0,12.0,82~86㎡,median,3.0042918454935563,소득5분위,16601.7403727805,103251.534864841,123780.2346436831,20528.6997788421,123.65390204812547,소득5분위,7.2281578500496755,1.1622103260458374,0.8604294572070084,,,,,,,,,,1221380,1266072,-44692,1.194485663603606,2.249935996472341,43.01440000000001,960.4166666666666,-13.189213618559803,249981.58333333334,0.7486124213056833,68.17754361080347,26418.0,39555.0,21821.0,32988.0,-21.67803142603024,-25.446697828709286,0.2545,42.59107177916667,17.392026454166665,133.71870944,99.77499999999999,105.75,73.486134025,,3.543972939729397,145.95940959409594,16601.7403727805,103251.534864841,,,,,,,1221380,1266072,-44692,960.4166666666666,249981.58333333334,0.7486124213056833,26418.0,39555.0,0.2545,99.77499999999999,105.75,42.59107177916667,17.392026454166665,133.71870944,현재 KOSIS 확보분은 소득5분위(상위20%) proxy; 소득10분위/순자산10분위 추가 확보 필요
2017,서울,용산구,11170,647,84.72652751159197,77800.0,77843.73106646059,77800.0,7.78,82~86㎡,median,,소득5분위,12955.9113611205,67547.4968553551,83022.796550379,15475.2996950239,119.44585960555314,소득5분위,6.004980879498038,1.1517821328982687,0.8682197539248727,126779.0,30495243400.0,240538.6018189132,0.7301763864611566,6.379588058587449,5.60846002140587,11248337.0,10.043012145457485,2015년 기준년가격,1472937,1571423,-98486,-2.8150530284335895,-5.099226443797445,-29.781757773230566,104.66666666666667,-78.80526493418833,153237.45833333334,0.3850083708195118,67.33610151153572,95078.0,73883.0,55274.0,29201.0,-6.764336706676078,-20.394992026893078,0.35283333333333333,,,,106.325,104.16666666666667,38.50029009916667,-0.7768321251942356,0.16177228232869656,114.19319938176197,12955.9113611205,67547.4968553551,126779.0,0.7301763864611566,240538.6018189132,5.60846002140587,11248337.0,10.043012145457485,1472937,1571423,-98486,104.66666666666667,153237.45833333334,0.3850083708195118,95078.0,73883.0,0.35283333333333333,106.325,104.16666666666667,,,,현재 KOSIS 확보분은 소득5분위(상위20%) proxy; 소득10분위/순자산10분위 추가 확보 필요
2018,서울,용산구,11170,331,84.71859607250755,93000.0,96719.32930513595,93000.0,9.3,82~86㎡,median,19.537275064267345,소득5분위,13546.653990428,74263.716571368,91414.0185944494,17150.3020230813,126.6017574169948,소득5분위,6.865163904364381,1.252293910049954,0.7985345867889032,134239.0,33690178080.0,250971.61093273936,5.884255278871109,10.476829576641444,4.337353354070195,11664441.0,3.6992490534378586,2015년 기준년가격,1439707,1549937,-110230,-2.2560367483470123,-1.367295756775866,11.924537497715404,39.583333333333336,-62.181528662420384,161249.48333333334,0.4459881960217275,65.16508478483199,80273.0,76043.0,44744.0,38853.0,-15.571425566377084,2.9235412747181444,0.49574999999999997,,,,104.33333333333333,106.25,48.469404526666665,-0.8211473565804275,0.11958710976837866,229.7371601208459,13546.653990428,74263.716571368,134239.0,5.884255278871109,250971.61093273936,4.337353354070195,11664441.0,3.6992490534378586,1439707,1549937,-110230,39.583333333333336,161249.48333333334,0.4459881960217275,80273.0,76043.0,0.49574999999999997,104.33333333333333,106.25,,,,현재 KOSIS 확보분은 소득5분위(상위20%) proxy; 소득10분위/순자산10분위 추가 확보 필요
