x,y,n,pearson_corr
매매가_소득배율,매매가_만원,193,0.9868058275356175
매매가_순자산배율,매매가_만원,193,0.9539566309521013
GRDP,매매가_만원,72,0.6523083785068001
NPS_1인당고지금액,매매가_만원,168,0.6368110962610884
NPS_가입자수,매매가_만원,168,0.6136640295182758
KB_선도50지수,매매가_만원,193,0.4951307086144147
순이동_NPS가입자대비,매매가_만원,168,0.47844744971753633
주담대_잔액,매매가_만원,193,0.47299322788718645
가구_순자산,매매가_만원,193,0.47212736385833975
가구_소득평균,매매가_만원,193,0.4095577936744402
미분양_호수,매매가_만원,193,0.3056342632402018
순이동,매매가_만원,193,0.2857203132085783
미분양_거래량배율,매매가_만원,193,0.24716140129711478
준공_거래량배율,매매가_만원,193,0.21446389898133647
NPS_가입자수_전년대비증가율,매매가_만원,168,0.16637867373538134
주담대_증감률,매매가_만원,193,0.07859467433228218
KB_전세수급지수,매매가_만원,97,0.01923017712117086
KB_매수우위지수,매매가_만원,97,0.008697970083028727
KB_매매거래지수,매매가_만원,97,-0.008990508384270996
GRDP_전년대비증가율,매매가_만원,72,-0.024035040535378135
NPS_1인당고지금액_전년대비증가율,매매가_만원,168,-0.02427783521559498
주택가격전망CSI,매매가_만원,193,-0.04773668862655175
소비자심리지수,매매가_만원,193,-0.2014833595820424
지가변동률,매매가_만원,193,-0.2757382443937525
전입,매매가_만원,193,-0.32859690417295223
전출,매매가_만원,193,-0.3389616291463848
준공_호수,매매가_만원,193,-0.34463274719532955
착공_호수,매매가_만원,193,-0.4039631468322976
KB_매수우위지수,매매가_전년대비증가율,96,0.9045988180647511
KB_전세수급지수,매매가_전년대비증가율,96,0.8698622731670979
지가변동률,매매가_전년대비증가율,168,0.8126479966090079
전출,매매가_전년대비증가율,168,0.7330577765919134
전입,매매가_전년대비증가율,168,0.7015284921396103
주택가격전망CSI,매매가_전년대비증가율,168,0.6676106442140787
준공_호수,매매가_전년대비증가율,168,0.6659088537764678
착공_호수,매매가_전년대비증가율,168,0.6058321903181568
주담대_증감률,매매가_전년대비증가율,168,0.5755370297435112
GRDP,매매가_전년대비증가율,48,0.2261765807098315
소비자심리지수,매매가_전년대비증가율,168,0.20401331247074095
KB_매매거래지수,매매가_전년대비증가율,96,0.1686320453236644
GRDP_전년대비증가율,매매가_전년대비증가율,48,0.15436027614758183
매매가_순자산배율,매매가_전년대비증가율,168,0.11586785230580159
매매가_소득배율,매매가_전년대비증가율,168,0.04569398216316916
NPS_가입자수,매매가_전년대비증가율,144,-0.044131658100658104
NPS_1인당고지금액,매매가_전년대비증가율,144,-0.21811722822128943
준공_거래량배율,매매가_전년대비증가율,168,-0.219189308281678
순이동_NPS가입자대비,매매가_전년대비증가율,144,-0.22799890508192933
NPS_1인당고지금액_전년대비증가율,매매가_전년대비증가율,144,-0.23474758670110019
KB_선도50지수,매매가_전년대비증가율,168,-0.45091098505469845
미분양_거래량배율,매매가_전년대비증가율,168,-0.5346615344272035
주담대_잔액,매매가_전년대비증가율,168,-0.5665003888228802
가구_순자산,매매가_전년대비증가율,168,-0.6013606589867672
NPS_가입자수_전년대비증가율,매매가_전년대비증가율,144,-0.6069080465621708
순이동,매매가_전년대비증가율,168,-0.6345730959892092
가구_소득평균,매매가_전년대비증가율,168,-0.6402438794599549
미분양_호수,매매가_전년대비증가율,168,-0.7821656936132704
